一不是响马并贼寇,0,一不是响马与贼寇，
lseh-WeiGuoJia-HongYangDong-3.xml_1,我也曾平服了塞北西东。,6581567.195276766,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_24,执宝剑将贼的（呀）头割下，,6594983.496974143,0.125
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,6617936.2743235035,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,6628028.901246161,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,6686925.427093171,0.125
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,6698282.423277172,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_1,我也曾平服了塞北西东。,6884633.341181891,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_12,今日里萧何荐良将，,6903259.295822906,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,6988473.336511843,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,7003626.805336936,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,7033324.061579378,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,7054825.631062587,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,7087864.520905938,0.125
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,7098051.458918471,0.125
lseh-NiangZiBu-SouGuJiuGu.xml_1,卑（呀）人言来你是（喏）听。,7106403.653134789,0.125
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,7114212.899093569,0.125
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,7142277.972145427,0.0
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,7165857.934979382,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,7170153.808493987,0.0
lseh-XiRiLi-BaoLianDeng.xml_1,伯夷叔齐二大贤人，,7203258.311459681,0.0
lsxp-WeiCengKai-QiYuanBao.xml_2,家住在南阳太平庄，,7233893.49725284,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,7238659.063164117,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,7255573.904407856,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,7279561.639649586,0.125
lseh-YiLunMing-WenZhaoGuan-2.xml_12,我好（呃）比鱼儿吞了钩线，,7298367.516574461,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,7319187.969755199,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,7325734.335595024,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_0,听他言听得我心（呐）惊胆怕，,7343128.571897561,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_0,听他言吓得我心（呐）惊胆怕，,7343128.571897561,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,7349308.718748258,0.125
lseh-YiLunMing-ZhuoFangSuDian.xml_4,吕伯奢可算得义气（呀）大，,7353247.79524805,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,7359174.121154965,0.125
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,7363298.630516071,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,7370969.377096776,0.0
lseh-YangYanZhao-PengBei.xml_3,又只见老爹爹瞌睡沉沉。,7381512.755405521,0.0
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,7395701.359759641,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,7413334.512735355,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,7426450.470964481,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,7485122.962367275,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_3,为什么事到如今耍奸滑？,7510427.89736801,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_1,问三娘发雷霆却是为何？,7526660.10631978,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,7553203.099087787,0.125
lseh-ZiNaRi-HongYangDong.xml_8,为此事终（啊）日里忧成疾病，,7561220.268988923,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_12,我好（哇）比鱼儿吞了钩线，,7562976.410955395,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,7591917.296432874,0.25
lseh-XiRiLi-BaoLianDeng.xml_4,那叔齐分长幼不能担任，,7598332.081447311,0.125
lsxp-CiShiJian-HuaiHeYing-1.xml_3,为什么事到如今耍奸滑。,7679136.296802519,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,7682896.221860159,0.125
sdxp-WoHeNi-SiLangTanMu.xml_17,公主叫我盟誓愿，,7699081.903917879,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_5,他舍命来你我舍亲生。,7702973.5745170815,0.0
lsxp-ZouYingLong-DaYanSong.xml_2,那一日打从大街进，,7721228.619364361,0.125
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,7737373.152801434,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_10,屈死的冤鬼魂休要怨咱，,7762611.168171817,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,7815027.998490233,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,7840162.241593418,0.0
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,7860009.138474577,0.125
lsxp-JiangShenEr-SanJiaDian.xml_8,实难舍街坊四邻与我的好朋友，,7864479.561271626,0.0
sdxp-WoHeNi-SiLangTanMu.xml_5,非是我这几日愁眉不展，,7873269.110050528,0.25
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,7889128.300441091,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_20,贼好比蛟龙未生鳞甲，,7893038.5323602315,0.125
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,7893151.383475485,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,7900729.295838472,0.125
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,7927895.66503815,0.125
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,7947182.77077586,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,7954511.000474511,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,7965758.16095031,0.125
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,7978062.865683122,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,8009704.060948218,0.125
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,8018563.787862925,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,8032926.481755766,0.125
lseh-YiLunMing-ZhuoFangSuDian.xml_10,屈死的怨鬼魂休要怨（呐）咱，,8047827.032056534,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,8075831.580731255,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,8088426.212278223,0.0
lseh-XiRiLi-BaoLianDeng.xml_10,首阳山前冻饿死（喏）。,8097526.7210538285,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,8106727.49331951,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,8146035.714011946,0.125
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,8151381.865030587,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,8159905.494253724,0.125
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,8210739.856955928,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,8210739.856955928,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,8243007.727091747,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,8259780.514566345,0.0
lseh-XiRiLi-BaoLianDeng.xml_8,那伯夷出午门无（哇）有踪（呃）影，,8270370.914478,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,8276703.626620006,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_4,吕伯奢可算得义气大，,8284521.992050707,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,8292380.069906212,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,8352942.974993041,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,8357873.225821625,0.0
lseh-XiRiLi-BaoLianDeng.xml_12,为父的怎比得孤竹君，,8365722.581595852,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,8374717.682984984,0.125
lseh-ZiNaRi-HongYangDong.xml_4,二次（喏）里命孟良番营来进，,8377283.781682378,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,8381461.011978451,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,8389188.661259977,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,8397511.645501122,0.125
sdxp-DangNianHan-SanJiZhang.xml_1,登台拜帅是韩信，,8435784.724507993,0.125
lseh-WeiGuoJia-HongYangDong-2.xml_1,我也曾平服了塞北西东。,8462352.02152666,0.0
lsxp-WoBenShi-KongChengJi-2.xml_0,我本是卧龙岗散淡（呐）的人，,8476464.22572156,0.125
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,8534892.712052979,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,8597542.078800183,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,8597867.369067471,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,8612942.33469918,0.125
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,8627091.118640343,0.125
lseh-WeiKaiYan-RangXuZhou.xml_1,天卸重任我就要（哇）你担承。,8644501.80601901,0.0
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,8657952.958821105,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,8671491.20412694,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,8687835.42516674,0.0
lsxp-WoBenShi-KongChengJi-1.xml_6,周文王访姜尚周室大振，,8688594.62534187,0.0
sdxp-SuLongWei-WuJiaPo.xml_13,腰中取出银一锭，,8693546.56117087,0.125
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,8700269.865959285,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,8719315.741636954,0.0
lsxp-WoBenShi-KongChengJi-1.xml_0,我本是卧龙岗散淡哪的人，,8734204.192338273,0.125
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,8740057.736176271,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,8764931.829079736,0.0
lsxp-JiangShenEr-SanJiaDian.xml_12,儿想娘亲难叩首，,8769267.130738424,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,8777348.961846642,0.125
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,8786365.05429608,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,8796545.206860278,0.0
lsxp-ZouYingLong-DaYanSong.xml_5,他言道严嵩老贼害他的举家一满门。,8807427.365282025,0.25
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,8813437.530698825,0.125
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,8832737.907121625,0.125
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,8841116.137225369,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,8845281.499932094,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,8872060.648516566,0.0
lseh-XiRiLi-BaoLianDeng.xml_3,传口诏命次子即位为君，,8877449.573224526,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,8878925.957686208,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_3,悔不该随他人到吕家。,8900179.709712775,0.125
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,8919197.373578085,0.125
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,8993401.749395197,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,8996245.376343723,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,9004968.804344904,0.0
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,9065762.058221743,0.125
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,9147668.744345238,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,9163239.886257958,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,9163239.886257958,0.125
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,9181062.41064666,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,9206253.25973875,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_8,俺伍员好一似丧家犬，,9233236.552195469,0.125
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,9260543.203812193,0.125
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,9277080.311774062,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,9317481.445439273,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_4,先进咸阳为皇上，,9320447.430198988,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,9406953.343556976,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,9414243.306785312,0.125
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,9422844.462431805,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_5,右手再把栾布拉，,9441732.68442473,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,9448277.972758926,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,9454614.831249766,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,9476550.872586679,0.125
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,9488003.132648185,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_8,一家人倶丧在宝剑之（喏）下，,9505645.178427255,0.125
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,9512308.780825516,0.125
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,9521794.632490017,0.125
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,9527305.352045078,0.125
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,9527589.680291783,0.125
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,9563913.836717356,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,9574247.31665409,0.125
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,9579656.99674033,0.125
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,9609462.425425075,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_12,越思越想好伤惨，,9613266.383452576,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,9630084.218869703,0.125
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,9645288.567497829,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,9646892.084589737,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,9706615.868856661,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,9769557.684742372,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,9800065.060502168,0.125
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,9831455.940492846,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,9872611.99454055,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,9890467.227132121,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,9895333.246336816,0.125
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,9910448.30022642,0.125
lsxp-WoZhuYe-ZhuiHanXin.xml_6,也是我主洪福广，,9917988.102142721,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_17,我本当拔宝剑自寻短见，,9924767.588185372,0.0
lsxp-JiangShenEr-SanJiaDian.xml_4,杨林与我来争斗，,9938730.137132185,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,9942268.679651085,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_3,为千岁懒观五凤楼。,9948471.004530173,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,9951725.796616193,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,9956495.215819594,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,10016094.075566128,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,10016094.075566128,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,10028370.88501341,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,10032613.358870443,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_3,悔不该随他人到吕家。,10033477.491132744,0.125
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,10046681.695366291,0.0
lsxp-WoBenShi-KongChengJi-2.xml_6,周文王访姜尚周室大振，,10095171.116396781,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,10115377.313719982,0.25
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,10117039.947963132,0.125
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,10137271.426365955,0.375
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,10149140.135852031,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,10154813.019504648,0.125
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,10159086.872635316,0.125
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,10162497.827323087,0.125
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,10168448.60245026,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,10187366.783359373,0.125
lsxp-ZouYingLong-DaYanSong.xml_0,忽听得万岁宣应龙，,10196398.902714098,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,10210686.653065436,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,10215733.807195473,0.125
lseh-YiLunMing-WenZhaoGuan-2.xml_8,俺伍员好一似丧家犬，,10223796.544192003,0.125
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,10230001.652771022,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_22,虎在笼中我不打，,10253371.688713389,0.125
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,10261729.826754628,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,10276747.260349412,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,10281476.636167448,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,10327470.252752807,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,10329155.402689697,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,10344244.18009808,0.0
lsxp-ZouYingLong-DaYanSong.xml_10,他本是我朝中上欺天子下压臣谋朝篡位卖国的奸贼他名叫严嵩，,10347453.130321529,0.25
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,10350840.26982716,0.125
