去了我左右膀难以飞行,0,去了我左右膀难以飞行。
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,5376521.376719777,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,5407047.064125172,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,5409628.322093297,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,5437068.4693501415,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_14,思来想去我的肝肠断，,5470944.134390452,0.2
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,5485938.572866896,0.2
lseh-XiRiLi-BaoLianDeng.xml_7,兄（呃）推弟来两不能够担承。,5487574.219695479,0.0
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,5500002.314086171,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_2,实指（惹）望到吴国借兵回转，,5506893.813044263,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,5559762.752935745,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,5562358.732019452,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,5585890.175568699,0.1
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,5608849.485578221,0.1
lsxp-JiangShenEr-SanJiaDian.xml_13,娘想儿来泪双流。,5619623.846205239,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,5620738.061127016,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,5623283.127580693,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,5638322.437437214,0.1
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,5658762.395826449,0.1
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,5666504.082632613,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,5682270.49020905,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,5707164.050590438,0.1
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,5708915.117082142,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,5722496.626426178,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,5733702.52074062,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_18,观此贼睡卧真（呐）潇洒，,5736897.871413216,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,5745809.804393715,0.1
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,5762827.499878068,0.0
lseh-XiRiLi-BaoLianDeng.xml_13,二娇儿也难比那两个贤人。,5776300.365586298,0.1
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,5783728.459541781,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,5842278.692719316,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,5876163.518333914,0.2
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,5877123.774514236,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,5882246.880447188,0.1
lseh-YiLunMing-WenZhaoGuan-2.xml_2,实指望到吴国借兵回转，,5884509.466581599,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,5901164.632092543,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,5902396.028716706,0.1
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,5913015.45990335,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,5950122.18065905,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,5969347.741136529,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,5991030.416593411,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_4,左手拉住了李左车，,5996318.550780669,0.2
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,6011655.38729705,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,6038743.505402575,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,6051010.578349811,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,6053539.276262228,0.1
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,6063368.041047004,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_7,老天爷不绝我的后代根。,6142750.835518721,0.1
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,6149923.4018552685,0.0
sdxp-SuLongWei-WuJiaPo.xml_4,咬定牙关他就不认承。,6157726.815925524,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,6160018.738221051,0.1
lsxp-CiShiJian-HuaiHeYing-1.xml_3,为什么事到如今耍奸滑。,6200749.67099787,0.0
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,6205976.445098223,0.1
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,6255160.855316547,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,6257769.384036844,0.1
lsxp-ZiCongQian-ZhuLianZhai.xml_4,山高路远少来问候，,6259186.308232736,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,6273638.767676953,0.1
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,6273638.767676953,0.1
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,6274588.314087911,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,6334001.0605725525,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,6367239.698802769,0.1
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,6375367.542130142,0.1
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,6398674.868728284,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,6405426.01975459,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,6405995.8061401155,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_3,为什么事到如今耍奸滑？,6476722.478659085,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,6487740.650001327,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,6498524.148480365,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,6499890.009450774,0.1
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,6499944.834232533,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,6499944.834232533,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_1,胡言乱语怎瞒（呐）咱。,6502184.7369425325,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,6504301.998550052,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,6521064.956052756,0.1
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,6523205.683524391,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,6525201.665582363,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,6541816.921393236,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,6543573.4129003305,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,6559940.748274036,0.2
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,6574184.232515316,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,6584340.688277333,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,6585661.16849761,0.1
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,6593309.872962348,0.0
lseh-XiRiLi-BaoLianDeng.xml_15,打死个秦官保父不能担承。,6615931.206895516,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,6628276.706941204,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,6634375.37565683,0.0
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,6642029.8298405735,0.1
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,6646693.348787141,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,6676676.823196745,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,6678210.929382974,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,6681598.819258144,0.1
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,6706723.858024214,0.1
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,6726912.946127817,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,6748549.4058669945,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,6749318.837775552,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,6753845.318655637,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,6754971.873767543,0.1
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,6763548.58556196,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,6776262.130813312,0.1
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,6791913.509808653,0.0
sdxp-SuLongWei-WuJiaPo.xml_6,为军的要人我是不要钱。,6803124.1563923685,0.1
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,6810282.1043622475,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,6826777.921528505,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,6833075.585573392,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,6853188.896560502,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,6854697.622393006,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_5,老娘亲再讲情儿自刎头来。,6855188.535509509,0.0
lseh-YangYanZhao-PengBei.xml_4,我本当将此事对他来论，,6862681.829073298,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,6875235.998872248,0.1
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,6876977.050761722,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,6888415.766764538,0.2
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,6895476.852826946,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,6899072.054340779,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,6917055.702346123,0.1
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,6920243.632158571,0.1
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,6923319.67841139,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,6924935.561550116,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_10,我好（哇）比哀哀长空雁，,6942308.656312093,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,6968788.879859443,0.1
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,6971207.799306032,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,6975744.910128533,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,6977262.250376552,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,7002594.297182679,0.1
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,7019371.573499165,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,7025294.668711018,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,7028077.345559717,0.1
lseh-WeiGuoJia-HongYangDong-2.xml_0,为国家哪何曾半日闲空，,7042230.632233137,0.0
lseh-YangYanZhao-PengBei.xml_0,杨延昭奉父命巡查大营，,7042479.956378759,0.0
sdxp-WoHeNi-SiLangTanMu.xml_2,贤公主又何必过于谦言。,7050658.377521257,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,7070218.166539422,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,7079233.237684484,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,7084809.698292774,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,7086678.037415603,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,7090069.827979898,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_10,我好（呃）比哀哀长空雁，,7100395.916601504,0.1
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,7105662.502354135,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_2,悔不该心猿并意马，,7107134.534273064,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,7127174.666216491,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,7127174.666216491,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,7142936.7736475235,0.1
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,7167529.958992654,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,7170904.078841848,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_3,悔不该随他人到吕家。,7176684.1924493,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,7180528.760970887,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,7194794.163054118,0.1
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,7197571.613124875,0.1
sdxp-SuLongWei-WuJiaPo.xml_18,我与你露水的夫妻就过几年（呐）。,7199462.738054796,0.1
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,7209272.78771152,0.0
lsxp-WoBenShi-KongChengJi-1.xml_8,闲无哇事在敌楼哇我亮（呃）一亮琴哪音，,7212961.336078931,0.1
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,7217989.035243422,0.1
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,7221130.902743529,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,7240011.464333352,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,7243685.232062825,0.0
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,7244948.418914588,0.0
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,7250796.773781109,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,7264513.235185137,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,7285100.811186053,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,7285116.81988233,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,7287624.424876426,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,7299276.715317047,0.1
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,7303033.603901914,0.1
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,7303101.881844323,0.0
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,7312911.115514024,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,7337743.971964152,0.0
lseh-XiRiLi-BaoLianDeng.xml_0,昔日里有一个孤竹君，,7344438.181321851,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,7345690.663768694,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_8,俺伍员好一似丧家犬，,7360689.726315727,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_10,屈死的冤鬼魂休要怨咱，,7371792.005302242,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_0,屠贼做事心太狠，,7381602.777240268,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,7384712.530874291,0.1
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,7389222.17103245,0.1
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,7391288.7714432385,0.1
sdxp-SuLongWei-WuJiaPo.xml_17,买绫罗与绸缎、打首饰和簪环，,7396930.97766952,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,7397903.630604729,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,7423509.819862276,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,7426045.904711859,0.0
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,7449125.227736757,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,7450763.399796516,0.1
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,7457002.734052496,0.0
lseh-ZiNaRi-HongYangDong.xml_2,我前番命孟良骸骨搬（呐）请，,7457152.715669567,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,7457592.191665215,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,7473478.752269079,0.0
lsxp-DaHeYi-SiLangTanMu.xml_10,火堪寨上有家门。,7479862.707162698,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_12,我好（呃）比鱼儿吞了钩线，,7491840.64909146,0.2
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,7494499.243181578,0.1
lsxp-ZouYingLong-DaYanSong.xml_6,我劝顽童你休流泪，免悲声，邹老爷就是尔的报仇人。,7498000.078359129,0.1
sdxp-DangNianHan-SanJiZhang.xml_4,仙女嫁的又是何人？,7499576.370721461,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,7504246.464368691,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,7507876.7730264915,0.0
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,7515203.078895731,0.0
sdxp-SuLongWei-WuJiaPo.xml_2,王丞相是我的主婚人（哪）。,7530999.458507016,0.1
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,7562299.987642204,0.1
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,7564604.815521558,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,7573362.8375916965,0.1
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,7574556.816503001,0.1
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,7578499.2414089935,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,7579397.711194933,0.1
lseh-YiLunMing-WenZhaoGuan-2.xml_5,他将我隐藏在后花园。,7592327.575117478,0.1
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,7592344.374030296,0.1
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,7601011.673266598,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,7606713.246291873,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_12,越思越想好伤惨，,7608692.076599155,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,7610027.600243607,0.1
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,7623997.853749774,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,7636797.599081276,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,7669673.448794552,0.1
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,7674443.879721627,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_12,我好（哇）比鱼儿吞了钩线，,7702655.73780815,0.2
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,7715162.929929711,0.1
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,7719154.594122773,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,7720139.165384616,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,7726417.594111698,0.0
lseh-LaoZhangBu-WuPenJi.xml_0,老丈不（哇）必胆怕惊，,7730881.882670147,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,7737026.359131508,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_28,越思越想好伤惨，,7739133.4004356,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,7749001.518487903,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,7758320.743807455,0.0
lseh-ZenNengGou-BaDaChui.xml_2,前也思（喏）后又想无有计定，,7764136.52232301,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,7766173.329582017,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,7808946.671774413,0.1
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,7822209.445985042,0.1
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,7832338.0008242875,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,7835313.180847637,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,7852643.319578067,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,7854286.804522501,0.1
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,7854286.804522501,0.1
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,7866537.6031984165,0.0
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,7866561.025526237,0.1
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,7867816.768033482,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,7885683.823147227,0.0
