官封到节度使皇王恩重,0,官封到节度使（喏）皇王恩重，
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,5496260.214401911,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,5504894.7910995325,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,5532772.587285241,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,5582283.996813119,0.0
sdxp-WoHeNi-SiLangTanMu.xml_12,无有令箭怎过关。,5586689.9703657655,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,5602613.064291106,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,5602613.064291106,0.0
lseh-YangYanZhao-PengBei.xml_0,杨延昭奉父命巡查大营，,5616278.621610605,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_0,一轮明月照窗下，,5635045.172166611,0.0
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,5655912.257063564,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,5656377.939366533,0.1
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,5661452.745133928,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,5679131.676179265,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,5686883.679951267,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,5705512.23772552,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,5713095.948387028,0.0
lsxp-DaHeYi-SiLangTanMu.xml_8,问我一言答一声。,5717724.856728122,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,5729287.584042569,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,5736774.798213677,0.0
lseh-XiRiLi-BaoLianDeng.xml_15,打死个秦官保父不能担承。,5751807.21104737,0.1
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,5766144.632372771,0.0
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,5766848.720137129,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,5770257.206938077,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,5788058.807767908,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,5791871.08248151,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,5797746.523997741,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,5811775.820907408,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,5830612.074507562,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_0,为国家哪何曾半日闲空，,5842898.673797635,0.0
lseh-LaoZhangBu-WuPenJi.xml_6,我和你远无冤近无有仇恨，,5866135.719046402,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_0,为国家哪何曾半日闲空，,5875779.427573404,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,5880634.131153081,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,5889061.136927742,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,5904465.16195147,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,5904465.16195147,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_21,我不杀平王我的心怎甘。,5907203.271244445,0.1
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,5907441.076296433,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,5907449.526004739,0.0
sdxp-DangNianHan-SanJiZhang.xml_2,未央宫斩的是何人？,5915902.193436877,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,5936867.5879234485,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_15,今夜晚怎能够盼到明天。,5937297.983883706,0.1
sdxp-SuLongWei-WuJiaPo.xml_9,衙里衙外我打点，,5937352.879243509,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,5952769.263649696,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_3,赏罚中公（呃）平莫要自由。,5979948.793413641,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,5992690.23165205,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,6006759.599435466,0.0
lsxp-DaHeYi-SiLangTanMu.xml_14,失落番邦被贼擒。,6028817.580946877,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_0,一轮明月照窗下，,6034079.288307604,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_0,叹兄兀弟遭不幸一旦丧命，,6042075.823852086,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,6045483.896014633,0.0
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,6070450.162505699,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,6098242.915534711,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,6103840.4876216715,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,6103840.4876216715,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,6159689.250550037,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_0,屠贼做事心太狠，,6166359.515943419,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,6170534.659538188,0.0
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,6176185.883984319,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_15,今夜晚怎能够盼到明天。,6192132.409379609,0.1
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,6193595.576127269,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,6201492.156675203,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,6204746.552247048,0.1
lseh-NiangZiBu-SouGuJiuGu.xml_3,三百余口命赴幽冥。,6246729.61160048,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_3,身不爽不由人瞌睡朦胧（呃）。,6254177.785807077,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,6254436.639268581,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,6281396.170071858,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,6285729.340743682,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,6303290.330551363,0.0
lseh-WeiKaiYan-RangXuZhou.xml_5,救生灵（呐）积阴（呐）功也免得我坐卧不宁。,6312869.99529149,0.0
sdxp-WoHeNi-SiLangTanMu.xml_15,宋营（哪）虽然路途远，,6313908.406361427,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,6318550.964945279,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,6353950.472288294,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,6354645.50057053,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,6369985.164293478,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_3,身不爽不由人瞌睡朦胧（呃）（哪）。,6372972.939863441,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,6376400.442642056,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,6377651.719612057,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,6401741.2488487,0.0
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,6418842.839271488,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,6424128.345588906,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,6437985.076493996,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_3,身不爽不由人瞌睡朦胧。,6438447.041051802,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,6439302.09531773,0.0
lsxp-DaHeYi-SiLangTanMu.xml_25,家住哪州并哪郡？,6451629.21775692,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,6451750.113262272,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,6466437.039262846,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_3,耳听笙歌闹喧哗。,6492812.352174977,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,6498115.546283756,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,6509124.566216596,0.0
lsxp-YiShiWu-YuCangJian.xml_3,靠山绿（哇）水常在面前。,6513347.1013299255,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,6533777.575311846,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,6538037.133887601,0.0
lsxp-WoBenShi-KongChengJi-2.xml_2,先帝（呀）爷下南阳（呃）御驾三（呃）请，,6581808.306802159,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_37,我不杀平王我的心怎甘（哪）。,6602959.864801805,0.1
lsxp-WoBenShi-KongChengJi-2.xml_5,东西战南北剿博古（呃）通（哦）今。,6620537.349317176,0.0
lsxp-WoBenShi-KongChengJi-1.xml_5,东西战南北剿博古通呃今。,6657396.731796312,0.0
sdxp-SuLongWei-WuJiaPo.xml_6,为军的要人我是不要钱。,6657893.673190031,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,6658740.685893255,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_4,先进咸阳为皇上，,6684877.179775381,0.1
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,6693624.835021481,0.1
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,6695431.206764424,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,6732874.923563542,0.1
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,6746497.063675112,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,6746497.063675112,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,6747485.955957903,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_2,悔不该心猿并意马，,6756784.110429777,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,6763341.374831836,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,6775735.400340215,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,6787631.91501023,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,6797497.226644501,0.1
lseh-XiRiLi-BaoLianDeng.xml_2,都只为孤（哇）竹君身染重病（哪），,6797955.986570904,0.1
lseh-LaoZhangBu-WuPenJi.xml_2,休把我当作了妖魔论，,6817902.975784152,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,6824751.2149264505,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,6834893.960001355,0.1
lsxp-ZouYingLong-DaYanSong.xml_0,忽听得万岁宣应龙，,6837392.2508711135,0.0
sdxp-WoHeNi-SiLangTanMu.xml_17,公主叫我盟誓愿，,6852340.222709308,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,6870567.768396767,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,6874793.999430732,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,6880543.934730153,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,6881446.102411481,0.1
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,6888214.580450712,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,6908684.250833265,0.0
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,6909898.284248895,0.0
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,6911157.976069031,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,6917270.414490984,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_5,老娘亲再讲情儿自刎头来。,6927543.673147951,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_11,自有那神灵（啊）天地鉴察。,6929222.570744146,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,6952312.161959009,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,6959468.478261869,0.1
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,6992077.568693444,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_6,这时候我只得暂且忍耐在心下，,6998862.152990984,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,7005232.970533559,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,7008092.561032241,0.0
lsxp-YiShiWu-YuCangJian.xml_6,他害我满门（呐）真悲惨，,7011954.822991668,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,7021980.795758926,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,7024549.012465058,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,7037491.668276807,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,7045485.483372104,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,7049871.037099576,0.0
sdxp-SuLongWei-WuJiaPo.xml_4,咬定牙关他就不认承。,7061425.77153712,0.0
lsxp-ZouYingLong-DaYanSong.xml_13,在品级台（呀）前臣见君。,7064673.8611394195,0.0
lseh-ZenNengGou-BaDaChui.xml_0,怎能够思一计番营来进，,7075292.949791772,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,7075564.621497642,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,7089648.081291787,0.1
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,7114789.081775046,0.0
lseh-ZenNengGou-BaDaChui.xml_3,倒不如上公安观看古今。,7121298.343705418,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_6,这时候我只得暂且忍耐在心下，,7121578.903519347,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_11,自有那神灵儿天地鉴察。,7124442.223158175,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,7161893.912166454,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_22,虎在笼中我不打，,7164183.3505516555,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,7169852.256934177,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_2,实指（惹）望到吴国借兵回转，,7173239.012070616,0.1
lsxp-YiShiWu-YuCangJian.xml_7,我与奸贼不共戴天！,7192379.78324147,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,7242335.20455885,0.0
sdxp-WoHeNi-SiLangTanMu.xml_2,贤公主又何必过于谦言。,7257190.5663485965,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,7274732.808775813,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,7287553.505572053,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,7289662.541500129,0.1
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,7291235.822274163,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,7304116.116572573,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,7319950.887930062,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,7322517.796982395,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,7335094.613713448,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,7339469.256918265,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,7353084.813529698,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,7358220.8549764585,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,7380755.509416888,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,7383778.7697653705,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,7393246.581696823,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,7397649.794777688,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,7400885.726620034,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,7406168.413747932,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_1,陈宫心（呐）中乱如麻，,7410146.237448525,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,7446680.723548129,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,7472468.689039593,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,7474421.439352197,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,7492016.827593624,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_1,满朝中文武臣泪双流。,7508560.25987757,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,7532195.482316016,0.0
sdxp-WoHeNi-SiLangTanMu.xml_20,黄沙盖脸尸骨不全。,7532410.867138208,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,7536761.412363849,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,7536761.412363849,0.0
lsxp-DaHeYi-SiLangTanMu.xml_4,上面（哪）坐的同胞人。,7544249.572020994,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,7560975.572121682,0.0
lseh-JinZhongXiang-ShangTianTai.xml_1,寡人喜的是五谷丰登。,7582629.892093622,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_10,爹娘（呃）要相逢除非是梦（呃）里团圆。,7584333.5000975095,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,7586709.620564704,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,7594343.340881621,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,7601464.240528847,0.1
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,7615341.99299957,0.0
lsxp-ZheYiFeng-DingJunShan.xml_5,三通鼓刀出鞘四通（呃）鼓把兵交。,7618767.9561718395,0.0
