夜夜何曾得安眠,0,夜夜何曾得安眠。
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,7911346.62847314,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_1,年老得配女娇娃。,7926721.410153439,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-2.xml_7,拔出剑将他的满门杀。,7935108.539709037,0.0
lsxp-WoBenShi-KongChengJi-1.xml_7,俺诸（喏）葛怎比得前辈呀的先哪生。,7962491.197937096,0.14285714285714285
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,7993612.75103538,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_3,谁知昭关有阻拦。,8005280.507402161,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_3,缘何不救我出笼牢。,8028830.64310479,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,8028988.801513495,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,8032159.892610082,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,8038221.569939357,0.0
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,8041287.068842565,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_6,一连几天我的眉不（呃）展，,8052816.071564716,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,8064102.0276732035,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,8064895.574931463,0.0
lsxp-WoBenShi-KongChengJi-2.xml_7,我诸葛怎比得前辈（呃）的先（呃）生。,8070602.2076852955,0.14285714285714285
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,8074021.206696083,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,8077990.950557275,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,8100920.5176744675,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,8112797.4649782935,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,8122211.517261174,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,8126480.168750511,0.2857142857142857
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,8153133.305091981,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,8159365.4549034955,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_3,见坟台不见人刀割我心。,8167383.745790019,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,8187168.501119446,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,8202637.615980407,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_3,谁知昭关有阻拦。,8210189.853276131,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_23,我岂肯放虎归山又（哇）把人抓。,8212883.533003272,0.0
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,8243140.463849387,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,8253293.299991246,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,8254681.457176266,0.0
sdxp-WoHeNi-SiLangTanMu.xml_2,贤公主又何必过于谦言。,8257910.586014004,0.14285714285714285
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,8276957.072309736,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,8281090.523075673,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,8283333.9479872575,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,8288984.054428551,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,8317233.5968186045,0.0
lsxp-DaHeYi-SiLangTanMu.xml_24,你是番邦什么人？,8317284.045639603,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,8323626.869813178,0.14285714285714285
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,8359497.054366727,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,8372805.050945963,0.0
sdxp-SuLongWei-WuJiaPo.xml_19,是烈女就该在家院，,8384399.955956533,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,8385252.904405002,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,8411709.175509114,0.14285714285714285
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,8471822.328168452,0.0
lseh-XiRiLi-BaoLianDeng.xml_13,二娇儿也难比那两个贤人。,8499440.748222765,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,8507614.502070518,0.0
sdxp-SuLongWei-WuJiaPo.xml_17,买绫罗与绸缎、打首饰和簪环，,8518683.891506255,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,8522034.80373372,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,8582509.047667764,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,8592444.903692026,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,8600065.536506517,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,8620005.667093085,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,8624434.716725834,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,8632244.198259657,0.14285714285714285
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,8637319.643754555,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,8643010.170876082,0.14285714285714285
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,8652747.628348118,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,8668400.811876792,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,8668611.573888281,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,8690841.491244536,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,8726777.21624767,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_3,为千岁懒观五凤楼。,8727171.889211627,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,8730473.769161914,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,8742222.183055917,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,8747893.379282394,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,8751869.913000247,0.0
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,8763868.191257525,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,8769289.045503633,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,8782288.24979813,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_6,为军的要人我是不要钱。,8787116.264848012,0.0
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,8795946.105297912,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,8877868.887177287,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,8882144.997489965,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,8887801.15890993,0.0
lsxp-QingGongYan-FaDongWu.xml_0,庆功宴上把酒饮，,8904945.026482796,0.0
lseh-YangYanZhao-PengBei.xml_5,又恐怕惊动了年迈之人。,8912361.565053824,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,8980601.393577361,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,8998881.081524448,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,9014048.2858482,0.0
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,9017515.375522792,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_4,山高路远少来问候，,9023959.38545146,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,9025951.225631015,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,9056093.906718226,0.2857142857142857
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,9077897.054492025,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,9083224.166661147,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_2,为千岁懒把朝房走，,9140303.170099532,0.0
sdxp-DangNianHan-SanJiZhang.xml_2,未央宫斩的是何人？,9206306.060703205,0.14285714285714285
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,9216195.961259983,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,9229440.40296671,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,9238640.836324938,0.0
lsxp-ZouYingLong-DaYanSong.xml_10,他本是我朝中上欺天子下压臣谋朝篡位卖国的奸贼他名叫严嵩，,9239430.003140926,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,9248395.433424708,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,9257690.417075176,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,9263664.085544424,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,9295154.720611935,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,9318273.480895614,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,9325324.745165337,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_1,愁人心（哪）中似箭穿。,9329668.710282521,0.0
lsxp-YiShiWu-YuCangJian.xml_7,我与奸贼不共戴天！,9344923.730705742,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_5,这才是花随水水不（哇）能恋（呐）花。,9355024.080181407,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,9386119.04699347,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,9396874.851165362,0.0
lsxp-WeiCengKai-QiYuanBao.xml_3,姓刘名安字世昌。,9425584.196191039,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,9432544.183670845,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,9433089.978116654,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,9455129.319039417,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,9459095.694818627,0.0
lseh-XiRiLi-BaoLianDeng.xml_12,为父的怎比得孤竹君，,9468898.93246274,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-2.xml_1,愁人心（呐）中似箭穿。,9485798.040048717,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,9493075.594255794,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_4,幸遇那东皋公行方便，,9498400.46895493,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,9501971.573096635,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,9513026.33754543,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_5,这才是花随水水不（哇）能恋（呐）花。,9535443.363439063,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,9553553.510691015,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,9580975.521093898,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,9603054.735702856,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,9608561.297336962,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,9611019.346746657,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,9626718.889952179,0.14285714285714285
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,9635500.296995906,0.14285714285714285
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,9642193.785085393,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,9643486.636247002,0.0
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,9644761.904508771,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,9649129.208157,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,9665473.538525183,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,9678953.869220536,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,9678953.869220536,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,9688154.083746402,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,9690095.123745644,0.0
lseh-ZiNaRi-HongYangDong.xml_5,又谁知焦克明他私（呀）自后跟（呐），,9690327.90256313,0.0
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,9698401.02738737,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,9709800.359911459,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,9740562.879418064,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,9748366.59594853,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,9751440.18334538,0.0
lsxp-WoBenShi-KongChengJi-2.xml_3,算就了汉家的业鼎足（呃）三分。,9760200.755817672,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,9763533.96068495,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,9778959.218310047,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,9782423.54632423,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,9790557.133903578,0.0
lseh-WeiKaiYan-RangXuZhou.xml_2,二犬子（呃）皆年幼（哇）难当（呃）重任，,9819487.075858546,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,9826584.826988593,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,9833061.568035807,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,9857136.717305444,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,9871931.227141315,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,9889019.342331951,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,9889019.342331951,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,9889466.539359013,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,9894918.61851392,0.14285714285714285
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,9897310.91487727,0.0
sdxp-WoHeNi-SiLangTanMu.xml_20,黄沙盖脸尸骨不全。,9900662.953061705,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_1,满朝中文武臣泪双流。,9907049.948253483,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,9917925.002573883,0.0
sdxp-WoHeNi-SiLangTanMu.xml_14,见母一面即刻还。,9935546.668070203,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,9937533.52431144,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,9945560.117374687,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,9950779.170700476,0.42857142857142855
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,9966319.433916692,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,9972388.692231013,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,9986681.778683363,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,9995911.154754756,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,10013590.127060877,0.0
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,10014384.069715684,0.0
