今夜晚怎能够盼到明天,0,今夜晚怎能够盼到明天。
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,6039948.478426531,0.1
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,6108563.893552705,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,6120160.344068008,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,6138237.278961217,0.0
lsxp-DaHeYi-SiLangTanMu.xml_25,家住哪州并哪郡？,6140610.083758522,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,6140912.858736353,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,6159647.870240427,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,6165390.745637389,0.1
lseh-TanXiongDi-SangYuanJiZi.xml_0,叹兄兀弟遭不幸一旦丧命，,6176079.267179881,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,6179746.72198157,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,6179746.72198157,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,6183289.076907151,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,6192739.853367515,0.1
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,6211697.503738291,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,6228451.334246102,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_0,为国家哪何曾半日闲空，,6260382.7374491785,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,6319716.3928979635,0.0
lseh-XiRiLi-BaoLianDeng.xml_0,昔日里有一个孤竹君，,6345392.358277156,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,6363221.641890264,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,6487589.290964689,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,6553691.925537473,0.0
sdxp-DangNianHan-SanJiZhang.xml_4,仙女嫁的又是何人？,6587319.576403005,0.0
lseh-YangYanZhao-PengBei.xml_0,杨延昭奉父命巡查大营，,6605927.305339625,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,6673309.439549091,0.0
sdxp-SuLongWei-WuJiaPo.xml_4,咬定牙关他就不认承。,6680042.127672184,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,6703401.658992075,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_36,对天发不宏誓愿，,6745051.30877384,0.1
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,6761909.330186745,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_20,对天发下宏誓愿，,6779987.268606035,0.1
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,6783524.287038998,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,6795288.107541182,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,6802120.328583874,0.0
lsxp-WoBenShi-KongChengJi-1.xml_5,东西战南北剿博古通呃今。,6804438.648042947,0.1
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,6809567.21228764,0.1
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,6831816.1114568515,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,6847176.772734607,0.0
sdxp-WoHeNi-SiLangTanMu.xml_10,怎奈我身在番难以过关。,6913713.147035711,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,7028231.200880815,0.1
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,7030817.396624982,0.0
lsxp-ZiGuDao-HuangHeLou.xml_1,主公不必加愁肠。,7041056.943546408,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_26,要相逢陈非是梦（兀）里团圆。,7090145.531706903,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,7100208.880039825,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,7128406.104600145,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,7150871.263879169,0.0
lsxp-WoBenShi-KongChengJi-1.xml_9,我面前缺少个知呃音的人。,7175608.097162731,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_1,胡言乱语怎瞒（呐）咱。,7178672.006637978,0.1
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,7198835.357089674,0.0
lsxp-WoBenShi-KongChengJi-1.xml_2,先帝呀爷下南阳御呀驾三请，,7214917.972348341,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,7215389.311284438,0.0
lseh-LaoZhangBu-WuPenJi.xml_0,老丈不（哇）必胆怕惊，,7259291.003653047,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,7262983.660884316,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,7332613.790325452,0.0
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,7336129.30540673,0.0
lsxp-WoBenShi-KongChengJi-2.xml_5,东西战南北剿博古（呃）通（哦）今。,7352900.579842432,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,7404167.935744271,0.0
lsxp-ZiGuDao-HuangHeLou.xml_3,二将军保架过长江。,7428683.677143227,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,7458770.590110679,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,7481570.659105748,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,7530156.292613415,0.1
lseh-YiLunMing-ZhuoFangCao-1.xml_18,观此贼睡卧真（呐）潇洒，,7546584.317585471,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,7547391.299248444,0.1
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,7582845.917294959,0.1
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,7583326.625989836,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,7620169.308931608,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,7699913.385466539,0.1
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,7765313.293565069,0.1
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,7766885.847848397,0.0
lsxp-DaHeYi-SiLangTanMu.xml_22,灯光之下看不真。,7769855.142232889,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,7786276.001404848,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,7789910.214507982,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,7789910.214507982,0.0
lsxp-WeiCengKai-QiYuanBao.xml_1,尊一声太爷听端详。,7795746.822911418,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,7842919.34702133,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,7885796.417366105,0.0
lseh-LaoZhangBu-WuPenJi.xml_4,我忙将树（呃）枝摆摇（哇）动，,7929872.966190507,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,7937453.905090153,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,7937919.910139659,0.0
lsxp-ZouYingLong-DaYanSong.xml_0,忽听得万岁宣应龙，,7941222.586118805,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,7944891.733699916,0.0
lseh-XiRiLi-BaoLianDeng.xml_2,都只为孤（哇）竹君身染重病（哪），,7947666.169041838,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,7989231.080532168,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,8004674.748342804,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_3,赏罚中公（呃）平莫要自由。,8012621.9480343545,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,8051642.56241131,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,8051642.56241131,0.0
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,8063512.57227068,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_2,官封到节度使（喏）皇王恩重，,8075406.143649939,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,8093759.1987619735,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_34,寻短（哪）哎见爹娘（兀）！,8116183.266660856,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,8135028.582667852,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_2,官封到节度使（喏）皇王恩重，,8135784.38278221,0.1
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,8140091.9465647135,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,8160607.272861086,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_7,（啊）生死二字（喏）且由他。,8172260.539717114,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,8185245.244005172,0.0
sdxp-SuLongWei-WuJiaPo.xml_1,苏龙魏虎为媒证，,8189170.749305273,0.0
lsxp-JianMaSu-ZhanMaSu.xml_2,大胆不听我的话，,8199391.48423214,0.0
lseh-LaoZhangBu-WuPenJi.xml_2,休把我当作了妖魔论，,8245638.637777342,0.0
sdxp-SuLongWei-WuJiaPo.xml_6,为军的要人我是不要钱。,8266920.5905224,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,8274155.274462351,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,8274503.248698252,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,8305026.6663906975,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,8321370.79068334,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,8333105.369765694,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,8354524.134281707,0.1
lsxp-LiangGuoJiao-ShiJieTing-1.xml_3,赏罚中公（呃）平莫要自由。,8358778.770986442,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,8378573.1424722625,0.1
lsxp-TingTaYan-ZhuoFangCao-2.xml_6,这时候我只得暂且忍耐在心下，,8379846.606182562,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,8388738.2132185,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,8426378.363857415,0.1
lseh-YiLunMing-ZhuoFangCao-1.xml_0,一轮明月照窗下，,8435550.923381006,0.1
lsxp-DaHeYi-SiLangTanMu.xml_4,上面（哪）坐的同胞人。,8445763.310704835,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,8446108.562749108,0.1
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,8473509.623442521,0.1
lsxp-DaHeYi-SiLangTanMu.xml_16,我是你四哥回宋营。,8478750.131276196,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_0,一轮明月照窗前，,8479011.673465807,0.1
lseh-YiLunMing-WenZhaoGuan-2.xml_0,一轮明月照窗前，,8494553.514743727,0.1
lsxp-CiShiJian-HuaiHeYing-2.xml_7,生死二字（喏）且由他！,8513513.292857219,0.0
sdxp-SuLongWei-WuJiaPo.xml_10,管保大嫂就断与咱。,8529659.337556187,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,8564741.98249373,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,8564741.98249373,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_1,愁人心（呐）中似箭穿。,8636010.2771259,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_1,愁人心（哪）中似箭穿。,8650125.607661605,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,8673253.726141928,0.0
lseh-ZenNengGou-BaDaChui.xml_0,怎能够思一计番营来进，,8680307.5047988,0.3
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,8690904.836345414,0.0
sdxp-SuLongWei-WuJiaPo.xml_2,王丞相是我的主婚人（哪）。,8736121.991617225,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_0,一轮明月照窗下，,8764581.16715401,0.1
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,8768821.928686894,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,8768821.928686894,0.0
lsxp-DaHeYi-SiLangTanMu.xml_8,问我一言答一声。,8860459.21309529,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_1,陈宫心中乱如麻。,8866359.809267864,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,8867292.941654904,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,8914125.479167314,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,8923269.196896,0.1
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,8944691.837763192,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_6,这时候我只得暂且忍耐在心下，,8964425.80867288,0.0
sdxp-SuLongWei-WuJiaPo.xml_3,他三人与我有仇恨，,8974696.146152155,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,8984605.37644683,0.0
lsxp-WoBenShi-KongChengJi-2.xml_1,凭阴阳如反掌保定乾坤。,8998262.470083093,0.0
lsxp-QingGongYan-FaDongWu.xml_1,想起桃园结拜情。,9002266.835380757,0.0
sdxp-SuLongWei-WuJiaPo.xml_13,腰中取出银一锭，,9056938.733892707,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,9084250.697292589,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,9123748.558361903,0.1
lseh-YiLunMing-ZhuoFangCao-1.xml_19,安眠好似并底之蛙，,9174022.086367458,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,9178807.421543518,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_5,老娘亲再讲情儿自刎头来。,9186553.642755741,0.0
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,9206048.082892457,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,9214421.834328484,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,9224039.868952148,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,9225745.909460144,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_2,官封到节度史（喏）皇王恩重，,9238743.352678087,0.1
lseh-WeiKaiYan-RangXuZhou.xml_3,老朽年迈我也不能够担承。,9247664.619804531,0.2
sdxp-SuLongWei-WuJiaPo.xml_9,衙里衙外我打点，,9258953.845671177,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,9259086.912409762,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,9286161.201742865,0.0
lsxp-WoBenShi-KongChengJi-1.xml_1,论阴阳如反掌保定乾坤。,9299638.11437768,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,9301724.600855378,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,9353023.602556037,0.1
lseh-XinZhongYou-WenZhaoGuan.xml_18,寻短（呃）哎见爹娘（呃）。,9378649.741728496,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,9390908.77844645,0.1
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,9408217.253138375,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_5,他将我隐藏在后花园。,9417944.301753936,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_1,满朝中文武臣泪双流。,9424700.089988587,0.0
sdxp-WoHeNi-SiLangTanMu.xml_2,贤公主又何必过于谦言。,9462532.973420661,0.0
lseh-ZiNaRi-HongYangDong.xml_1,三更时梦（呃）见（呐）了年迈爹尊（呐）。,9482671.405882064,0.0
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,9500222.959580738,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,9526673.134637656,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,9530704.603463834,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,9549385.33183254,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,9564696.299275348,0.1
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,9589055.689784842,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,9599863.552929396,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_1,陈宫心（呐）中乱如麻，,9617493.980520638,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,9620393.781492403,0.3
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,9640177.330558151,0.0
lseh-XiRiLi-BaoLianDeng.xml_7,兄（呃）推弟来两不能够担承。,9642347.858177468,0.2
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,9646972.360418282,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,9652457.995344665,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,9708323.177949443,0.0
lseh-ZenNengGou-BaDaChui.xml_2,前也思（喏）后又想无有计定，,9719277.094088351,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_2,悔不该心猿并意马，,9723114.800675923,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_21,我不杀平王我的心怎甘。,9726920.589425806,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,9731477.069023801,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,9736134.691166809,0.0
lseh-ZiNaRi-HongYangDong.xml_9,因此上臣的病重（呃）加十分、千岁爷呀！,9737382.993640885,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,9746869.503678756,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,9776671.524445217,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,9778067.092221506,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,9790581.626742555,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,9801485.512243964,0.1
sdxp-SuLongWei-WuJiaPo.xml_17,买绫罗与绸缎、打首饰和簪环，,9814224.441702578,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,9827003.24336417,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,9828422.375336787,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,9828905.921028625,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,9838675.966794819,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,9840597.930322954,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,9843511.276486278,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_5,他将我隐藏在后花园。,9853223.739965275,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_37,我不杀平王我的心怎甘（哪）。,9886984.87634604,0.1
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,9916323.159746014,0.0
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,9919086.17130303,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,9941288.690117454,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,10009055.771087706,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,10017906.115575451,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_0,屠贼做事心太狠，,10019025.83384937,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,10025464.705713544,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,10038323.998075316,0.1
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,10066098.10365052,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,10075556.279702846,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,10080796.419216271,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,10085567.367469322,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,10110865.36928583,0.0
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,10111207.017053898,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,10112774.552396357,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,10113513.847073948,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_0,一轮明月照窗下，,10115140.965290086,0.1
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,10117071.911147371,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_1,陈宫心（呐）中乱如麻，,10124965.989193667,0.0
lsxp-ZheYiFeng-DingJunShan.xml_3,大小儿郎听根苗，,10133248.794780372,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,10166251.846834654,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,10203194.59519054,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_28,越思越想好伤惨，,10219798.587662807,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,10225853.02357424,0.1
lseh-XiRiLi-BaoLianDeng.xml_15,打死个秦官保父不能担承。,10229597.058077248,0.1
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,10245164.60222094,0.0
sdxp-WoHeNi-SiLangTanMu.xml_12,无有令箭怎过关。,10255007.668166906,0.1
lseh-ZiNaRi-HongYangDong.xml_0,自（喏）那日朝罢归身（呐）染重病，,10263682.616954518,0.0
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,10270042.179221833,0.0
