愁人心中似箭穿,0,愁人心（哪）中似箭穿。
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,6259075.043165995,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,6272491.82041764,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,6280007.640988592,0.14285714285714285
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,6312747.979159539,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,6350953.787629357,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_7,夜夜何曾得安眠。,6380637.720666287,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_7,夜夜何曾得安眠。,6380637.720666287,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_9,不能（呃）哎见。,6407278.878807049,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,6408018.950416011,0.14285714285714285
lseh-WeiGuoJia-HongYangDong-3.xml_0,为国家哪何曾半日闲空，,6412656.603741754,0.0
lsxp-JianMaSu-ZhanMaSu.xml_2,大胆不听我的话，,6412755.476188884,0.0
lsxp-YiShiWu-YuCangJian.xml_5,信用无极狗奸谗。,6435200.523712531,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,6446219.854915366,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,6465197.952760812,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,6467937.898507012,0.0
lsxp-JianMaSu-ZhanMaSu.xml_0,见马谡（唩）跪帐下，,6490004.609612773,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_0,我主爷起义在芒砀，,6510757.911232019,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,6516728.001382755,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,6518483.399716339,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,6556455.302582901,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,6562516.011523038,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,6575054.979897796,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,6590176.128889926,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,6591692.207664845,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,6662489.767792262,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,6669724.073470557,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,6674673.265933545,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_0,一轮明月照窗下，,6704789.95364436,0.0
lseh-XiRiLi-BaoLianDeng.xml_13,二娇儿也难比那两个贤人。,6726300.199265852,0.14285714285714285
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,6728801.028920286,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,6732981.418970524,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-2.xml_0,一轮明月照窗前，,6741775.15088271,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,6746579.303696982,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,6747228.0041583385,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_4,上面（哪）坐的同胞人。,6806783.090163586,0.14285714285714285
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,6808253.600526911,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,6848246.420488968,0.0
lsxp-DaHeYi-SiLangTanMu.xml_22,灯光之下看不真。,6863806.877844034,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,6869746.023222617,0.2857142857142857
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,6872880.505057303,0.0
lsxp-DaHeYi-SiLangTanMu.xml_26,要见本帅为何情？,6878034.997301533,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,6878852.7473960705,0.0
sdxp-WoHeNi-SiLangTanMu.xml_2,贤公主又何必过于谦言。,6886428.996088859,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_23,我岂肯放虎归山又（哇）把人抓。,6891149.52386306,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,6908874.494055346,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_0,一轮明月照窗前，,6921138.754408298,0.0
sdxp-WoHeNi-SiLangTanMu.xml_14,见母一面即刻还。,6923287.151406307,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,6925155.889569336,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,6940658.783300905,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,6946605.22147546,0.14285714285714285
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,6949678.841079054,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_3,耳听笙歌闹喧哗。,6951463.718311795,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,6954522.976135582,0.14285714285714285
lseh-WeiKaiYan-RangXuZhou.xml_5,救生灵（呐）积阴（呐）功也免得我坐卧不宁。,6972155.3613447,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,6981213.032548376,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,6985996.557089616,0.0
sdxp-SuLongWei-WuJiaPo.xml_17,买绫罗与绸缎、打首饰和簪环，,7009201.573026885,0.0
lsxp-WoBenShi-KongChengJi-2.xml_9,我面前却少个知（呃）音的人。,7017499.284941233,0.14285714285714285
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,7023311.975448465,0.0
lseh-WeiKaiYan-RangXuZhou.xml_0,未开言不由人（呐）珠泪滚滚，,7026243.718336885,0.14285714285714285
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,7071101.464482867,0.2857142857142857
lsxp-DaHeYi-SiLangTanMu.xml_6,怎知今日回宋营。,7081116.786070538,0.0
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,7099243.284265682,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_1,陈伯愚年半百无有后苗。,7132191.55411706,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_0,为国家哪何曾半日闲空，,7162674.274328201,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,7220832.8037345065,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,7245994.107179226,0.14285714285714285
lseh-XinZhongYou-WenZhaoGuan.xml_10,爹娘（呃）要相逢除非是梦（呃）里团圆。,7246710.759135356,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_37,我不杀平王我的心怎甘（哪）。,7264941.283498358,0.14285714285714285
lsxp-LiangGuoJiao-ShiJieTing-2.xml_3,赏罚中公（呃）平莫要自由。,7323683.1642283015,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_25,家住哪州并哪郡？,7364247.3474226445,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,7367427.065940065,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,7369061.756593706,0.0
lsxp-ZheYiFeng-DingJunShan.xml_0,这一封（呃）书信来得巧，,7371450.896401792,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,7406485.891266788,0.14285714285714285
lsxp-HenPingWang-WenZhaoGuan.xml_2,我的（呀）父谏奏反把命（哪）送，,7416549.273926535,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,7419222.516451364,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,7429661.409834846,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_11,自有那神灵儿天地鉴察。,7429884.334463254,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,7434690.1637697,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,7440454.681749207,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,7443795.584268087,0.0
sdxp-SuLongWei-WuJiaPo.xml_6,为军的要人我是不要钱。,7445449.85539434,0.14285714285714285
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,7452386.159140146,0.14285714285714285
lseh-XinZhongYou-WenZhaoGuan.xml_18,寻短（呃）哎见爹娘（呃）。,7456677.283838398,0.0
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,7458386.740148168,0.14285714285714285
lsxp-ZiCongQian-ZhuLianZhai.xml_2,为千岁懒把朝房走，,7464274.726660664,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,7483810.581713222,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,7492514.231209083,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,7518237.98145684,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,7520725.476421516,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_14,悔不该把家属一（呀）旦撇下，,7553888.702897521,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,7597902.388696949,0.14285714285714285
lsxp-ShenGongWu-LongFengChengXiang.xml_1,年老得配女娇娃。,7605903.944636878,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,7613048.730629931,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,7613211.953064533,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,7624546.306625909,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,7653826.95856972,0.14285714285714285
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,7656741.865335921,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_21,我不杀平王我的心怎甘。,7732839.701396155,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,7749790.664478316,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,7758175.717853354,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,7792478.822478425,0.14285714285714285
lseh-YiLunMing-ZhuoFangSuDian.xml_0,一轮明月照窗下，,7794894.228464841,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,7798474.433884372,0.2857142857142857
lseh-ZiNaRi-HongYangDong.xml_0,自（喏）那日朝罢归身（呐）染重病，,7803661.003268872,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_12,越思越想好伤惨，,7806698.805766977,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,7826632.956562766,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,7844600.045885442,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,7848533.026665765,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_3,身不爽不由人瞌睡朦胧。,7893589.347525978,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,7917103.846531736,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,7922394.040316734,0.0
lseh-ZenNengGou-BaDaChui.xml_3,倒不如上公安观看古今。,7929633.335576083,0.0
lseh-XiRiLi-BaoLianDeng.xml_15,打死个秦官保父不能担承。,7944800.146674377,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,7948037.580545501,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_3,身不爽不由人瞌睡朦胧（呃）。,7975214.918773009,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,7986437.4145484455,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,7999105.58045813,0.0
lsxp-DaHeYi-SiLangTanMu.xml_16,我是你四哥回宋营。,8005723.625932203,0.0
lsxp-YiShiWu-YuCangJian.xml_7,我与奸贼不共戴天！,8009744.622573881,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,8015900.597853583,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,8028188.398032257,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_28,越思越想好伤惨，,8053992.703207314,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,8059800.9969468545,0.0
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,8094608.940699889,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_5,为何几日他不言，,8102647.258543668,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,8117582.622385771,0.2857142857142857
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,8123514.379548577,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,8129783.825065158,0.0
lsxp-YiShiWu-YuCangJian.xml_3,靠山绿（哇）水常在面前。,8129940.492211101,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,8144861.024919527,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,8151102.325076334,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,8154071.900517705,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,8155331.974254876,0.2857142857142857
lsxp-ZheYiFeng-DingJunShan.xml_3,大小儿郎听根苗，,8158427.645873799,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,8166708.384791274,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,8180028.796979816,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,8180028.796979816,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,8183382.926227594,0.0
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,8193295.031531093,0.0
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,8202490.555354479,0.0
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,8208049.692502813,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,8210644.823443524,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,8218611.822801885,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,8248615.499839068,0.0
sdxp-DangNianHan-SanJiZhang.xml_4,仙女嫁的又是何人？,8259983.45609807,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,8268719.336807841,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,8272927.000345381,0.0
lsxp-DaHeYi-SiLangTanMu.xml_8,问我一言答一声。,8281740.417508181,0.0
lsxp-QingGongYan-FaDongWu.xml_0,庆功宴上把酒饮，,8292951.291027723,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,8303604.565141906,0.0
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,8307025.080761446,0.14285714285714285
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,8312885.578224545,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,8320793.484789143,0.0
lseh-XiRiLi-BaoLianDeng.xml_0,昔日里有一个孤竹君，,8320878.125175695,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_2,官封到节度史（喏）皇王恩重，,8331258.112823256,0.0
lseh-ZenNengGou-BaDaChui.xml_0,怎能够思一计番营来进，,8332232.106724465,0.0
lsxp-DaHeYi-SiLangTanMu.xml_14,失落番邦被贼擒。,8356155.616530764,0.0
lseh-WeiKaiYan-RangXuZhou.xml_2,二犬子（呃）皆年幼（哇）难当（呃）重任，,8363621.850393432,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,8368875.095740688,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,8384494.545126648,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,8395679.604982637,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_4,马行在来道内我难（呐）以回（呀）马，,8395679.604982637,0.0
sdxp-SuLongWei-WuJiaPo.xml_1,苏龙魏虎为媒证，,8416313.708534399,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,8423901.807999592,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,8446844.868873283,0.0
sdxp-DangNianHan-SanJiZhang.xml_2,未央宫斩的是何人？,8470695.132627247,0.14285714285714285
lseh-WeiGuoJia-HongYangDong-2.xml_3,身不爽不由人瞌睡朦胧（呃）（哪）。,8490001.74096195,0.14285714285714285
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,8497611.856362326,0.0
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,8503917.89075529,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,8526011.967801474,0.2857142857142857
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,8535611.489298094,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,8543369.884665892,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_2,官封到节度使（喏）皇王恩重，,8553113.262322014,0.0
sdxp-SuLongWei-WuJiaPo.xml_3,他三人与我有仇恨，,8566195.588516312,0.14285714285714285
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,8567445.727035157,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,8581746.42608527,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,8583143.425813677,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_0,叹兄兀弟遭不幸一旦丧命，,8594637.874880822,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_11,自有那神灵儿天地鉴察。,8602837.974194773,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,8618229.634050997,0.0
sdxp-SuLongWei-WuJiaPo.xml_7,大嫂说话礼不端，,8622872.220454553,0.0
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,8635215.504101627,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,8650327.51557213,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,8655052.348354869,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_3,缘何不救我出笼牢。,8669624.102846,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,8677940.628253147,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,8683870.762396233,0.0
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,8721807.851552552,0.14285714285714285
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,8723678.824429993,0.0
lsxp-YiShiWu-YuCangJian.xml_1,叹光明一去不回还（呐）；,8730629.893464694,0.0
lseh-YangYanZhao-PengBei.xml_0,杨延昭奉父命巡查大营，,8771384.67282619,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,8775536.20136843,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,8783286.01356119,0.0
lsxp-QingGongYan-FaDongWu.xml_1,想起桃园结拜情。,8799461.994599981,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,8808422.201302432,0.0
lsxp-WoBenShi-KongChengJi-2.xml_5,东西战南北剿博古（呃）通（哦）今。,8812312.289306987,0.0
lsxp-WoBenShi-KongChengJi-1.xml_5,东西战南北剿博古通呃今。,8813603.088131838,0.0
