自那日朝罢归身染重病,0,自（喏）那日朝罢归身（呐）染重病，
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,8545074.311878717,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,8570757.476155981,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,8580627.023647277,0.2
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,8588051.494437603,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_0,为国家哪何曾半日闲空，,8625209.450183174,0.1
lsxp-ZiGuDao-HuangHeLou.xml_3,二将军保架过长江。,8629632.178462476,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,8639069.177361172,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_3,耳听笙歌闹喧哗。,8687070.523413094,0.0
sdxp-SuLongWei-WuJiaPo.xml_13,腰中取出银一锭，,8695783.650905764,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,8706860.637503095,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,8710949.766153036,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,8711949.02712768,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_6,这时候我只得暂且忍耐在心下，,8738644.287800355,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,8755130.125732327,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_36,对天发不宏誓愿，,8784760.640601901,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_6,这时候我只得暂且忍耐在心下，,8785035.079852974,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_1,丢下了年幼儿好不伤情。,8786747.799812872,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,8801218.271172002,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,8803063.365553433,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,8803072.70423687,0.1
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,8816437.945717657,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,8817441.825169237,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_14,悔不该把家属一（呀）旦撇下，,8820027.279400729,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_0,一轮明月照窗前，,8824848.377400909,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,8826381.502544945,0.0
lseh-ZenNengGou-BaDaChui.xml_2,前也思（喏）后又想无有计定，,8833203.934342269,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_0,一轮明月照窗下，,8835032.442472134,0.0
sdxp-SuLongWei-WuJiaPo.xml_2,王丞相是我的主婚人（哪）。,8859998.69243609,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,8870193.002882311,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,8877607.388042359,0.1
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,8878333.228720002,0.0
lseh-JinZhongXiang-ShangTianTai.xml_1,寡人喜的是五谷丰登。,8883834.688429017,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,8889267.244780257,0.0
lsxp-QingGongYan-FaDongWu.xml_1,想起桃园结拜情。,8908703.271416178,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,8919413.655617328,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,8922060.907946667,0.0
lseh-LaoZhangBu-WuPenJi.xml_4,我忙将树（呃）枝摆摇（哇）动，,8929119.48684344,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,8940828.452791091,0.0
lseh-LaoZhangBu-WuPenJi.xml_6,我和你远无冤近无有仇恨，,8962332.79161528,0.0
lseh-XiRiLi-BaoLianDeng.xml_2,都只为孤（哇）竹君身染重病（哪），,8964248.409813177,0.4
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,8997135.013476241,0.0
lsxp-JianMaSu-ZhanMaSu.xml_2,大胆不听我的话，,9009017.236028735,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,9011217.623670388,0.1
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,9013066.366672026,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_26,要相逢陈非是梦（兀）里团圆。,9027895.047861958,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,9028947.098929321,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,9032117.402889593,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,9041621.40512708,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,9045418.5017496,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,9048807.459612735,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_0,为国家哪何曾半日闲空，,9053440.59292544,0.1
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,9054344.040372025,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,9063323.129578965,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,9075240.399405222,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,9104729.581218196,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,9140895.593364263,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,9157648.77803851,0.0
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,9159924.350077897,0.1
lsxp-ShenGongWu-LongFengChengXiang.xml_1,年老得配女娇娃。,9168991.744265657,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,9169225.33751272,0.1
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,9191618.925516563,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,9197818.869262712,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,9202011.448866691,0.1
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,9206153.617500294,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,9219800.20218159,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,9219838.15719149,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,9231628.162149474,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,9238279.871586116,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,9240560.953365643,0.1
lsxp-YiShiWu-YuCangJian.xml_7,我与奸贼不共戴天！,9246338.309711693,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,9251583.177082423,0.1
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,9256389.959974902,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_3,身不爽不由人瞌睡朦胧。,9268190.016878868,0.1
sdxp-WoHeNi-SiLangTanMu.xml_17,公主叫我盟誓愿，,9280469.642747415,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,9284991.079099394,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,9323970.11629473,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,9323970.11629473,0.0
lseh-WeiKaiYan-RangXuZhou.xml_2,二犬子（呃）皆年幼（哇）难当（呃）重任，,9356263.779556358,0.1
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,9358960.033902602,0.0
lseh-YangYanZhao-PengBei.xml_4,我本当将此事对他来论，,9359732.565985367,0.0
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,9366505.88539136,0.1
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,9373695.013714092,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,9386477.242273793,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,9422768.300203286,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,9451217.563964464,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_2,实指（惹）望到吴国借兵回转，,9458408.194876872,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,9459911.481497929,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,9493992.77806435,0.1
sdxp-DangNianHan-SanJiZhang.xml_3,小奴才真个不孝顺，,9498019.326718636,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_20,对天发下宏誓愿，,9525032.357354634,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_4,左手拉住了李左车，,9533897.103772808,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,9534614.089983683,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_0,一轮明月照窗下，,9542492.07074231,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,9612632.876215363,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,9622821.811758783,0.0
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,9640799.402432326,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,9653374.916499177,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,9665993.805170173,0.1
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,9682472.822509253,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,9686463.051173644,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,9692660.464414198,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,9713502.073929261,0.0
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,9718304.528462319,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,9719361.714677678,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,9729169.49454067,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,9729773.250147829,0.1
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,9732508.750564288,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,9732697.179739933,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,9734074.315166596,0.2
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,9752129.625186631,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,9756532.69521765,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_3,为千岁懒观五凤楼。,9771747.924767327,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,9779091.300969638,0.0
sdxp-SuLongWei-WuJiaPo.xml_4,咬定牙关他就不认承。,9793654.136491982,0.0
lseh-ZenNengGou-BaDaChui.xml_0,怎能够思一计番营来进，,9795516.669999296,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,9799510.658076636,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,9802269.063286401,0.0
lsxp-DaHeYi-SiLangTanMu.xml_14,失落番邦被贼擒。,9814878.633362234,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_5,老娘亲再讲情儿自刎头来。,9827281.305839254,0.1
lseh-YangYanZhao-PengBei.xml_0,杨延昭奉父命巡查大营，,9837034.682982042,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,9844894.30312502,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,9868190.048284488,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,9871300.648339968,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_15,今夜晚怎能够盼到明天。,9880489.460343119,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,9891809.629932329,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,9893244.172255244,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,9899395.702172583,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,9917166.567021672,0.1
lseh-YiLunMing-WenZhaoGuan-2.xml_2,实指望到吴国借兵回转，,9919125.864949103,0.0
lseh-XiRiLi-BaoLianDeng.xml_15,打死个秦官保父不能担承。,9939702.590047983,0.0
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,9963816.470815055,0.1
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,9964751.621901141,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,9965016.802730395,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,9969177.290684637,0.2
lseh-TanXiongDi-SangYuanJiZi.xml_2,眼望着孤坟台珠泪难忍，,9978084.145097144,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,9987652.976994304,0.1
lsxp-CiShiJian-HuaiHeYing-1.xml_0,此时间不可闹笑话，,9997407.956475925,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,10026854.325917765,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,10034096.66281273,0.0
lsxp-YiShiWu-YuCangJian.xml_5,信用无极狗奸谗。,10038099.142025847,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,10038995.78841383,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,10065551.189676873,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,10068906.06353435,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,10072552.350925706,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,10076142.73803852,0.0
lseh-ZenNengGou-BaDaChui.xml_3,倒不如上公安观看古今。,10088714.52346162,0.0
lsxp-YiShiWu-YuCangJian.xml_6,他害我满门（呐）真悲惨，,10104654.63513359,0.0
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,10113556.434896933,0.1
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,10115885.27063984,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,10118418.076840304,0.0
