胡言乱语怎瞒咱,8,胡言乱语怎瞒（呐）咱！
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,4706918.640115456,0.0
lsxp-ZouYingLong-DaYanSong.xml_0,忽听得万岁宣应龙，,4717241.405779432,0.0
lsxp-WeiCengKai-QiYuanBao.xml_1,尊一声太爷听端详。,4734860.0376779605,0.0
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,4759118.242083902,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,4765550.684093204,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,4769126.176947228,0.0
sdxp-SuLongWei-WuJiaPo.xml_17,买绫罗与绸缎、打首饰和簪环，,4809488.745882635,0.0
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,4828572.589797058,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_12,我好（呃）比鱼儿吞了钩线，,4833513.730562965,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,4859136.313255646,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_12,越思越想好伤惨，,4867676.543038987,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,4870549.105497195,0.0
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,4871864.706797292,0.0
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,4886117.082955405,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,4888277.676868676,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,4891530.802348698,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,4918880.536308544,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,4925182.310428209,0.0
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,4931282.602024234,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,4934842.438696001,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,4961352.224610375,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,4996300.786363705,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_3,为什么事到如今耍奸滑。,5030097.973666537,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,5050625.214193022,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,5054211.551454562,0.14285714285714285
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,5057462.8687416995,0.0
sdxp-SuLongWei-WuJiaPo.xml_6,为军的要人我是不要钱。,5068216.965649013,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,5072877.924889739,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,5082519.672701209,0.14285714285714285
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,5084374.821821355,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,5106016.051457155,0.0
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,5114747.389422372,0.0
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,5126694.814413233,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,5136025.076111654,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,5147747.159293565,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_4,马行在来道内我难（呐）以回（呀）马，,5147747.159293565,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,5149820.1598030925,0.0
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,5150914.668003028,0.14285714285714285
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,5160881.972768826,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,5171744.560263472,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,5173777.476388076,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,5188991.432492454,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,5197486.255371974,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,5208719.616435036,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_12,我好（哇）比鱼儿吞了钩线，,5223178.443114769,0.0
sdxp-WoHeNi-SiLangTanMu.xml_10,怎奈我身在番难以过关。,5230573.530137558,0.14285714285714285
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,5235103.633140753,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,5240472.5023229085,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,5269718.778481675,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,5280542.001336247,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,5287938.589055687,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,5289742.283100161,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,5304539.346633454,0.0
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,5310179.458024313,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,5322126.566377499,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,5336893.966312113,0.0
sdxp-SuLongWei-WuJiaPo.xml_4,咬定牙关他就不认承。,5346542.724761815,0.0
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,5347907.988739924,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,5350739.704901868,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,5357413.884218614,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,5359073.556076323,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,5362291.677587819,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,5366788.583829943,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,5378060.661464484,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,5381391.221250073,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,5381913.632029074,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,5388068.814465389,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,5406018.329851921,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,5411631.38680332,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,5417163.136397498,0.0
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,5424379.656889034,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,5432943.093945279,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,5470196.554720632,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,5471128.590583997,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,5477965.600404821,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,5481145.966970046,0.14285714285714285
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,5482826.883149312,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_3,为什么事到如今耍奸滑？,5485252.153298471,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,5490433.286654766,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,5494179.571832354,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,5506739.82869367,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,5510356.877976097,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,5513289.816508052,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,5518397.291944648,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,5536676.149562657,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,5552326.925044336,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,5572950.192864437,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,5572950.192864437,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,5574811.484974582,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_3,悔不该随他人到吕家。,5580582.401969388,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,5580684.6524433475,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,5582935.928275112,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,5583170.520109692,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,5585607.8652649475,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,5602352.916256317,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,5631548.909385084,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,5631750.181221301,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,5642231.3424482625,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,5647369.433114057,0.0
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,5650665.045789771,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,5654080.55173567,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,5654190.73655183,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,5683538.799581048,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,5691546.961349504,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,5691546.961349504,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,5698333.58223254,0.0
lseh-XiRiLi-BaoLianDeng.xml_13,二娇儿也难比那两个贤人。,5699687.64433423,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,5719864.5862255795,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_0,屠贼做事心太狠，,5739870.003061932,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,5742373.364089978,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,5749175.5962963365,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,5755140.286107194,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,5774473.335238183,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,5787899.229300635,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,5812675.893237464,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,5831942.233360916,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,5842356.359781144,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,5849778.063257909,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_4,左手拉住了李左车，,5868637.8498314675,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,5871234.898183459,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,5871234.898183459,0.14285714285714285
lsxp-CiShiJian-HuaiHeYing-2.xml_5,右手再把栾布拉，,5888473.294990168,0.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,5890898.068802914,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,5892481.053929597,0.0
lseh-XiRiLi-BaoLianDeng.xml_7,兄（呃）推弟来两不能够担承。,5897374.750821807,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,5906338.312730644,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_28,越思越想好伤惨，,5906815.58520968,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,5919257.119546057,0.14285714285714285
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,5924253.65908888,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,5930796.816479251,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,5942344.345562358,0.14285714285714285
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,5945509.161922831,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,5952921.981814971,0.0
sdxp-SuLongWei-WuJiaPo.xml_13,腰中取出银一锭，,5957678.535713325,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_3,悔不该随他人到吕家。,5966920.694733603,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,5969849.503167939,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,5986295.361158773,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,5994433.760366863,0.14285714285714285
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,6014718.172567843,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,6033420.749246054,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,6035167.681341882,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,6035441.861337005,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,6046793.744863193,0.0
sdxp-DangNianHan-SanJiZhang.xml_1,登台拜帅是韩信，,6049583.159578755,0.0
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,6052166.853216876,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,6057169.6713658245,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,6058983.602229331,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,6071128.262892001,0.0
lsxp-ZouYingLong-DaYanSong.xml_7,站立在殿角用目来观定，,6086344.564324683,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,6088778.207453318,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,6099209.224268627,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,6100020.100838565,0.0
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,6100617.446316244,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,6112818.792192407,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,6116178.210542478,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,6129877.410774457,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_0,听他言听得我心（呐）惊胆怕，,6129901.840500178,0.14285714285714285
lsxp-TingTaYan-ZhuoFangCao-2.xml_0,听他言吓得我心（呐）惊胆怕，,6129901.840500178,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,6133778.483859699,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,6133778.483859699,0.14285714285714285
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,6141084.84624549,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_12,今日里萧何荐良将，,6141885.557500637,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,6151541.0191909745,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,6172222.045912671,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,6172222.045912671,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,6185382.272315106,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,6188069.882469504,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,6193530.38515225,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,6199650.805384004,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,6211143.450515561,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,6213283.463728759,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,6214266.731600246,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,6225220.11293774,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,6226760.801309366,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,6235496.234803679,0.0
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,6242990.773647004,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,6244233.753247342,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,6247134.29068473,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,6256647.476245227,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,6256811.956793836,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,6259770.589619986,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,6259911.457706129,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,6264804.51118286,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,6281598.791965356,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,6298826.461577062,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,6313049.867238951,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,6317057.427724943,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,6317057.427724943,0.0
sdxp-DangNianHan-SanJiZhang.xml_3,小奴才真个不孝顺，,6317878.724288019,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,6318300.070492368,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,6318740.613209604,0.14285714285714285
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,6324039.564405519,0.0
lsxp-WoBenShi-KongChengJi-2.xml_0,我本是卧龙岗散淡（呐）的人，,6325241.727380585,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,6328884.157272767,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,6336126.03177651,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,6339822.105397057,0.0
