一轮明月照窗前,0,一轮明月照窗前，
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,6488355.737306732,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_5,他将我隐藏在后花园。,6562329.634825745,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,6634667.947800463,0.14285714285714285
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,6639457.832950986,0.0
lsxp-DaHeYi-SiLangTanMu.xml_6,怎知今日回宋营。,6654474.400536147,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_26,要相逢陈非是梦（兀）里团圆。,6720468.761039048,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,6721745.172583936,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,6741963.552758087,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,6746166.450438176,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_2,官封到节度使（喏）皇王恩重，,6848035.919580428,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,6850477.493686288,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_2,官封到节度使（喏）皇王恩重，,6863571.772834536,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,6877338.899064967,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,6877338.899064967,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_5,他将我隐藏在后花园。,6885186.616599687,0.0
lsxp-DaHeYi-SiLangTanMu.xml_14,失落番邦被贼擒。,6958600.336626884,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,6968640.516921026,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,6973560.488982334,0.0
lseh-YangYanZhao-PengBei.xml_0,杨延昭奉父命巡查大营，,7005435.296155518,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,7050506.60516335,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,7135775.291482296,0.0
lseh-XiRiLi-BaoLianDeng.xml_0,昔日里有一个孤竹君，,7148619.887275165,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_2,贤公主又何必过于谦言。,7152926.353330037,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,7194203.245933346,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,7239640.15754614,0.14285714285714285
lseh-NiangZiBu-SouGuJiuGu.xml_10,千言万（哪）语她不肯，,7277484.8924237,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,7292123.025513268,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,7300974.027993833,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,7304341.969034916,0.14285714285714285
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,7367487.684695567,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_15,今夜晚怎能够盼到明天。,7375869.316546106,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,7391121.529518116,0.0
sdxp-DangNianHan-SanJiZhang.xml_4,仙女嫁的又是何人？,7391410.728384021,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,7405234.17030623,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,7414584.0231518475,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,7414800.02730377,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_2,官封到节度史（喏）皇王恩重，,7418672.238787495,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,7422633.225478408,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,7433710.130623668,0.0
lsxp-DaHeYi-SiLangTanMu.xml_8,问我一言答一声。,7501209.345531158,0.14285714285714285
lsxp-WoBenShi-KongChengJi-2.xml_5,东西战南北剿博古（呃）通（哦）今。,7506990.738638412,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_36,对天发不宏誓愿，,7566981.31026014,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,7572482.214219141,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_15,今夜晚怎能够盼到明天。,7611499.927251076,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,7624789.545235574,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,7631300.92293204,0.14285714285714285
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,7631774.942915993,0.0
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,7646709.16674188,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,7688536.606262961,0.14285714285714285
sdxp-DangNianHan-SanJiZhang.xml_2,未央宫斩的是何人？,7715736.931532854,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_2,我的（呀）父谏奏反把命（哪）送，,7747685.853770414,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,7752465.356252338,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,7766371.440487495,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,7769054.594354116,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,7779734.940661753,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,7783356.824851646,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,7794064.432578849,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,7852994.183531086,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,7872807.194288173,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_20,对天发下宏誓愿，,7875281.700636495,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,7918977.5761594,0.0
lsxp-WoBenShi-KongChengJi-1.xml_5,东西战南北剿博古通呃今。,7933805.460297701,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_0,屠贼做事心太狠，,7964441.588955161,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,7985587.492286609,0.0
lsxp-DaHeYi-SiLangTanMu.xml_22,灯光之下看不真。,8028354.001836959,0.0
lsxp-WoBenShi-KongChengJi-2.xml_9,我面前却少个知（呃）音的人。,8073498.191591371,0.14285714285714285
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,8078722.15709817,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,8120033.34847435,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,8131108.76041586,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,8132490.47869253,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,8157649.757727811,0.14285714285714285
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,8162208.823163439,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_11,自有那神灵儿天地鉴察。,8212775.563765389,0.0
sdxp-WoHeNi-SiLangTanMu.xml_12,无有令箭怎过关。,8251057.209447939,0.0
lsxp-DaHeYi-SiLangTanMu.xml_4,上面（哪）坐的同胞人。,8253084.337729148,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,8259708.983277169,0.0
lsxp-QingGongYan-FaDongWu.xml_1,想起桃园结拜情。,8263118.872724443,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,8275764.042325667,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,8285884.077364848,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,8285884.077364848,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,8296396.341746372,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,8304458.675193947,0.2857142857142857
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,8321477.181638796,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,8322913.142869301,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_3,身不爽不由人瞌睡朦胧（呃）。,8390796.780861456,0.0
sdxp-SuLongWei-WuJiaPo.xml_6,为军的要人我是不要钱。,8406188.60021666,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,8411433.980098085,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,8435390.058628233,0.0
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,8508538.31453693,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,8538716.321625229,0.14285714285714285
lseh-TanXiongDi-SangYuanJiZi.xml_1,丢下了年幼儿好不伤情。,8540056.698704097,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,8550922.08552482,0.14285714285714285
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,8555449.17643074,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,8563468.213057151,0.14285714285714285
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,8569318.899480926,0.14285714285714285
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,8569562.039108768,0.0
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,8592842.823850825,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,8599329.79869272,0.0
sdxp-SuLongWei-WuJiaPo.xml_17,买绫罗与绸缎、打首饰和簪环，,8619011.983107157,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,8670311.387325892,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_2,为千岁懒把朝房走，,8707092.483709637,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,8753304.362447303,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,8772012.820230987,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,8795407.579003686,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,8811432.159702396,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_3,身不爽不由人瞌睡朦胧。,8835522.052104028,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_18,寻短（呃）哎见爹娘（呃）。,8843087.202747386,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,8845460.714751873,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_1,满朝中文武臣泪双流。,8866484.775474112,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,8878531.05041428,0.14285714285714285
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,8882832.29367133,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,8896197.832844393,0.0
lsxp-YiShiWu-YuCangJian.xml_3,靠山绿（哇）水常在面前。,8909939.713687213,0.14285714285714285
lseh-LaoZhangBu-WuPenJi.xml_6,我和你远无冤近无有仇恨，,8946137.101709427,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,8964362.97334017,0.14285714285714285
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,8965348.283637892,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_4,山高路远少来问候，,8981104.579296753,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,8983591.281308336,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_11,自有那神灵儿天地鉴察。,8987600.320614932,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,8998099.379244937,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_34,寻短（哪）哎见爹娘（兀）！,8999766.016407736,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_3,耳听笙歌闹喧哗。,9012598.73512689,0.0
lseh-ZenNengGou-BaDaChui.xml_2,前也思（喏）后又想无有计定，,9017330.017996116,0.14285714285714285
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,9025753.604259657,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,9033150.759372478,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,9038024.415867735,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,9087985.832337407,0.0
lseh-ZiNaRi-HongYangDong.xml_2,我前番命孟良骸骨搬（呐）请，,9088832.997366516,0.14285714285714285
lsxp-LiangGuoJiao-ShiJieTing-2.xml_3,赏罚中公（呃）平莫要自由。,9146550.000895776,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,9150778.62764828,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,9163380.291162658,0.0
lsxp-DaHeYi-SiLangTanMu.xml_26,要见本帅为何情？,9166595.068781374,0.0
lsxp-WoBenShi-KongChengJi-1.xml_9,我面前缺少个知呃音的人。,9183797.350192096,0.14285714285714285
lsxp-YiShiWu-YuCangJian.xml_7,我与奸贼不共戴天！,9226031.34284158,0.0
lsxp-DaHeYi-SiLangTanMu.xml_10,火堪寨上有家门。,9251945.25376478,0.0
lseh-WeiKaiYan-RangXuZhou.xml_5,救生灵（呐）积阴（呐）功也免得我坐卧不宁。,9272924.322687052,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_1,陈宫心（呐）中乱如麻，,9291245.512640093,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_4,左手拉住了李左车，,9291333.681738716,0.0
lseh-XiRiLi-BaoLianDeng.xml_15,打死个秦官保父不能担承。,9297233.127291435,0.0
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,9311421.36086481,0.0
lseh-ZenNengGou-BaDaChui.xml_3,倒不如上公安观看古今。,9317065.158793885,0.0
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,9340777.155914228,0.14285714285714285
lsxp-LiangGuoJiao-ShiJieTing-1.xml_3,赏罚中公（呃）平莫要自由。,9343359.934901424,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,9348987.853007635,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,9356681.766207527,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,9360841.44207614,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,9367421.466174427,0.0
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,9379781.03356103,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_1,陈宫心（呐）中乱如麻，,9438715.820990875,0.0
lseh-XiRiLi-BaoLianDeng.xml_2,都只为孤（哇）竹君身染重病（哪），,9439763.98127987,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,9441167.030316444,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,9483729.783350319,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_1,陈伯愚年半百无有后苗。,9495392.23646913,0.0
sdxp-WoHeNi-SiLangTanMu.xml_14,见母一面即刻还。,9502745.890437866,0.14285714285714285
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,9526661.858571282,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,9543161.239726428,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,9578189.690300314,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_7,生死二字（喏）且由他！,9580310.823207252,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_11,自有那神灵（啊）天地鉴察。,9598207.922893481,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,9603533.405142248,0.14285714285714285
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,9603578.131701583,0.14285714285714285
lsxp-ZheYiFeng-DingJunShan.xml_9,到明天午时三刻要成功劳。,9605013.431848278,0.14285714285714285
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,9612955.163540933,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_5,老娘亲再讲情儿自刎头来。,9613703.323352227,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,9629742.808429778,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,9645545.324346788,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,9668158.64853303,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,9675507.774784314,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,9677422.518551212,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,9691398.138961539,0.0
lsxp-ZheYiFeng-DingJunShan.xml_5,三通鼓刀出鞘四通（呃）鼓把兵交。,9697878.307850791,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,9733404.634505192,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,9786874.738613533,0.0
lsxp-WoBenShi-KongChengJi-2.xml_2,先帝（呀）爷下南阳（呃）御驾三（呃）请，,9790834.73981845,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,9805342.690318566,0.0
lsxp-DaHeYi-SiLangTanMu.xml_16,我是你四哥回宋营。,9819276.968909359,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,9833909.042404648,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,9834975.376823284,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,9867024.350798277,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,9886153.51594698,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,9933668.75920237,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,9937203.119083138,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,9952267.701894091,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,9956804.968400387,0.0
lseh-ZiNaRi-HongYangDong.xml_0,自（喏）那日朝罢归身（呐）染重病，,9965354.15133385,0.0
lseh-WeiKaiYan-RangXuZhou.xml_0,未开言不由人（呐）珠泪滚滚，,9972684.734279405,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_1,愁人心（呐）中似箭穿。,10012283.003043007,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,10017993.263409248,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_10,爹娘（呃）要相逢除非是梦（呃）里团圆。,10027233.347681347,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,10034485.05999252,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_1,胡言乱语怎瞒（呐）咱。,10078247.875299519,0.0
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,10083243.536117358,0.0
sdxp-SuLongWei-WuJiaPo.xml_10,管保大嫂就断与咱。,10088278.8516662,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,10098331.883902656,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,10100185.190173574,0.0
lseh-XiRiLi-BaoLianDeng.xml_13,二娇儿也难比那两个贤人。,10107458.698561063,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,10115395.807836773,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,10123252.250799796,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,10153890.112032011,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_1,愁人心（哪）中似箭穿。,10198080.199561458,0.0
lsxp-DaHeYi-SiLangTanMu.xml_24,你是番邦什么人？,10200951.011139506,0.0
lseh-JinZhongXiang-ShangTianTai.xml_2,文凭着邓先生策划有准，,10215309.910292188,0.0
lseh-LaoZhangBu-WuPenJi.xml_2,休把我当作了妖魔论，,10216220.944362221,0.0
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,10234096.691565968,0.0
lsxp-ZouYingLong-DaYanSong.xml_6,我劝顽童你休流泪，免悲声，邹老爷就是尔的报仇人。,10259658.639041107,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_6,这时候我只得暂且忍耐在心下，,10273658.171700884,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_2,眼望着孤坟台珠泪难忍，,10278736.739912152,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,10279433.16618389,0.0
lsxp-YiShiWu-YuCangJian.xml_5,信用无极狗奸谗。,10284206.3706842,0.0
sdxp-WoHeNi-SiLangTanMu.xml_20,黄沙盖脸尸骨不全。,10311984.25226586,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,10320956.267841151,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,10328752.724743942,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,10331008.689411895,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,10331008.689411895,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,10334682.741200602,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,10340547.897657963,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,10342125.71742128,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_6,这时候我只得暂且忍耐在心下，,10361614.64935313,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,10366962.075433448,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,10381528.17780751,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_3,三百余口命赴幽冥。,10383054.705362719,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,10389024.127032258,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,10390269.373553537,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,10391203.733528234,0.14285714285714285
lseh-ZenNengGou-BaDaChui.xml_0,怎能够思一计番营来进，,10397284.351165509,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,10397618.507621922,0.0
lsxp-DaHeYi-SiLangTanMu.xml_25,家住哪州并哪郡？,10402005.532880694,0.0
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,10404545.09632747,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,10416351.697117241,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,10430889.255940724,0.0
sdxp-SuLongWei-WuJiaPo.xml_4,咬定牙关他就不认承。,10436189.029431794,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,10447811.565611346,0.0
lsxp-YiShiWu-YuCangJian.xml_6,他害我满门（呐）真悲惨，,10457763.925737718,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,10461388.373912327,0.14285714285714285
lseh-TanXiongDi-SangYuanJiZi.xml_3,见坟台不见人刀割我心。,10500988.089719681,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,10517035.060430601,0.0
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,10540656.534406045,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,10570859.87936516,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,10596776.43770326,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,10597693.395250134,0.0
