闲无事在敌楼亮一亮琴音,1,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,7184262.534586496,0.09090909090909091
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,7187856.431061132,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,7290899.9408915825,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_6,一连几天我的眉不（哇）展，,7294979.642456568,0.09090909090909091
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,7306570.0628042575,0.09090909090909091
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,7315491.494148487,0.09090909090909091
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,7342413.65770464,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,7343454.791619915,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,7390393.6333650425,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,7431900.0402664635,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,7472598.704715371,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,7493633.254780732,0.0
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,7497868.124190229,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,7541560.577913487,0.09090909090909091
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,7551925.551077457,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_7,夜夜何曾得安眠。,7556775.845874865,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_7,夜夜何曾得安眠。,7556775.845874865,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_13,但愿得言听计从重整汉家邦、一同回故乡。,7590447.724786315,0.09090909090909091
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,7599162.96581253,0.09090909090909091
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,7615534.921828475,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_5,其中必有这巧（哇）妙高。,7616725.50937233,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,7645576.986891879,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,7703654.0026629,0.09090909090909091
lseh-YiLunMing-ZhuoFangSuDian.xml_5,杀猪（喏）沽酒款待与他，,7720875.443906089,0.0
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,7724432.003471455,0.09090909090909091
lseh-YangYanZhao-PengBei.xml_5,又恐怕惊动了年迈之人。,7735552.0739864325,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,7739706.842265722,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,7772313.095840697,0.09090909090909091
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,7800034.173130802,0.09090909090909091
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,7834194.673875681,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_4,幸遇那东皋公行方便，,7838714.740229341,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,7840530.751375644,0.0
sdxp-SuLongWei-WuJiaPo.xml_19,是烈女就该在家院，,7870895.3304492915,0.09090909090909091
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,7879115.45585829,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,7905586.809068266,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,7921917.513584869,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,7959184.008992503,0.09090909090909091
lsxp-TingTaYan-ZhuoFangCao-1.xml_4,马行在来道内我难（呐）以回（呀）马，,7959184.008992503,0.09090909090909091
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,7959295.214491093,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,7961286.9165381845,0.0
lseh-XiRiLi-BaoLianDeng.xml_1,伯夷叔齐二大贤人，,7965946.9471697295,0.0
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,8007867.011088906,0.0
lseh-JinZhongXiang-ShangTianTai.xml_4,内侍臣忙摆驾九龙口进，,8042805.262463716,0.0
lsxp-ZheYiFeng-DingJunShan.xml_3,大小儿郎听根苗，,8054996.381587547,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,8080027.512847681,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,8098908.375461945,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,8150850.513244876,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,8153880.594617443,0.09090909090909091
lseh-ZiNaRi-HongYangDong.xml_5,又谁知焦克明他私（呀）自后跟（呐），,8182340.92627652,0.0
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,8194205.396936026,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,8208885.34264285,0.09090909090909091
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,8214053.63519181,0.09090909090909091
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,8222325.38457608,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,8269775.725709941,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,8279603.812492647,0.0
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,8305607.6192351645,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,8331428.19142928,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,8335670.1915520355,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,8343906.739690479,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,8351906.7041012505,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,8353791.75169398,0.0
lsxp-YiShiWu-YuCangJian.xml_1,叹光明一去不回还（呐）；,8367139.113056955,0.09090909090909091
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,8370740.611819259,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_15,悔不该弃县今抛却了乌（哇）纱，,8385740.847743772,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,8386758.154333026,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,8392884.358786706,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,8404701.42091395,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,8436952.690939168,0.18181818181818182
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,8437846.54393078,0.0
lseh-XiRiLi-BaoLianDeng.xml_9,那叔齐逃出了后宰门，,8450474.153431013,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,8486655.236620404,0.09090909090909091
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,8496390.001099315,0.09090909090909091
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,8496971.815289963,0.09090909090909091
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,8514877.710226314,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,8529564.041983506,0.18181818181818182
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,8559929.468045373,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,8614343.047034673,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,8626997.15121964,0.18181818181818182
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,8657940.382635184,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,8660286.631863175,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,8685190.440888546,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,8712076.375364149,0.09090909090909091
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,8712076.375364149,0.09090909090909091
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,8724217.56569994,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,8766607.372058632,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,8769305.676274711,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,8771693.123213233,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,8778832.830671601,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_28,越思越想好伤惨，,8804568.995352449,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,8870127.111209374,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,8877952.013564734,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,8879558.065540263,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,8883786.972646607,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,8885622.914211342,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,8910413.461982194,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,8910757.731263123,0.09090909090909091
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,8911317.078402605,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,8911616.932522003,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,8912698.744443415,0.09090909090909091
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,8922249.565089244,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,8929383.339095544,0.09090909090909091
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,8950665.837551566,0.0
lseh-WeiKaiYan-RangXuZhou.xml_2,二犬子（呃）皆年幼（哇）难当（呃）重任，,8974050.961877257,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,8984525.51953722,0.09090909090909091
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,9000215.051842317,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,9018659.309972437,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,9041880.697889838,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,9048886.839001223,0.09090909090909091
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,9055028.510200448,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,9059905.026719805,0.0
sdxp-SuLongWei-WuJiaPo.xml_11,好一个贞节王宝钏，,9080727.38857003,0.09090909090909091
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,9091789.164553331,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_6,一连几天我的眉不（呃）展，,9093727.00038668,0.09090909090909091
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,9101229.82397033,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,9111476.745759336,0.0
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,9114578.679959344,0.09090909090909091
lseh-XinZhongYou-WenZhaoGuan.xml_12,越思越想好伤惨，,9126241.23470592,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,9156371.681935372,0.0
lseh-XiRiLi-BaoLianDeng.xml_12,为父的怎比得孤竹君，,9165354.569629094,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,9208315.602803627,0.0
lsxp-WoBenShi-KongChengJi-1.xml_3,算就了汉家的业鼎足哇三分。,9225518.371741213,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,9283102.214638023,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_7,拔出剑将他的满门杀。,9285793.496830316,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,9291161.499590993,0.18181818181818182
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,9292583.796706038,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,9294541.864623906,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,9302946.065098982,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_5,这才是花随水水不（哇）能恋（呐）花。,9315365.138980875,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,9355697.843756957,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,9368424.077279903,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_3,谁知昭关有阻拦。,9371299.601430055,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,9381416.273287822,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,9388018.0648336,0.0
lseh-WeiKaiYan-RangXuZhou.xml_5,救生灵（呐）积阴（呐）功也免得我坐卧不宁。,9397867.754299859,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,9405910.836710848,0.09090909090909091
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,9424666.761674726,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,9431571.43842403,0.18181818181818182
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,9433447.169139255,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,9433968.877014114,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,9446789.00842442,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,9449647.260908635,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,9458774.025693884,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,9468552.970822299,0.09090909090909091
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,9481389.441308733,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,9496928.318887217,0.0
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,9498714.751310712,0.09090909090909091
lsxp-JiangShenEr-SanJiaDian.xml_13,娘想儿来泪双流。,9521074.36802334,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,9531798.940464854,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,9541310.729543716,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,9565004.940376438,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,9581191.205011904,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,9583878.41742149,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,9585568.643488394,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,9597620.419489989,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_2,我先前只望他宽宏量（呃）大，,9609745.224643389,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_2,我先前只望他宽宏量（呃）大，,9609745.224643389,0.0
lseh-XiRiLi-BaoLianDeng.xml_4,那叔齐分长幼不能担任，,9616397.35158185,0.0
lsxp-ZouYingLong-DaYanSong.xml_10,他本是我朝中上欺天子下压臣谋朝篡位卖国的奸贼他名叫严嵩，,9657254.340163002,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,9661197.345226014,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_23,我岂肯放虎归山又（哇）把人抓。,9686731.587566683,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,9691452.012409274,0.09090909090909091
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,9701726.296095794,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_7,老天爷不绝我的后代根。,9705473.453763084,0.0
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,9725612.810735604,0.0
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,9749493.349111646,0.09090909090909091
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,9751997.845554758,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,9772368.615740871,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,9779792.147514239,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,9798109.328947728,0.0
lsxp-WeiCengKai-QiYuanBao.xml_9,望求太爷与我作主张（啊）。,9799122.649148837,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,9802671.176725464,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_3,谁知昭关有阻拦。,9810190.239392482,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,9811690.251978897,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,9831997.793189898,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,9883455.375252986,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,9891338.980140924,0.09090909090909091
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,9891461.130322391,0.09090909090909091
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,9893450.860166032,0.18181818181818182
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,9898094.695647655,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,9903004.373210648,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,9908643.29312814,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_4,吕伯奢可算得义气（呀）大，,9915475.426562646,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,9920341.857352879,0.09090909090909091
lsxp-ShenGongWu-LongFengChengXiang.xml_1,年老得配女娇娃。,9944994.48632984,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,9963378.5816754,0.0
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,9992489.579811323,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,9996671.770103496,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,9998203.730276246,0.09090909090909091
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,10002033.76004931,0.09090909090909091
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,10007560.23484182,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,10055125.541846998,0.18181818181818182
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,10055275.451565294,0.0
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,10056918.403223896,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,10072829.741128646,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_5,这才是花随水水不（哇）能恋（呐）花。,10115963.198981015,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,10115976.713401662,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,10124742.000319617,0.0
lsxp-JiangShenEr-SanJiaDian.xml_4,杨林与我来争斗，,10134795.48246505,0.0
lseh-XiRiLi-BaoLianDeng.xml_8,那伯夷出午门无（哇）有踪（呃）影，,10149690.635620005,0.09090909090909091
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,10163306.661647027,0.18181818181818182
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,10218512.410046939,0.09090909090909091
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,10227456.007812668,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,10248795.926478157,0.0
lsxp-WoBenShi-KongChengJi-2.xml_3,算就了汉家的业鼎足（呃）三分。,10251782.76433268,0.0
lsxp-ZouYingLong-DaYanSong.xml_6,我劝顽童你休流泪，免悲声，邹老爷就是尔的报仇人。,10257126.332774777,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_1,愁人心（哪）中似箭穿。,10294311.05147506,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,10301041.478894008,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,10315927.328319985,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,10324335.771912483,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,10325485.684383288,0.09090909090909091
lseh-YiLunMing-WenZhaoGuan-2.xml_1,愁人心（呐）中似箭穿。,10334644.834304601,0.0
lsxp-QingGongYan-FaDongWu.xml_0,庆功宴上把酒饮，,10337958.04606895,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,10340777.989111522,0.09090909090909091
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,10349629.58646869,0.09090909090909091
lseh-XiRiLi-BaoLianDeng.xml_5,那伯夷尊父命也不能应承，,10352241.976106856,0.0
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,10406548.49392654,0.09090909090909091
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,10437373.282391781,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,10438572.662716277,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,10444682.525638266,0.09090909090909091
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,10444682.525638266,0.09090909090909091
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,10490739.474985585,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,10507031.123016424,0.18181818181818182
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,10514236.443539618,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,10534257.072562227,0.09090909090909091
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,10537792.981893158,0.0
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,10543209.133429594,0.09090909090909091
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,10547156.173711397,0.09090909090909091
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,10549919.189734314,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,10555153.194832139,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,10565897.792330833,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,10571626.995140873,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,10576286.546791883,0.0
