那乃是萧天佐以假成真,0,那乃是萧天佐以（呀）假成真；
lsxp-ZhangGongDao-ZhuangYuanPu.xml_4,怕将（呃）来老天爷无（哇）有果报，,6322288.427464918,0.1
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,6373396.0396287795,0.0
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,6433322.7379210405,0.0
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,6468117.963344248,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,6499821.346874847,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,6502363.806643259,0.1
lsxp-CiShiJian-HuaiHeYing-1.xml_4,左手拉住了李左车，,6518369.226342295,0.0
sdxp-SuLongWei-WuJiaPo.xml_7,大嫂说话礼不端，,6556286.066453569,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_6,一连几天我的眉不（呃）展，,6563966.293180561,0.1
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,6604792.207121211,0.1
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,6618369.400035224,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,6652478.352971175,0.0
lsxp-WeiCengKai-QiYuanBao.xml_3,姓刘名安字世昌。,6660766.523909844,0.0
lsxp-JianMaSu-ZhanMaSu.xml_0,见马谡（唩）跪帐下，,6663377.563319414,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,6679491.815082233,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_4,左手拉住了李左车，,6698340.419406862,0.0
lsxp-WoBenShi-KongChengJi-2.xml_3,算就了汉家的业鼎足（呃）三分。,6706661.963392182,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,6733876.778260007,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_1,问三娘发雷霆却是为何？,6760043.5834966395,0.1
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,6779129.651233149,0.0
lseh-XiRiLi-BaoLianDeng.xml_1,伯夷叔齐二大贤人，,6779302.7489674315,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,6788295.575562668,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,6793223.544414901,0.0
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,6801453.857244643,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_2,我的（呀）父谏奏反把命（哪）送，,6814348.7621177,0.0
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,6815747.289256722,0.1
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,6816824.874337095,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,6828781.572756856,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,6836812.136821802,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,6897288.440054495,0.2
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,6897288.440054495,0.2
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,6916967.94869903,0.0
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,6917946.744505016,0.1
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,6951255.907326186,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,6953174.023072654,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,6984262.206996957,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,7016557.930888845,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,7022040.703071385,0.1
lseh-YiLunMing-ZhuoFangCao-2.xml_5,杀猪沽酒款待与他。,7031786.787568472,0.0
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,7103169.816802499,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,7135304.042002334,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,7157465.2797003025,0.0
lsxp-ZheYiFeng-DingJunShan.xml_6,向前各各有赏犒，,7172214.62892883,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,7187372.7541529415,0.3
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,7195013.445042962,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,7198399.263144252,0.1
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,7205607.00203556,0.0
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,7238180.145302578,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,7277016.699125654,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,7283021.423926929,0.0
lsxp-WoBenShi-KongChengJi-1.xml_8,闲无哇事在敌楼哇我亮（呃）一亮琴哪音，,7295108.653726117,0.0
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,7320500.8322440665,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,7324706.4210638255,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,7341414.31321901,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,7346955.802480267,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,7348136.361603337,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,7349785.157820902,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,7358733.468164549,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_2,为千岁懒把朝房走，,7382308.603103568,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,7396793.158297443,0.1
lsxp-HenPingWang-WenZhaoGuan.xml_1,父纳子（呃）妻礼难容，,7403027.771645738,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_22,虎在笼中我不打，,7419086.380715745,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,7424428.421695517,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,7428825.997509599,0.1
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,7454787.937582435,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,7466071.65978903,0.0
lsxp-DaHeYi-SiLangTanMu.xml_2,杨家将令鬼神惊。,7472952.737120021,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,7479050.063485389,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,7481099.172937758,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,7533121.630574849,0.0
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,7552350.816437175,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,7559659.657272455,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,7565064.804959916,0.1
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,7573615.892571368,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,7601276.057932661,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,7619142.363452108,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,7624062.444111978,0.1
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,7654126.214354419,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,7668606.117142051,0.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,7683117.808440616,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,7684944.383075839,0.1
lsxp-WoBenShi-KongChengJi-2.xml_6,周文王访姜尚周室大振，,7711863.229007125,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,7766770.986339917,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,7768740.729315202,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,7775478.220281276,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,7785221.681494859,0.0
lsxp-YiShiWu-YuCangJian.xml_7,我与奸贼不共戴天！,7795191.408463967,0.1
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,7800526.483595651,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,7804461.332025142,0.0
lsxp-ZouYingLong-DaYanSong.xml_13,在品级台（呀）前臣见君。,7812925.788240508,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,7827944.163362338,0.1
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,7842642.335311232,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_1,我也曾平服了塞北西东。,7847281.909565392,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,7870671.548626444,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_4,幸遇那东皋公行方便，,7874287.300961144,0.1
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,7879006.7542529,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,7882068.777947009,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,7886454.5158651015,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,7898433.471256383,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,7903427.570949508,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,7909545.090189258,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,7910240.954950957,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,7910814.238712436,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,7936790.612278289,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,7948312.683156104,0.2
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,7998250.7800504165,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,7999286.516674273,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_4,吕伯奢可算得义气（呀）大，,8014236.371978702,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,8016464.994132681,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_7,拔出剑将他的满门杀。,8044426.326801722,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,8046606.0990105495,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,8100433.324055867,0.0
lsxp-WoBenShi-KongChengJi-1.xml_6,周文王访姜尚周室大振，,8125747.471765207,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,8134909.322814576,0.0
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,8147449.38353231,0.1
lseh-WeiGuoJia-HongYangDong-2.xml_1,我也曾平服了塞北西东。,8152398.041319326,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,8155732.054017169,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,8158245.204800817,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,8165469.642303786,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,8179822.821780105,0.0
lseh-WeiKaiYan-RangXuZhou.xml_5,救生灵（呐）积阴（呐）功也免得我坐卧不宁。,8186652.261922408,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,8214664.977255102,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,8224181.895216035,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,8224181.895216035,0.0
lsxp-JianMaSu-ZhanMaSu.xml_2,大胆不听我的话，,8227235.697490823,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,8227286.0737248305,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,8232085.839350955,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,8237219.795908881,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_6,又谁知此贼的疑心（呐）太（呀）大，,8266134.136074181,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,8276054.814985865,0.0
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,8279440.200252567,0.1
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,8292232.45174977,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,8307139.678934806,0.0
lseh-XiRiLi-BaoLianDeng.xml_3,传口诏命次子即位为君，,8322097.353491377,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,8329417.853483422,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,8337855.859754663,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,8340851.341560206,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,8341990.854313929,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,8368900.105471567,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_11,自有那神灵儿天地鉴察。,8376032.113383534,0.2
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,8377975.935491995,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,8385896.960182276,0.0
lseh-WeiKaiYan-RangXuZhou.xml_2,二犬子（呃）皆年幼（哇）难当（呃）重任，,8400669.009131799,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,8413325.491936078,0.1
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,8438733.050324813,0.0
lseh-XiRiLi-BaoLianDeng.xml_9,那叔齐逃出了后宰门，,8461135.743695084,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_3,谁知昭关有阻拦。,8467516.852674097,0.0
lseh-JinZhongXiang-ShangTianTai.xml_1,寡人喜的是五谷丰登。,8473984.36197167,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,8481926.191910906,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,8485323.050046332,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_23,我岂肯放虎归山又（哇）把人抓。,8493936.867688548,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,8501238.330843732,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,8542736.674655037,0.2
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,8553285.89595003,0.0
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,8561578.227152903,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,8569007.605565691,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,8587195.177641448,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,8587405.367836202,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_6,三人同把那鬼门关上爬，,8605747.170661492,0.1
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,8606311.785420278,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,8613781.834443785,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,8614136.801558511,0.1
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,8617533.51243486,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,8631382.580205865,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,8649194.950687857,0.1
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,8666563.76511224,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,8668522.839692937,0.0
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,8673197.887157794,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,8676672.546397308,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,8682789.78871667,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_10,我好（哇）比哀哀长空雁，,8690943.737169769,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,8706545.020623604,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_3,为千岁懒观五凤楼。,8731586.431185903,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,8760736.6267742,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,8775099.784916336,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_1,我也曾平服了塞北西东。,8782172.231805809,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,8800267.084299896,0.1
lseh-YiLunMing-WenZhaoGuan-2.xml_3,谁知昭关有阻拦。,8833271.775588164,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_4,山高路远少来问候，,8836871.01009311,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_10,我好（呃）比哀哀长空雁，,8838471.267536113,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,8840022.996709904,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,8847917.300421417,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,8851914.91931487,0.0
lsxp-WeiCengKai-QiYuanBao.xml_9,望求太爷与我作主张（啊）。,8863162.483451013,0.0
lsxp-ZouYingLong-DaYanSong.xml_0,忽听得万岁宣应龙，,8875991.464119148,0.0
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,8879282.63856648,0.0
lseh-XiRiLi-BaoLianDeng.xml_12,为父的怎比得孤竹君，,8885045.446526192,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_1,年老得配女娇娃。,8891605.924841147,0.0
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,8896537.684843965,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,8911342.019925326,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,8931787.872491747,0.0
sdxp-WoHeNi-SiLangTanMu.xml_20,黄沙盖脸尸骨不全。,8933884.504075402,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,8956193.623242918,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,8965926.604588302,0.0
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,8998089.44501005,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,8998821.30783992,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,9000304.039620183,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,9011153.50937031,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_17,汉室后来贼是个惹祸的根芽。,9033684.532731965,0.1
lseh-JinZhongXiang-ShangTianTai.xml_4,内侍臣忙摆驾九龙口进，,9036026.06316398,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,9037325.320240434,0.1
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,9040471.166318752,0.1
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,9044419.864745606,0.1
