舍不得衙役们众班头,0,舍不得衙役们众班头。
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,5266326.09010306,0.0
lsxp-WoBenShi-KongChengJi-1.xml_8,闲无哇事在敌楼哇我亮（呃）一亮琴哪音，,5272453.714889817,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,5280802.392505468,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,5291525.3327174075,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,5317815.396080413,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,5325853.157253349,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,5327600.12953664,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,5340382.1604170045,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,5355603.1753676385,0.1111111111111111
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,5388646.932507071,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,5410218.743512289,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,5410329.860446663,0.0
lsxp-YiShiWu-YuCangJian.xml_1,叹光明一去不回还（呐）；,5415818.284231722,0.1111111111111111
lseh-YiLunMing-ZhuoFangCao-1.xml_15,悔不该弃县今抛却了乌（哇）纱，,5429462.013036454,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,5433746.478514601,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,5452692.687885347,0.0
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,5464487.035605646,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,5480989.590386193,0.0
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,5481243.253923309,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,5497803.657207052,0.0
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,5506222.482472611,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,5506307.525685366,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,5534867.299661223,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,5557221.756161702,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,5561321.8234800575,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,5567170.954218775,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,5572099.746488266,0.1111111111111111
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,5574448.704774245,0.0
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,5584413.481048257,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_4,吕伯奢可算得义气（呀）大，,5600455.932134722,0.1111111111111111
lseh-YiLunMing-ZhuoFangCao-2.xml_4,吕伯奢可算得义气大，,5609195.722821865,0.1111111111111111
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,5619400.52281623,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,5629204.82305175,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,5687451.457303112,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,5702737.456273818,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,5719400.888662574,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,5731334.230142177,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,5732317.459420297,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,5736661.448984722,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_4,马行在来道内我难（呐）以回（呀）马，,5736661.448984722,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,5758889.180222748,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,5760081.966039999,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,5766043.785937961,0.1111111111111111
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,5768850.367738304,0.0
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,5776576.844157042,0.1111111111111111
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,5790074.432473452,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,5797479.421328994,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,5810578.259209235,0.0
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,5850617.530546221,0.2222222222222222
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,5855747.986267302,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,5880195.197423076,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,5881229.761209248,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,5897107.497279919,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,5922830.259549553,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-2.xml_4,幸遇那东皋公行方便，,5940979.159328332,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,5942546.72210567,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,5942546.72210567,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,5948396.573645117,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,5981950.923553608,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,5983896.574054937,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,6000336.484963124,0.0
sdxp-SuLongWei-WuJiaPo.xml_19,是烈女就该在家院，,6005934.805260421,0.0
lsxp-ZouYingLong-DaYanSong.xml_2,那一日打从大街进，,6056269.707832425,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_13,但愿得言听计从重整汉家邦、一同回故乡。,6067229.317139728,0.1111111111111111
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,6073709.106578732,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,6088148.246489967,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,6105910.913418993,0.0
lsxp-WeiCengKai-QiYuanBao.xml_9,望求太爷与我作主张（啊）。,6140241.181246934,0.0
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,6144023.7762383185,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,6147337.148567752,0.0
lsxp-ZouYingLong-DaYanSong.xml_0,忽听得万岁宣应龙，,6156995.804798036,0.1111111111111111
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,6159529.01027478,0.0
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,6161411.567924696,0.0
lsxp-JiangShenEr-SanJiaDian.xml_10,娘生儿连心肉，,6172320.101772698,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,6173157.599409293,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_25,不能（哪）哎见爹娘（兀）！,6174741.325146557,0.1111111111111111
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,6181474.5956278,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,6210852.992585401,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,6211321.124340095,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,6211321.124340095,0.0
lseh-XiRiLi-BaoLianDeng.xml_12,为父的怎比得孤竹君，,6212939.722842838,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,6220746.544093207,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,6235560.580059254,0.1111111111111111
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,6246003.180196853,0.3333333333333333
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,6249079.160882404,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,6263261.959888742,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_4,左手拉住了李左车，,6276388.653881602,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,6281924.294416995,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,6289739.400244762,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,6290066.213695944,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,6314424.191952241,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,6315902.921998135,0.1111111111111111
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,6321070.724672848,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,6350053.979490803,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,6375992.724358945,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,6410781.314871344,0.1111111111111111
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,6416285.702822075,0.1111111111111111
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,6424538.550942103,0.1111111111111111
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,6427538.014314802,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,6455707.821873797,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,6457967.684068065,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,6460962.824218253,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,6466214.908639275,0.0
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,6466864.058958144,0.1111111111111111
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,6503633.372694265,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_3,为什么事到如今耍奸滑。,6505754.367373153,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,6508456.984706894,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,6522846.47551107,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,6555643.679767587,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,6561730.64409607,0.0
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,6581580.555940378,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,6598843.376294555,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,6619998.506446882,0.0
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,6633343.574627971,0.1111111111111111
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,6642275.060832852,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,6644079.345412061,0.1111111111111111
lsxp-JiangShenEr-SanJiaDian.xml_11,儿行千里母担忧。,6654702.089832347,0.0
lseh-ZiNaRi-HongYangDong.xml_6,老军报他二人在洪洋（呃）洞丧（呃）命，,6659455.762275576,0.0
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,6668623.035050927,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,6687624.372645115,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,6689608.207443748,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,6695985.793295371,0.0
lseh-JinZhongXiang-ShangTianTai.xml_4,内侍臣忙摆驾九龙口进，,6697696.436362294,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,6705402.207864489,0.0
lsxp-QingGongYan-FaDongWu.xml_0,庆功宴上把酒饮，,6714120.190471902,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,6715007.398752722,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,6716778.697020544,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,6719520.385733239,0.1111111111111111
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,6725378.872346203,0.1111111111111111
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,6732358.039394499,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,6735590.407239051,0.0
lseh-YangYanZhao-PengBei.xml_5,又恐怕惊动了年迈之人。,6736691.738106418,0.0
sdxp-WoHeNi-SiLangTanMu.xml_2,贤公主又何必过于谦言。,6743130.240564259,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,6772044.256494706,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,6772044.256494706,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,6781944.796893859,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_28,越思越想好伤惨，,6791328.985806299,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,6795005.017814506,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,6808282.475844668,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,6813225.408911422,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-1.xml_7,夜夜何曾得安眠。,6819668.99326819,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-2.xml_7,夜夜何曾得安眠。,6819668.99326819,0.1111111111111111
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,6822206.136941339,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,6826672.165662271,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,6833800.652103834,0.1111111111111111
lsxp-ZheYiFeng-DingJunShan.xml_3,大小儿郎听根苗，,6844596.449174489,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,6855444.923308138,0.0
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,6855907.372280331,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,6858264.338177275,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,6860163.466995528,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,6880692.948102907,0.1111111111111111
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,6892384.15851518,0.0
sdxp-SuLongWei-WuJiaPo.xml_6,为军的要人我是不要钱。,6893312.300407125,0.1111111111111111
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,6905575.828575281,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,6906960.880870945,0.1111111111111111
