满腹的含冤我向谁言,0,满腹的含冤我向谁言（哪）！
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,4087569.034215621,0.0
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,4105969.1839753576,0.0
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,4119575.6433614437,0.1111111111111111
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,4143809.4512375095,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,4177180.2102031386,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,4184615.861422036,0.1111111111111111
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,4189249.526958099,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,4195582.3687097,0.0
lsxp-ZiGuDao-HuangHeLou.xml_3,二将军保架过长江。,4213275.934179378,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,4225689.986316681,0.0
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,4226031.4370491,0.1111111111111111
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,4233498.048110393,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,4243471.705403621,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,4251653.807096914,0.1111111111111111
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,4252127.389445818,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,4272827.469062479,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,4280710.226525243,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,4294191.952898218,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_0,为国家哪何曾半日闲空，,4296359.008223395,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,4297869.159831335,0.0
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,4297925.613429283,0.1111111111111111
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,4301779.940874174,0.0
lsxp-YiShiWu-YuCangJian.xml_7,我与奸贼不共戴天！,4308601.26425859,0.1111111111111111
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,4317483.347736791,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,4317483.347736791,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_0,为国家哪何曾半日闲空，,4317722.493165705,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,4337978.632722764,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,4340197.860030543,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,4402422.106408133,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,4425966.864231758,0.1111111111111111
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,4427741.593509067,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,4436215.937143213,0.2222222222222222
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,4438004.81480554,0.1111111111111111
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,4446440.913847302,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,4447257.9933656305,0.0
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,4450088.736849734,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,4463525.218513816,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,4471374.505710006,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,4477938.946621034,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,4479241.058138697,0.2222222222222222
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,4493909.278212328,0.0
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,4500721.850686604,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,4507307.389642546,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,4514409.810741879,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,4516014.322866574,0.1111111111111111
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,4520195.706041241,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,4520962.863788795,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,4528663.916253173,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,4545816.058673842,0.1111111111111111
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,4553506.765355917,0.1111111111111111
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,4577985.012294128,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,4585017.1985471295,0.3333333333333333
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,4586661.024222344,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,4600197.64656005,0.1111111111111111
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,4606507.451051782,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,4610414.713663841,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,4612083.373981279,0.2222222222222222
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,4623661.54113653,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,4625177.79618535,0.2222222222222222
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,4627546.57725766,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,4631181.901451078,0.0
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,4631212.334204038,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,4642452.374449946,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,4652940.694785498,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,4685519.822195204,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,4696548.736943351,0.0
lseh-JinZhongXiang-ShangTianTai.xml_2,文凭着邓先生策划有准，,4706922.7928426955,0.0
sdxp-WoHeNi-SiLangTanMu.xml_2,贤公主又何必过于谦言。,4716420.6277323095,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,4722207.571683771,0.1111111111111111
lsxp-ZuoRiLi-YuanMenZhanZi.xml_5,老娘亲再讲情儿自刎头来。,4733493.965243569,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,4733760.466431912,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,4738665.781993939,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,4745822.786838529,0.1111111111111111
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,4753146.122161674,0.1111111111111111
lseh-WeiKaiYan-RangXuZhou.xml_5,救生灵（呐）积阴（呐）功也免得我坐卧不宁。,4753792.761457496,0.1111111111111111
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,4762272.399234559,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,4771934.138196093,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,4781360.813977424,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,4783343.99522219,0.1111111111111111
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,4795619.202368713,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,4806051.846976089,0.1111111111111111
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,4806898.465017278,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,4807065.627301933,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,4808143.908674469,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,4809912.047105302,0.1111111111111111
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,4820143.146358481,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,4829138.382493386,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,4839648.066727417,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,4839897.741120554,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,4842258.105820381,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,4845348.74257436,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,4850101.506844953,0.2222222222222222
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,4856779.206949751,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,4863060.899513893,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,4869726.175553606,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,4877765.806194344,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,4882026.755161307,0.1111111111111111
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,4888140.956785027,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,4909119.115737665,0.0
lsxp-DaHeYi-SiLangTanMu.xml_6,怎知今日回宋营。,4910927.156178541,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,4928719.5149376355,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,4939043.031533134,0.0
lsxp-WoBenShi-KongChengJi-2.xml_9,我面前却少个知（呃）音的人。,4946629.1559466,0.2222222222222222
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,4951552.3746766895,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,4951802.979339729,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,4952362.912860432,0.0
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,4957865.64898708,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,4958147.320898003,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,4961927.301388678,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,4961927.301388678,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_12,越思越想好伤惨，,4962099.727513456,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,4967593.208660718,0.2222222222222222
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,4973646.617994388,0.2222222222222222
lseh-XiRiLi-BaoLianDeng.xml_15,打死个秦官保父不能担承。,4978545.221207654,0.0
sdxp-WoHeNi-SiLangTanMu.xml_17,公主叫我盟誓愿，,4979673.184737424,0.1111111111111111
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,4999130.191755018,0.6666666666666666
lseh-YiLunMing-WenZhaoGuan-1.xml_28,越思越想好伤惨，,5000409.988145699,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,5011103.969920337,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,5012373.088700237,0.1111111111111111
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,5021439.382986738,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,5025069.68219099,0.2222222222222222
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,5025069.68219099,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,5026021.209398215,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,5027162.136108661,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_20,对天发下宏誓愿，,5031439.588295894,0.0
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,5031927.466631951,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,5032528.815976101,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,5035870.8080431735,0.1111111111111111
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,5039375.111884031,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,5041445.552016477,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,5042484.038136385,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_36,对天发不宏誓愿，,5045843.872064366,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,5052449.486701996,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_3,为千岁懒观五凤楼。,5058246.432779205,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,5064656.740250357,0.0
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,5066884.8692450775,0.0
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,5075856.967093495,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,5082826.312317031,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,5085977.985950764,0.0
lsxp-DaHeYi-SiLangTanMu.xml_14,失落番邦被贼擒。,5090882.40332693,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_2,悔不该心猿并意马，,5091001.68276376,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,5103519.569918372,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,5112627.489566661,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,5115838.004684144,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,5116593.6029602485,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,5119692.252940893,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,5120530.753175327,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,5128207.890796419,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,5132190.488181898,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,5143588.003753028,0.1111111111111111
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,5149541.68173487,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,5163676.278802222,0.1111111111111111
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,5164492.1433386905,0.1111111111111111
lseh-YangYanZhao-PengBei.xml_0,杨延昭奉父命巡查大营，,5172536.549308081,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,5179941.615276722,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,5186334.029975946,0.1111111111111111
lseh-YiLunMing-ZhuoFangCao-1.xml_18,观此贼睡卧真（呐）潇洒，,5187611.267610274,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,5187835.095090828,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,5191416.137623625,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,5199689.597163541,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,5202480.1914043445,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_3,耳听笙歌闹喧哗。,5203837.045543606,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,5220467.468720057,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,5226798.55823387,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,5227233.935864901,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,5228245.145772513,0.1111111111111111
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,5239141.44808381,0.0
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,5240581.354927378,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,5245105.377596352,0.2222222222222222
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,5245527.392984653,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,5246784.037626904,0.1111111111111111
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,5257171.848466284,0.2222222222222222
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,5269115.497733191,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,5271728.549681884,0.1111111111111111
lsxp-ZiCongQian-ZhuLianZhai.xml_4,山高路远少来问候，,5281279.52150933,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,5287972.089708943,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,5292340.4526642235,0.0
sdxp-WoHeNi-SiLangTanMu.xml_20,黄沙盖脸尸骨不全。,5304510.357437791,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,5306345.512566306,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,5307116.451192995,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,5308744.358246847,0.2222222222222222
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,5323710.04349456,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,5325697.8502351325,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_17,买绫罗与绸缎、打首饰和簪环，,5333218.590380537,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,5334276.617973733,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,5338004.705830224,0.0
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,5338373.502203944,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,5339895.28387967,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,5340802.638608266,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,5343081.749573511,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,5348641.010842801,0.1111111111111111
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,5351911.53155366,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,5370459.980813989,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,5387649.261996352,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,5394140.953901272,0.0
lsxp-YiShiWu-YuCangJian.xml_5,信用无极狗奸谗。,5401604.312558489,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,5414509.419587898,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,5420510.645682945,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,5427159.730792955,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,5428361.660477676,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,5430535.019839267,0.1111111111111111
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,5430535.019839267,0.0
lsxp-DaHeYi-SiLangTanMu.xml_10,火堪寨上有家门。,5434349.564327732,0.0
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,5444407.488905507,0.0
sdxp-SuLongWei-WuJiaPo.xml_6,为军的要人我是不要钱。,5444843.503580236,0.2222222222222222
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,5449918.094630457,0.1111111111111111
lsxp-LiangGuoJiao-ShiJieTing-1.xml_3,赏罚中公（呃）平莫要自由。,5457708.089642881,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,5458897.09842463,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,5468607.884292484,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,5470671.520008767,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,5478018.47739426,0.1111111111111111
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,5480036.959234123,0.0
