叫一声解差把店投,4,叫一声解差把店役。
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,2736206.8497429476,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,2740811.258827497,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,2792630.6691444647,0.0
sdxp-WoHeNi-SiLangTanMu.xml_20,黄沙盖脸尸骨不全。,2811328.3627839815,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,2836030.790331857,0.0
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,2842973.097146738,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,2869572.472065974,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,2883010.53990199,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,2949867.372247941,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,2959000.3277874244,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,2976977.8255366306,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,2998154.4135801345,0.0
lsxp-ZheYiFeng-DingJunShan.xml_6,向前各各有赏犒，,3003517.73056174,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,3058419.7900050464,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,3138779.498367906,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,3138779.498367906,0.125
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,3141579.5096220397,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,3154860.484107897,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,3184904.0820339904,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,3211523.8579715695,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,3224152.750504632,0.0
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,3233171.1202084245,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,3260132.2910595024,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,3307761.38249044,0.0
lsxp-JianMaSu-ZhanMaSu.xml_2,大胆不听我的话，,3318484.1053761216,0.0
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,3341219.241323275,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,3347744.040592817,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,3357422.157233936,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,3379259.888370368,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,3406621.950179042,0.0
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,3411564.7758846413,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_22,虎在笼中我不打，,3424252.900840237,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,3428102.9543508617,0.0
lsxp-WeiCengKai-QiYuanBao.xml_9,望求太爷与我作主张（啊）。,3429741.8050830527,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,3437888.8714872156,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,3437888.8714872156,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,3454678.499731427,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_4,左手拉住了李左车，,3458822.131245077,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,3486191.3156726286,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,3523534.6306964294,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,3540997.509154231,0.0
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,3553552.4033924663,0.0
lsxp-ZheYiFeng-DingJunShan.xml_9,到明天午时三刻要成功劳。,3579189.430171541,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,3590142.6824199567,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,3615442.469575266,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,3645563.5288716285,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,3653856.808288742,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,3661564.7793156356,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,3695703.16634389,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,3705229.5390833807,0.0
lsxp-DaHeYi-SiLangTanMu.xml_25,家住哪州并哪郡？,3707119.5025157286,0.0
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,3714701.618534423,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,3726692.559771633,0.125
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,3741988.202306993,0.0
lsxp-JiangShenEr-SanJiaDian.xml_11,儿行千里母担忧。,3763451.6343388073,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,3778263.8295164015,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,3778661.8196983286,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,3788040.862486618,0.0
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,3792402.380420232,0.125
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,3792627.6260206406,0.0
lsxp-ZouYingLong-DaYanSong.xml_13,在品级台（呀）前臣见君。,3793319.796062305,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,3809002.939433822,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,3833208.4602215085,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,3833208.4602215085,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,3843997.473213667,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,3847663.760305464,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,3856853.736841208,0.25
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,3857398.2361845514,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_3,耳听笙歌闹喧哗。,3869320.794055969,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,3903548.4017583174,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,3908177.846095423,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,3914928.5491890092,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,3915414.864502732,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,3921825.6438430394,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,3925679.812015418,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,3934325.1303441743,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,3950832.33756871,0.125
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,3963959.231906118,0.25
lsxp-WoBenShi-KongChengJi-2.xml_9,我面前却少个知（呃）音的人。,3965973.6710361824,0.0
sdxp-WoHeNi-SiLangTanMu.xml_17,公主叫我盟誓愿，,3989202.2919313023,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,3991628.3512135856,0.25
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,3992929.2060077633,0.125
lsxp-YiShiWu-YuCangJian.xml_7,我与奸贼不共戴天！,3995327.9522209032,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,3998118.108767893,0.0
lsxp-QingGongYan-FaDongWu.xml_0,庆功宴上把酒饮，,3998210.2509603277,0.125
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,4001867.0417289827,0.0
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,4023365.4432021873,0.125
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,4037030.1034265687,0.125
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,4042327.5799996112,0.0
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,4046205.3697790387,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,4052020.6266363063,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,4063344.3114885604,0.125
lsxp-LiangGuoJiao-ShiJieTing-2.xml_3,赏罚中公（呃）平莫要自由。,4081560.391522796,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,4084440.389816368,0.0
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,4099259.4243056946,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,4102872.477073666,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,4111526.259421171,0.125
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,4130277.032334566,0.125
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,4140804.845126343,0.125
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,4142214.935607731,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,4150286.4558806126,0.125
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,4184693.8398883743,0.125
lsxp-DaHeYi-SiLangTanMu.xml_14,失落番邦被贼擒。,4193591.3903289097,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,4193841.7260428527,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_7,生死二字（喏）且由他！,4196051.705655613,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,4201723.504462578,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,4203598.894775723,0.125
lsxp-ZheYiFeng-DingJunShan.xml_5,三通鼓刀出鞘四通（呃）鼓把兵交。,4215130.949404402,0.125
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,4216330.354192687,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,4223688.704042192,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,4224921.617761212,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,4254897.8031985015,0.0
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,4300002.119947654,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,4301262.215688897,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,4306887.758318351,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,4311653.553262762,0.125
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,4313777.388248914,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,4338485.709042482,0.125
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,4348122.0238151215,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,4348414.875450288,0.125
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,4354592.472041949,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,4358267.890847216,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,4365859.830435253,0.125
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,4376490.59136478,0.125
sdxp-DangNianHan-SanJiZhang.xml_3,小奴才真个不孝顺，,4381762.9558935985,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,4398978.225988799,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,4408746.590159416,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,4415846.210421099,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,4429152.516709096,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,4474956.875450176,0.125
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,4479557.348758845,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_4,山高路远少来问候，,4487294.709653181,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,4496687.152935649,0.125
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,4506994.515734544,0.125
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,4509100.818460003,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_0,屠贼做事心太狠，,4511306.596196939,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,4514187.621887682,0.125
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,4514754.137656781,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,4520161.471779498,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,4536107.250170859,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,4545579.680167703,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,4548885.162145208,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,4548932.989651235,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,4558728.2495437795,0.125
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,4560649.415209879,0.0
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,4576444.327363935,0.125
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,4593490.799885676,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,4594854.6359455455,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,4606234.373255824,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,4609624.725667527,0.25
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,4615172.018387851,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,4619320.888516558,0.0
lsxp-DaHeYi-SiLangTanMu.xml_22,灯光之下看不真。,4623222.518682565,0.0
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,4635597.674522344,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,4641025.69560281,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,4650317.780267919,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,4659208.460563188,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,4660928.155984278,0.125
lseh-WeiGuoJia-HongYangDong-1.xml_1,我也曾平服了塞北西东。,4661392.377074085,0.0
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,4664384.224452645,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,4665271.228466985,0.125
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,4693814.339993472,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,4711800.175016066,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,4727810.168995009,0.125
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,4738523.2339332085,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,4740224.897700339,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,4746414.817760747,0.0
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,4771112.169845211,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,4776037.217409351,0.0
sdxp-SuLongWei-WuJiaPo.xml_13,腰中取出银一锭，,4788596.304596244,0.125
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,4791673.761445086,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,4793241.942381781,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,4809469.53209427,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,4811563.787039793,0.125
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,4818257.939063837,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_2,官封到节度使（喏）皇王恩重，,4819182.110346222,0.0
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,4825424.62946355,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,4827824.711633196,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,4843265.678977822,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,4845865.144708598,0.125
lseh-WeiGuoJia-HongYangDong-3.xml_2,官封到节度史（喏）皇王恩重，,4846191.929338772,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,4852336.397630675,0.0
sdxp-DangNianHan-SanJiZhang.xml_1,登台拜帅是韩信，,4854582.072207375,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,4855986.97786434,0.25
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,4857430.698002622,0.0
lsxp-WeiCengKai-QiYuanBao.xml_7,借宿一宵起祸殃。,4860183.49368195,0.125
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,4880855.632654463,0.125
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,4882108.571801327,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,4882146.445643202,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,4882660.2169142645,0.125
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,4885992.037402442,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,4887544.642579547,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,4895957.868269719,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_12,越思越想好伤惨，,4898360.251275609,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,4921021.842897674,0.125
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,4937764.768656478,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,4945758.369564252,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,4957545.763724899,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,4963615.733529379,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_2,为千岁懒把朝房走，,4972154.538513939,0.125
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,4974162.927569825,0.125
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,4980707.730828354,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,4983615.692106234,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,4984003.901437482,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,4984003.901437482,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,4992314.873891178,0.125
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,4992793.782478255,0.0
lseh-LaoZhangBu-WuPenJi.xml_4,我忙将树（呃）枝摆摇（哇）动，,4995970.722197626,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,4997622.742195392,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,5007896.955236575,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,5014962.418347209,0.0
lsxp-ZouYingLong-DaYanSong.xml_0,忽听得万岁宣应龙，,5015720.764143973,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,5019889.6763224555,0.125
lsxp-DaHeYi-SiLangTanMu.xml_6,怎知今日回宋营。,5028626.95791731,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,5029803.837805976,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_2,官封到节度使（喏）皇王恩重，,5030193.011610304,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,5038532.539980297,0.0
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,5063459.614763794,0.0
lsxp-WeiCengKai-QiYuanBao.xml_3,姓刘名安字世昌。,5065405.904325028,0.0
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,5066870.535361703,0.25
sdxp-DangNianHan-SanJiZhang.xml_2,未央宫斩的是何人？,5080099.051968696,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,5088064.502790385,0.125
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,5088300.519627193,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_0,听他言听得我心（呐）惊胆怕，,5099738.676985627,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_0,听他言吓得我心（呐）惊胆怕，,5099738.676985627,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,5101082.875066769,0.0
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,5121276.251076628,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,5122223.650583317,0.0
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,5128057.5563061265,0.125
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,5148145.257419398,0.125
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,5156211.181831516,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,5164366.862057891,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,5167769.528693317,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,5170260.478325887,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,5170260.478325887,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,5173442.178605419,0.125
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,5182037.906056525,0.125
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,5182853.29604311,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,5204245.891868506,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,5204926.745322223,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,5211054.242332056,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,5211656.345769881,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,5220135.0132968,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,5222330.014758411,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,5225023.647371064,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,5237932.613060276,0.125
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,5240929.446578001,0.125
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,5249509.485339762,0.0
