舍不得太爷的恩情厚,0,舍不得太爷的恩情厚，
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,6697611.661767464,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,6707563.982612039,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,6710309.622800959,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,6745645.430413808,0.1111111111111111
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,6766500.689514519,0.1111111111111111
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,6769930.985841179,0.1111111111111111
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,6780033.564376206,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_16,送与大嫂把家安。,6812409.848696329,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_7,拔出剑将他的满门杀。,6832806.689207208,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,6858774.977493739,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,6887361.887740799,0.1111111111111111
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,6890784.997464541,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_3,为千岁懒观五凤楼。,6896429.853109137,0.0
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,6910571.359414913,0.1111111111111111
lseh-XiRiLi-BaoLianDeng.xml_4,那叔齐分长幼不能担任，,6919613.680810777,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,6966703.990995181,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,6983086.628208103,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,6996794.008354563,0.3333333333333333
lsxp-ZheYiFeng-DingJunShan.xml_6,向前各各有赏犒，,7004853.153432664,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,7009990.610512076,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,7022735.550825059,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,7025825.722549949,0.0
lseh-ZiNaRi-HongYangDong.xml_4,二次（喏）里命孟良番营来进，,7052367.039312698,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,7111575.306879808,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_4,吕伯奢可算得义气大，,7123540.703303932,0.1111111111111111
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,7157607.515653256,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,7172544.379518749,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,7173057.728719096,0.1111111111111111
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,7194991.9574318845,0.1111111111111111
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,7247272.365481839,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,7263188.691837296,0.0
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,7265555.53112031,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,7289328.609310281,0.1111111111111111
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,7481582.50877721,0.1111111111111111
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,7482565.65677317,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,7489580.241814921,0.1111111111111111
lsxp-ShenGongWu-LongFengChengXiang.xml_1,年老得配女娇娃。,7492384.213692501,0.1111111111111111
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,7501691.1977343075,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,7552708.347444634,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,7611652.849355945,0.0
lsxp-ZouYingLong-DaYanSong.xml_2,那一日打从大街进，,7646963.882547998,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,7721746.482781653,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,7736937.237259075,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,7749850.298878129,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,7771255.349378857,0.0
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,7781927.144744895,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,7893319.164756551,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,7912701.022402542,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_8,一家人倶丧在宝剑之（喏）下，,7940784.826386722,0.0
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,7958626.179630605,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,7987493.229049612,0.0
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,7988308.307995411,0.0
lsxp-ZheYiFeng-DingJunShan.xml_1,天助黄忠成功劳。,7991095.437560975,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,8018028.661469536,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,8031633.4451065315,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_5,其中必有这巧（哇）妙高。,8034821.774720518,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,8058058.233296514,0.0
lseh-ZiNaRi-HongYangDong.xml_6,老军报他二人在洪洋（呃）洞丧（呃）命，,8076989.461385275,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,8091256.470647138,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,8094736.451635654,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_8,一家人倶丧在宝剑之（喏）下，,8100969.991076706,0.0
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,8131868.75791281,0.1111111111111111
lsxp-WoBenShi-KongChengJi-1.xml_3,算就了汉家的业鼎足哇三分。,8151186.238365096,0.1111111111111111
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,8175214.15288386,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,8188174.458635868,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,8188350.833038806,0.1111111111111111
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,8231981.54761575,0.1111111111111111
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,8261074.99961692,0.0
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,8276667.504815341,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,8277671.518131397,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,8307673.08710261,0.1111111111111111
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,8316772.401224574,0.0
sdxp-SuLongWei-WuJiaPo.xml_11,好一个贞节王宝钏，,8337385.657046148,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,8345083.036413435,0.0
sdxp-SuLongWei-WuJiaPo.xml_19,是烈女就该在家院，,8372996.386597313,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,8374374.966777968,0.1111111111111111
lseh-XuMaoGong-QinQiongFaPei.xml_3,缘何不救我出笼牢。,8382471.985552077,0.1111111111111111
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,8405746.536174862,0.1111111111111111
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,8473955.559689365,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,8520603.595579438,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,8529522.411573887,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_5,杀猪沽酒款待与他。,8582457.207969338,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,8601396.516340826,0.1111111111111111
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,8605412.415706892,0.0
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,8608830.15287524,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,8628147.57974656,0.1111111111111111
lsxp-ZouYingLong-DaYanSong.xml_7,站立在殿角用目来观定，,8629720.510711547,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,8663154.584918797,0.1111111111111111
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,8710252.60731979,0.1111111111111111
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,8718960.08159713,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,8723779.674225364,0.1111111111111111
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,8770216.977844218,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,8789376.126641968,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,8798926.802086739,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,8818760.776010107,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,8838499.02566981,0.0
lsxp-WeiCengKai-QiYuanBao.xml_7,借宿一宵起祸殃。,8853370.887263512,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,8862088.14358901,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,8899382.19796166,0.0
lsxp-ZouYingLong-DaYanSong.xml_10,他本是我朝中上欺天子下压臣谋朝篡位卖国的奸贼他名叫严嵩，,8952855.356061477,0.1111111111111111
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,8961147.80503787,0.1111111111111111
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,8974150.640229646,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,8974150.640229646,0.0
lsxp-JiangShenEr-SanJiaDian.xml_8,实难舍街坊四邻与我的好朋友，,8981417.763924675,0.2222222222222222
lseh-YiLunMing-WenZhaoGuan-1.xml_6,一连几天我的眉不（哇）展，,9000769.095421562,0.2222222222222222
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,9123590.724310623,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,9136277.253425395,0.1111111111111111
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,9137919.112466522,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_6,一连几天我的眉不（呃）展，,9145673.300322648,0.2222222222222222
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,9171763.115106847,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,9199962.780792613,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,9209022.09841228,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,9237729.063595634,0.0
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,9252019.402074574,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,9259815.524630789,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,9286589.160889955,0.1111111111111111
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,9369764.439764665,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,9374648.141790863,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,9377496.420082988,0.1111111111111111
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,9380016.165999359,0.1111111111111111
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,9380069.929195032,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,9385097.86794017,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_1,背转身自埋怨我自（呃）已做差。,9394800.362897038,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_1,背转身只埋怨我自（呃）己作差，,9394800.362897038,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,9472870.365417652,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,9475747.746219222,0.1111111111111111
lseh-YiLunMing-ZhuoFangCao-1.xml_23,我岂肯放虎归山又（哇）把人抓。,9489259.169430172,0.0
lseh-ZiNaRi-HongYangDong.xml_8,为此事终（啊）日里忧成疾病，,9490077.903412094,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,9523244.11070197,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,9539823.119398566,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_5,后进咸阳扶保在朝纲。,9562099.786234709,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,9585472.571413467,0.0
lsxp-YiShiWu-YuCangJian.xml_1,叹光明一去不回还（呐）；,9606508.107966518,0.1111111111111111
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,9623821.855351388,0.1111111111111111
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,9639376.617388409,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,9655723.905291948,0.0
lsxp-ZouYingLong-DaYanSong.xml_5,他言道严嵩老贼害他的举家一满门。,9675846.639017392,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-2.xml_4,幸遇那东皋公行方便，,9684210.726557346,0.0
lseh-YangYanZhao-PengBei.xml_3,又只见老爹爹瞌睡沉沉。,9704908.516968446,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,9711560.644096285,0.1111111111111111
lsxp-CiShiJian-HuaiHeYing-1.xml_0,此时间不可闹笑话，,9726829.068627853,0.1111111111111111
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,9753388.004406225,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,9770846.641972478,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,9773817.702792874,0.1111111111111111
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,9783472.852877034,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,9835456.539727626,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,9838147.540286561,0.0
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,9903025.583446946,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,9922326.665512351,0.1111111111111111
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,9930664.605309779,0.1111111111111111
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,9943085.322062613,0.2222222222222222
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,9961010.444774121,0.1111111111111111
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,9989831.645447463,0.1111111111111111
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,10025245.015071336,0.1111111111111111
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,10030626.782891996,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_0,我主爷起义在芒砀，,10046891.280944323,0.1111111111111111
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,10060244.045810431,0.0
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,10121453.005238658,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,10150289.558036992,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_12,今日里萧何荐良将，,10181814.265665479,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,10201324.383381851,0.1111111111111111
lseh-XiRiLi-BaoLianDeng.xml_1,伯夷叔齐二大贤人，,10235025.283226447,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,10241250.070202356,0.0
