官封到武乡侯执掌帅印,0,官封到武乡侯哇执掌帅印，
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,7145261.816726912,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,7200959.582514156,0.1
lsxp-DaHeYi-SiLangTanMu.xml_10,火堪寨上有家门。,7205006.371258359,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,7224231.619090356,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_36,对天发不宏誓愿，,7245065.9196077725,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_20,对天发下宏誓愿，,7275760.732978253,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,7285804.224888948,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,7338357.108736739,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,7369630.509122708,0.1
lseh-XiRiLi-BaoLianDeng.xml_7,兄（呃）推弟来两不能够担承。,7428715.783891217,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,7458937.302655585,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_0,为国家哪何曾半日闲空，,7480725.766101542,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,7490519.046538214,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,7518032.7446267605,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,7518180.839443457,0.0
lsxp-WoBenShi-KongChengJi-1.xml_5,东西战南北剿博古通呃今。,7537256.3333966965,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,7556664.904559385,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,7597998.74069439,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_0,为国家哪何曾半日闲空，,7623422.303355875,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,7655924.329445539,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,7665323.338593167,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,7680116.650247613,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,7717970.251868418,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,7828353.496768293,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,7882075.8411725,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_10,爹娘（呃）要相逢除非是梦（呃）里团圆。,7883654.021895567,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,7908281.024632054,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,7908592.383035586,0.0
lsxp-DaHeYi-SiLangTanMu.xml_25,家住哪州并哪郡？,7919873.091684417,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,7927647.186964202,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,7970546.190440587,0.0
lsxp-WoBenShi-KongChengJi-1.xml_9,我面前缺少个知呃音的人。,8009632.085131938,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,8019318.078226247,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_0,叹兄兀弟遭不幸一旦丧命，,8037959.5497054,0.0
lsxp-WeiCengKai-QiYuanBao.xml_1,尊一声太爷听端详。,8082967.6972608585,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,8107716.617276155,0.0
lsxp-WoBenShi-KongChengJi-2.xml_9,我面前却少个知（呃）音的人。,8118386.056086321,0.0
lsxp-WoBenShi-KongChengJi-2.xml_5,东西战南北剿博古（呃）通（哦）今。,8126332.656161894,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,8206125.725567545,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,8206125.725567545,0.0
lseh-XiRiLi-BaoLianDeng.xml_0,昔日里有一个孤竹君，,8215093.4233587235,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,8259012.205625684,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,8288297.307955154,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,8331175.290644125,0.0
lsxp-YiShiWu-YuCangJian.xml_3,靠山绿（哇）水常在面前。,8334707.873643413,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_0,为国家那何曾半日闲空，,8338801.429100511,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,8349560.347567747,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,8365238.415987097,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,8368058.300086691,0.0
lsxp-WoBenShi-KongChengJi-2.xml_2,先帝（呀）爷下南阳（呃）御驾三（呃）请，,8375797.118623452,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,8412528.573141301,0.0
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,8459142.142594405,0.0
sdxp-SuLongWei-WuJiaPo.xml_4,咬定牙关他就不认承。,8493730.770021303,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,8532887.743960286,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_19,安眠好似并底之蛙，,8557345.495834002,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_3,赏罚中公（呃）平莫要自由。,8568828.000656512,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_5,老娘亲再讲情儿自刎头来。,8586242.741203029,0.0
lsxp-ZiGuDao-HuangHeLou.xml_1,主公不必加愁肠。,8596485.889372852,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_2,悔不该心猿并意马，,8640397.869366385,0.0
lsxp-ZiGuDao-HuangHeLou.xml_3,二将军保架过长江。,8685701.746322794,0.0
lsxp-DaHeYi-SiLangTanMu.xml_22,灯光之下看不真。,8723061.767331826,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,8726551.340592997,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,8755949.913600588,0.0
sdxp-SuLongWei-WuJiaPo.xml_6,为军的要人我是不要钱。,8863968.436277835,0.0
lsxp-JianMaSu-ZhanMaSu.xml_2,大胆不听我的话，,8877553.292468986,0.0
lsxp-WoBenShi-KongChengJi-1.xml_2,先帝呀爷下南阳御呀驾三请，,8910228.658179313,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,8912112.295854967,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,8930005.560470128,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,8945091.875605438,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,8985793.356586013,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,9024723.527458273,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,9027597.907803802,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,9046335.987536483,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,9053057.003468925,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_1,愁人心（呐）中似箭穿。,9104084.372912496,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_1,胡言乱语怎瞒（呐）咱。,9123608.354519522,0.0
sdxp-DangNianHan-SanJiZhang.xml_4,仙女嫁的又是何人？,9157539.684950393,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,9184849.399916485,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_1,满朝中文武臣泪双流。,9244925.10991548,0.1
lseh-YiLunMing-ZhuoFangCao-2.xml_0,一轮明月照窗下，,9245092.598451883,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,9274934.335778331,0.2
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,9278249.594018005,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_1,愁人心（哪）中似箭穿。,9281633.986588696,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,9298212.827438127,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,9333245.099335195,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_0,一轮明月照窗前，,9352206.785861429,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,9370486.152994718,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,9414904.514174486,0.0
sdxp-SuLongWei-WuJiaPo.xml_1,苏龙魏虎为媒证，,9431842.938184613,0.0
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,9459909.562798262,0.0
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,9500321.196946688,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,9521351.622794164,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_7,（啊）生死二字（喏）且由他。,9532775.288502278,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_3,赏罚中公（呃）平莫要自由。,9549432.207820142,0.0
lsxp-ZouYingLong-DaYanSong.xml_0,忽听得万岁宣应龙，,9567771.53441699,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_34,寻短（哪）哎见爹娘（兀）！,9610949.478398558,0.0
lseh-LaoZhangBu-WuPenJi.xml_2,休把我当作了妖魔论，,9657018.73094504,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_0,一轮明月照窗前，,9669017.087677108,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,9689543.148663117,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,9702123.318397468,0.0
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,9710472.957147062,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,9715650.893071776,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,9752075.400308372,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,9778284.581422186,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,9787275.807649538,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,9801257.473615563,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_2,官封到节度使（喏）皇王恩重，,9810797.89107244,0.3
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,9871120.229129292,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,9887615.161192758,0.0
lseh-YangYanZhao-PengBei.xml_0,杨延昭奉父命巡查大营，,9903759.18648586,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,9910872.125737453,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_18,观此贼睡卧真（呐）潇洒，,9919736.801515875,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_1,陈伯愚年半百无有后苗。,9929303.574378189,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,9965010.589665284,0.1
lseh-YiLunMing-ZhuoFangCao-1.xml_0,一轮明月照窗下，,9976077.94434264,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_5,他将我隐藏在后花园。,9976595.510759288,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,9993838.067976983,0.1
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,10011105.105967838,0.0
lseh-LaoZhangBu-WuPenJi.xml_4,我忙将树（呃）枝摆摇（哇）动，,10020919.95275843,0.0
lsxp-JiangShenEr-SanJiaDian.xml_13,娘想儿来泪双流。,10028102.75310274,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,10040995.696714843,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,10040995.696714843,0.0
lseh-ZiNaRi-HongYangDong.xml_0,自（喏）那日朝罢归身（呐）染重病，,10058801.642050872,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,10064691.28618016,0.0
lsxp-WoBenShi-KongChengJi-2.xml_1,凭阴阳如反掌保定乾坤。,10086012.535629887,0.1
lsxp-DaHeYi-SiLangTanMu.xml_4,上面（哪）坐的同胞人。,10102580.881623544,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,10107482.964974102,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,10114967.595234318,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,10120082.141457533,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,10148220.533955805,0.1
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,10170369.250141008,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,10172141.599735431,0.0
sdxp-WoHeNi-SiLangTanMu.xml_2,贤公主又何必过于谦言。,10175998.971629499,0.0
sdxp-SuLongWei-WuJiaPo.xml_13,腰中取出银一锭，,10185733.21110116,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,10234098.539373882,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,10234278.396052212,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_21,我不杀平王我的心怎甘。,10259850.743326537,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_10,千言万（哪）语她不肯，,10287623.73701419,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,10291120.422995983,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,10305866.07774035,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_37,我不杀平王我的心怎甘（哪）。,10321419.586931853,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_2,官封到节度使（喏）皇王恩重，,10326696.720169827,0.3
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,10376025.458830358,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,10402127.335810283,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,10413988.958674712,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,10420880.100071117,0.2
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,10435242.95609102,0.0
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,10449593.17244944,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,10476132.451743051,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,10477997.529342327,0.1
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,10485875.227580968,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,10565763.322434083,0.0
lseh-LaoZhangBu-WuPenJi.xml_0,老丈不（哇）必胆怕惊，,10585554.681856154,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,10589195.170934306,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,10589979.391344996,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_3,耳听笙歌闹喧哗。,10597156.782593004,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_1,陈宫心（呐）中乱如麻，,10665522.21798894,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,10700809.368909435,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_25,不能（哪）哎见爹娘（兀）！,10718590.071919596,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_1,陈宫心（呐）中乱如麻，,10728282.857506063,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,10749038.574505543,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,10779831.103878928,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_26,要相逢陈非是梦（兀）里团圆。,10813341.786737962,0.0
lsxp-ZheYiFeng-DingJunShan.xml_3,大小儿郎听根苗，,10819375.932029307,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,10828478.201034911,0.0
sdxp-SuLongWei-WuJiaPo.xml_17,买绫罗与绸缎、打首饰和簪环，,10842143.595972229,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,10861903.660035599,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_28,越思越想好伤惨，,10921559.266253885,0.0
sdxp-SuLongWei-WuJiaPo.xml_10,管保大嫂就断与咱。,10925010.651954873,0.0
sdxp-SuLongWei-WuJiaPo.xml_3,他三人与我有仇恨，,10947894.824567484,0.0
lsxp-DaHeYi-SiLangTanMu.xml_8,问我一言答一声。,10948692.031302987,0.0
lseh-ZenNengGou-BaDaChui.xml_0,怎能够思一计番营来进，,10962627.636759117,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,10973838.286505833,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_2,官封到节度史（喏）皇王恩重，,10991736.015230095,0.3
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,10992486.958008312,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,11005894.479805661,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,11007962.94236399,0.0
sdxp-SuLongWei-WuJiaPo.xml_2,王丞相是我的主婚人（哪）。,11014966.505279504,0.0
lseh-XiRiLi-BaoLianDeng.xml_15,打死个秦官保父不能担承。,11031950.069368534,0.1
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,11034975.704219708,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,11034975.704219708,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,11060484.02840455,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,11078106.256942153,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,11078865.585634045,0.1
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,11109777.977978757,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_7,生死二字（喏）且由他！,11164918.040817374,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,11167555.58433595,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,11183569.762479143,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,11186930.749183543,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,11192612.34756679,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,11192612.34756679,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,11203944.238390466,0.0
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,11206870.810827458,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,11254965.009537045,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,11267368.699724855,0.0
sdxp-WoHeNi-SiLangTanMu.xml_12,无有令箭怎过关。,11315500.497718899,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,11332607.804964555,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_1,陈宫心中乱如麻。,11333602.201316737,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,11350529.022157988,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,11374221.728123607,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,11380812.825085334,0.0
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,11385318.154750675,0.0
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,11419107.150481397,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,11421881.910480328,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_5,他将我隐藏在后花园。,11421889.916277146,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,11430720.48293178,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,11432113.977678375,0.0
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,11432293.60112284,0.1
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,11435348.572091294,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_15,悔不该弃县今抛却了乌（哇）纱，,11453378.342311516,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,11474150.128850566,0.0
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,11474750.446021466,0.0
lsxp-WoBenShi-KongChengJi-1.xml_1,论阴阳如反掌保定乾坤。,11479684.356448524,0.1
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,11489151.34276224,0.3
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,11540246.875680251,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,11551936.497029524,0.0
lseh-XiRiLi-BaoLianDeng.xml_2,都只为孤（哇）竹君身染重病（哪），,11574312.805181406,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,11583034.134418426,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,11586743.531436844,0.0
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,11604599.204544576,0.0
lseh-WeiKaiYan-RangXuZhou.xml_3,老朽年迈我也不能够担承。,11613472.257218886,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_18,寻短（呃）哎见爹娘（呃）。,11624781.010768102,0.0
sdxp-WoHeNi-SiLangTanMu.xml_20,黄沙盖脸尸骨不全。,11630591.865583168,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_0,一轮明月照窗下，,11646858.770576868,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,11681009.25731507,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_12,越思越想好伤惨，,11695218.22139284,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,11720931.210429383,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,11722419.126768043,0.3
lseh-JinZhongXiang-ShangTianTai.xml_0,金钟响玉磬应王登龙庭，,11722569.401557902,0.0
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,11736061.137884974,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,11736485.380312614,0.1
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,11808205.777398998,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,11808512.862729931,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,11810040.945788007,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,11811148.273105508,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,11814894.125782728,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,11815289.938991204,0.0
