我好比龙游在浅沙滩,0,我好比龙游在浅沙滩。
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,4315756.662053396,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,4321684.910009563,0.1111111111111111
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,4325546.535701173,0.1111111111111111
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,4328205.272169315,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,4329822.131701236,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,4381351.520548754,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,4400449.086947223,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,4415481.728000117,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,4459184.306209854,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,4460887.814552577,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,4468446.166194816,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,4473261.152888922,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,4479576.949646231,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,4486035.583933482,0.2222222222222222
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,4492681.050121154,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,4495245.249434921,0.1111111111111111
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,4502543.457805242,0.1111111111111111
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,4511083.6455458775,0.1111111111111111
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,4516533.583265284,0.1111111111111111
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,4521174.194725878,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,4526950.234525984,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,4538826.383581593,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,4544757.421403382,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,4544986.302682448,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,4546511.802996156,0.2222222222222222
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,4552806.864344977,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,4558486.882028838,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,4566979.524394275,0.1111111111111111
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,4587576.126356989,0.1111111111111111
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,4592054.550467489,0.1111111111111111
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,4595301.823215172,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,4596685.460462818,0.1111111111111111
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,4599871.393376978,0.1111111111111111
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,4600471.642478089,0.2222222222222222
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,4600623.9142785445,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,4605221.551390712,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_1,胡言乱语怎瞒（呐）咱。,4611806.254323087,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,4634925.762102301,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,4649707.190624285,0.1111111111111111
lsxp-CiShiJian-HuaiHeYing-1.xml_4,左手拉住了李左车，,4651213.812212004,0.0
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,4675376.897008246,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,4676812.844550339,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,4681720.466208434,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,4695163.814560101,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,4699618.501690377,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,4701998.255025892,0.1111111111111111
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,4710625.808323357,0.1111111111111111
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,4739465.835157122,0.1111111111111111
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,4748342.109470766,0.0
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,4783778.8810482165,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,4796099.502073118,0.1111111111111111
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,4803799.16729019,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,4804649.99699575,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,4817658.148622477,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,4824385.582877616,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,4837057.221319673,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,4845220.368046546,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,4854786.808480118,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,4855107.183862328,0.1111111111111111
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,4861274.006074743,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,4864322.1990590105,0.0
sdxp-SuLongWei-WuJiaPo.xml_16,送与大嫂把家安。,4877233.640548624,0.0
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,4883869.323224747,0.0
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,4890795.633174402,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,4899922.017431508,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,4900707.895179252,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,4933275.466379336,0.1111111111111111
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,4940917.583346231,0.0
sdxp-DangNianHan-SanJiZhang.xml_1,登台拜帅是韩信，,4944391.873068303,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,4947687.224849833,0.0
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,4957047.796244651,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,4960337.114071461,0.1111111111111111
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,4971715.170815558,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,4991369.725810304,0.3333333333333333
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,4991608.898664503,0.1111111111111111
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,4993020.3526679,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,4994871.427871313,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,4998081.898192434,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,5006645.719984949,0.2222222222222222
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,5011662.322266507,0.0
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,5020732.757809228,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,5026206.39605387,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_14,思来想去我的肝肠断，,5045180.735967305,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,5056617.374844633,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,5058574.471596129,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,5063277.46376397,0.1111111111111111
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,5067243.050313916,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,5074928.4825333,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,5084000.84874931,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,5084687.203092642,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,5084687.203092642,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,5102961.481867768,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_1,翻来复去睡不安。,5122856.766502698,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_18,观此贼睡卧真（呐）潇洒，,5124575.1332680695,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_17,翻来覆去睡不（哇）安。,5129665.792875089,0.0
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,5155471.3399944175,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,5168525.527722338,0.1111111111111111
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,5204940.579478522,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,5209196.992720845,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,5218653.101666146,0.0
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,5221618.614267763,0.1111111111111111
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,5222491.019791825,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_5,右手再把栾布拉，,5229136.169663391,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,5232855.829016742,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,5235051.608121728,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,5245348.587441038,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,5248625.217298898,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,5269245.3496103,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,5270250.904967948,0.1111111111111111
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,5283334.164094061,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,5283386.584277312,0.0
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,5285122.458934846,0.1111111111111111
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,5296847.121632986,0.1111111111111111
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,5331831.565219868,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,5339810.195281875,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,5355908.665546932,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,5357010.861817589,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,5357010.861817589,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,5360873.306681054,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,5362364.079433516,0.1111111111111111
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,5367233.471688276,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,5368053.88207943,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,5370991.506030565,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_2,实指望到吴国借兵回转，,5375330.2980243135,0.0
lsxp-ZouYingLong-DaYanSong.xml_7,站立在殿角用目来观定，,5381050.4356518965,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,5381414.830830922,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,5418345.357652471,0.2222222222222222
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,5421009.797601034,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,5423751.301354407,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,5424841.02522309,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,5441459.739401889,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-1.xml_2,实指（惹）望到吴国借兵回转，,5463158.648964715,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,5466313.171606634,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,5469764.949898652,0.1111111111111111
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,5483296.218115331,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,5486365.5411594985,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,5503059.608022524,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,5514755.346180902,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,5515854.327848564,0.0
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,5529461.111182021,0.1111111111111111
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,5532909.605691524,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,5536962.798379665,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,5537067.326847835,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,5537831.572904393,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,5550133.340166633,0.0
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,5554334.771413559,0.2222222222222222
lseh-YiLunMing-ZhuoFangCao-2.xml_3,悔不该随他人到吕家。,5560562.45485758,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,5564100.899232715,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,5565056.3854825795,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,5577328.71190553,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,5579616.506675901,0.0
sdxp-WoHeNi-SiLangTanMu.xml_17,公主叫我盟誓愿，,5596850.158430216,0.1111111111111111
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,5607504.811249844,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,5611732.870350301,0.0
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,5616846.023643812,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_0,此时间不可闹笑话，,5619150.671615067,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,5638097.913405485,0.1111111111111111
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,5643174.908884094,0.1111111111111111
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,5654689.04609885,0.2222222222222222
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,5660865.233761326,0.1111111111111111
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,5663018.961919064,0.0
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,5694478.475594169,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,5698748.320125935,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,5698748.320125935,0.2222222222222222
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,5706792.019454347,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,5714148.907559489,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,5716503.160510314,0.2222222222222222
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,5721942.5700461585,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_3,为什么事到如今耍奸滑。,5722557.51088289,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,5727668.04196296,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,5737187.703597274,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,5743282.023408561,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,5747410.57957362,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,5748153.163647156,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,5749817.8939417,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,5766084.408578183,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,5777481.909533961,0.0
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,5801207.813575044,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,5808013.945450756,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,5811095.287737408,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,5817584.490229986,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,5818171.335664153,0.0
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,5824282.242233456,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,5826324.212666796,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,5833820.87278477,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,5841169.094956538,0.1111111111111111
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,5858581.2313944595,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,5874005.3448680295,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,5874961.173628443,0.1111111111111111
lsxp-WeiCengKai-QiYuanBao.xml_9,望求太爷与我作主张（啊）。,5879765.22079666,0.1111111111111111
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,5885577.10851235,0.0
sdxp-SuLongWei-WuJiaPo.xml_13,腰中取出银一锭，,5898198.469258075,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,5917316.261203557,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,5924778.716678081,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,5926853.198604021,0.0
