我本是卧龙岗散淡的人,0,我本是卧龙岗散淡（呐）的人，
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,7161872.100588399,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,7185322.022112026,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,7185968.439832332,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_6,舍子搭救忠（呃）良的后，,7192958.027133458,0.1
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,7194441.660240384,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,7212293.21595349,0.1
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,7231294.176403326,0.1
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,7252775.028207217,0.2
lseh-YiLunMing-WenZhaoGuan-1.xml_2,实指（惹）望到吴国借兵回转，,7258146.911734607,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,7264170.970855409,0.2
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,7271608.323058979,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,7280592.277413039,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,7281558.553403506,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,7301452.064184539,0.0
lseh-WeiKaiYan-RangXuZhou.xml_0,未开言不由人（呐）珠泪滚滚，,7358915.489158966,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,7370047.249239667,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,7370776.782621371,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,7372295.245125,0.1
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,7427837.1343761785,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,7434068.875648195,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,7456503.271148964,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_7,（啊）生死二字（喏）且由他。,7461633.895319259,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,7471971.685928814,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_18,观此贼睡卧真（呐）潇洒，,7474339.419695269,0.1
lseh-WeiGuoJia-HongYangDong-3.xml_1,我也曾平服了塞北西东。,7487161.637523963,0.1
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,7491120.640247022,0.1
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,7542070.302570878,0.1
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,7546226.456872352,0.0
lsxp-WoBenShi-KongChengJi-2.xml_2,先帝（呀）爷下南阳（呃）御驾三（呃）请，,7552980.32849715,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_2,悔不该心猿并意马，,7587871.848965449,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,7607126.809076563,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,7619229.1294104215,0.1
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,7627776.658262493,0.1
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,7639981.9158500265,0.0
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,7641431.663119313,0.1
lseh-WeiGuoJia-HongYangDong-2.xml_1,我也曾平服了塞北西东。,7668646.390938036,0.1
lsxp-ZheYiFeng-DingJunShan.xml_9,到明天午时三刻要成功劳。,7677955.070717651,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_28,越思越想好伤惨，,7678393.9994977135,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,7678935.866573253,0.1
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,7688847.47520163,0.1
lseh-XiRiLi-BaoLianDeng.xml_15,打死个秦官保父不能担承。,7688879.141351669,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,7694291.327197799,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,7694553.5405649375,0.0
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,7716249.927826266,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,7729170.340464855,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,7737067.399017317,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,7748458.556768195,0.1
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,7772258.149722177,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,7775380.813373166,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,7828093.856813166,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,7839143.905864069,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,7873879.570758621,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,7888998.812085497,0.1
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,7900548.386047767,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,7905965.289269662,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,7913870.018522199,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,7914096.260446394,0.1
lseh-XinZhongYou-WenZhaoGuan.xml_12,越思越想好伤惨，,7916315.819339691,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,7921164.753575325,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,7924004.33386048,0.1
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,7942162.843534256,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,7945884.123728407,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,7956357.82410759,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,7956357.82410759,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,7957188.16600569,0.2
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,7970949.624639445,0.0
lsxp-WoBenShi-KongChengJi-1.xml_1,论阴阳如反掌保定乾坤。,7973160.934002725,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,7985410.6397261685,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,7985541.939309563,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,7985627.212219407,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,7996879.611309896,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_3,哭啼啼坐宝帐所为何来。,8009069.501946772,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,8009940.357994236,0.1
sdxp-SuLongWei-WuJiaPo.xml_13,腰中取出银一锭，,8027599.266979539,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,8030247.886387938,0.0
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,8036628.860378298,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,8043215.809026874,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,8047779.5138135785,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,8048060.917498308,0.1
lsxp-WoBenShi-KongChengJi-2.xml_6,周文王访姜尚周室大振，,8048612.352514559,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,8063564.7193299085,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,8063564.7193299085,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,8064363.053864371,0.2
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,8067808.62186057,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,8093625.303737967,0.1
lsxp-WoBenShi-KongChengJi-1.xml_2,先帝呀爷下南阳御呀驾三请，,8095299.280673099,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,8097488.913131661,0.1
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,8097768.025863034,0.0
sdxp-DangNianHan-SanJiZhang.xml_1,登台拜帅是韩信，,8103119.4222788615,0.1
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,8104291.272793843,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,8116613.113120994,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_1,问三娘发雷霆却是为何？,8144904.843709641,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,8152428.491329618,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_1,卑（呀）人言来你是（喏）听。,8173216.63931366,0.2
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,8173569.673796249,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,8179435.439119123,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,8197043.059082741,0.2
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,8214123.14722056,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,8225679.2486452535,0.2
lseh-YiLunMing-WenZhaoGuan-1.xml_33,我本当拔宝剑自寻短见，,8240235.2178727,0.2
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,8245579.271734502,0.2
lseh-ZenNengGou-BaDaChui.xml_2,前也思（喏）后又想无有计定，,8298653.449285914,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,8312499.675282051,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,8322705.5518754255,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_14,思来想去我的肝肠断，,8333406.520292117,0.2
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,8348191.682454935,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,8348344.236012354,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,8356034.253633921,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,8366242.938395698,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,8369506.981164303,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,8372604.356101211,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,8380680.43739082,0.0
lseh-WeiKaiYan-RangXuZhou.xml_3,老朽年迈我也不能够担承。,8382898.694599218,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,8383797.65995936,0.2
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,8383797.65995936,0.2
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,8385657.52399181,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,8399386.926399453,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,8415138.497716438,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,8419014.467242077,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,8420070.13728468,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,8420070.13728468,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,8449022.936612396,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,8476054.394241396,0.0
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,8486931.964990258,0.0
lsxp-WoBenShi-KongChengJi-1.xml_6,周文王访姜尚周室大振，,8495058.200844176,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_3,为什么事到如今耍奸滑？,8502042.225645693,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_2,实指望到吴国借兵回转，,8507284.072300712,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,8517318.864645382,0.1
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,8521249.21919286,0.1
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,8522903.24601766,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,8524906.515381644,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,8538777.334885087,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,8540511.050554046,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,8551521.867423069,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,8558489.378793685,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,8561358.251492526,0.1
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,8565348.342577118,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,8576672.350636253,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,8581015.249357896,0.2
lseh-ZiNaRi-HongYangDong.xml_9,因此上臣的病重（呃）加十分、千岁爷呀！,8583464.445286809,0.1
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,8596650.673374292,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,8601703.665227521,0.1
lsxp-CiShiJian-HuaiHeYing-1.xml_3,为什么事到如今耍奸滑。,8622705.445067387,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,8633354.670044478,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,8642596.116098909,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,8644805.966992147,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,8664740.085886067,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,8666964.015698077,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_3,悔不该随他人到吕家。,8667572.324120741,0.1
lseh-NiangZiBu-SouGuJiuGu.xml_4,我与那公孙杵臼把计定，,8682318.462302467,0.1
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,8691680.397595266,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,8696262.060915286,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,8697806.41697337,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,8713423.973459093,0.0
lsxp-WeiCengKai-QiYuanBao.xml_1,尊一声太爷听端详。,8715190.6547859,0.0
lseh-WeiKaiYan-RangXuZhou.xml_4,望使君放开怀慨然（呐）应（呐）允，,8727122.419884177,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,8729488.761990838,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,8737867.603058552,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_1,陈宫心（呐）中乱如麻，,8746196.045569541,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,8761018.904313698,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,8778207.40937989,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,8780264.579192119,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_2,悔不该心猿并意马，,8784177.311933236,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,8792047.103108073,0.2
lseh-XiRiLi-BaoLianDeng.xml_7,兄（呃）推弟来两不能够担承。,8797193.575528735,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,8797752.71769989,0.1
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,8815444.733183777,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,8840163.996785995,0.2
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,8851725.640898943,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,8851767.562870085,0.2
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,8859123.013985498,0.1
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,8862861.5237279,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,8865610.75155978,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,8867064.891154062,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,8888561.097418288,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,8913506.102291053,0.0
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,8924020.97922727,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,8931803.069684759,0.2
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,8940007.063795753,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,8942831.647481916,0.1
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,8952462.969118906,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,8952485.76787655,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,9002419.56383576,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,9007318.868599102,0.1
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,9021200.082068084,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,9021589.837378725,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,9031529.034242786,0.2
