为国家哪何曾半日闲空,1,为国家哪何曾半日闲空，
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,4353666.190388577,0.1
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,4353666.190388577,0.1
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,4362404.620303794,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_36,对天发不宏誓愿，,4380531.33386025,0.0
sdxp-SuLongWei-WuJiaPo.xml_10,管保大嫂就断与咱。,4418820.092413772,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,4424802.902224066,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_10,千言万（哪）语她不肯，,4428745.561772377,0.1
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,4434364.6930461135,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_0,一轮明月照窗下，,4484278.919387079,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_0,一轮明月照窗下，,4493367.249356177,0.0
lsxp-DaHeYi-SiLangTanMu.xml_24,你是番邦什么人？,4585338.405623013,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_1,满朝中文武臣泪双流。,4602898.508920036,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,4633162.072013255,0.0
lsxp-DaHeYi-SiLangTanMu.xml_22,灯光之下看不真。,4637862.281381507,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_20,对天发下宏誓愿，,4701640.742940876,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,4731561.910012239,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_34,寻短（哪）哎见爹娘（兀）！,4749685.8789552385,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,4753742.1604704,0.0
lseh-LaoZhangBu-WuPenJi.xml_4,我忙将树（呃）枝摆摇（哇）动，,4754816.770778744,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,4788607.427959851,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_0,一轮明月照窗下，,4792456.110730474,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,4794465.325105347,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_2,官封到节度史（喏）皇王恩重，,4806865.218714787,0.0
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,4810793.891195355,0.0
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,4817620.598648469,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,4858878.364937201,0.1
lseh-WeiGuoJia-HongYangDong-2.xml_2,官封到节度使（喏）皇王恩重，,4909816.634313937,0.0
lseh-XiRiLi-BaoLianDeng.xml_15,打死个秦官保父不能担承。,4914263.563228124,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,4914344.945985537,0.0
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,4969461.82337051,0.0
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,5003707.388577996,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,5014077.928895657,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,5022863.422950646,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,5030012.123731269,0.1
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,5035540.9852083605,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,5039363.730677915,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,5062083.456763648,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_1,愁人心（哪）中似箭穿。,5070312.1103623565,0.1
lseh-TanXiongDi-SangYuanJiZi.xml_0,叹兄兀弟遭不幸一旦丧命，,5074102.185093134,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,5079961.656695932,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_18,观此贼睡卧真（呐）潇洒，,5092734.95203342,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,5103235.021986809,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,5103235.021986809,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,5126807.881499794,0.0
lseh-ZenNengGou-BaDaChui.xml_0,怎能够思一计番营来进，,5129668.036957792,0.0
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,5130428.802799376,0.0
lseh-XiRiLi-BaoLianDeng.xml_13,二娇儿也难比那两个贤人。,5132315.618272215,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_1,愁人心（呐）中似箭穿。,5135312.740654859,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_2,官封到节度使（喏）皇王恩重，,5164125.156893939,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,5216848.710410722,0.0
lsxp-YiShiWu-YuCangJian.xml_3,靠山绿（哇）水常在面前。,5248616.688964622,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,5271656.216745577,0.1
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,5292686.020151684,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,5301332.908145737,0.1
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,5388949.123941809,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,5412500.533249717,0.1
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,5421902.645501804,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_3,三百余口命赴幽冥。,5422449.039120058,0.0
lsxp-ZiGuDao-HuangHeLou.xml_1,主公不必加愁肠。,5467998.321345932,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,5474710.218491389,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,5507519.276343236,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,5551221.152984793,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,5571516.167688865,0.0
lseh-WeiKaiYan-RangXuZhou.xml_0,未开言不由人（呐）珠泪滚滚，,5604498.687256434,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_4,左手拉住了李左车，,5627565.697045754,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,5631412.513134305,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,5668403.910877615,0.1
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,5680062.9971877765,0.0
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,5689487.470167386,0.1
sdxp-WoHeNi-SiLangTanMu.xml_12,无有令箭怎过关。,5693539.203306147,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,5695232.905004252,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_15,今夜晚怎能够盼到明天。,5702784.956883193,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_18,寻短（呃）哎见爹娘（呃）。,5722253.0576079,0.0
lseh-XiRiLi-BaoLianDeng.xml_7,兄（呃）推弟来两不能够担承。,5723925.712945014,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,5730237.415291466,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,5746261.786356597,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_5,他将我隐藏在后花园。,5752378.913138493,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,5758130.190430865,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,5762640.125950635,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_5,老娘亲再讲情儿自刎头来。,5772205.021177992,0.0
sdxp-SuLongWei-WuJiaPo.xml_18,我与你露水的夫妻就过几年（呐）。,5777241.441257239,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,5781430.340103665,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,5782202.264729145,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,5819973.380281901,0.1
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,5830936.1649533855,0.0
lsxp-YiShiWu-YuCangJian.xml_5,信用无极狗奸谗。,5835157.770102417,0.0
lsxp-YiShiWu-YuCangJian.xml_7,我与奸贼不共戴天！,5839366.074931652,0.0
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,5884230.691008053,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,5920444.266093918,0.1
lsxp-DaHeYi-SiLangTanMu.xml_4,上面（哪）坐的同胞人。,5941648.40644317,0.1
lsxp-LiangGuoJiao-ShiJieTing-1.xml_3,赏罚中公（呃）平莫要自由。,5943477.114270313,0.0
lsxp-DaHeYi-SiLangTanMu.xml_16,我是你四哥回宋营。,5970983.679926668,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,5972751.422685877,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,5974320.456894518,0.1
lsxp-ZiGuDao-HuangHeLou.xml_3,二将军保架过长江。,5984174.679834262,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,5998783.677526102,0.1
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,6019219.300957496,0.2
lsxp-DaHeYi-SiLangTanMu.xml_8,问我一言答一声。,6019622.792149138,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,6019682.647900857,0.2
lseh-YiLunMing-WenZhaoGuan-2.xml_15,今夜晚怎能够盼到明天。,6020286.119624143,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,6035347.821085732,0.1
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,6036781.912186446,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,6055714.500654992,0.1
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,6086991.349556339,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,6093851.172254525,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,6125501.845809916,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,6130798.04184819,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,6135091.692279475,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,6142519.7297276165,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,6150534.962779386,0.0
sdxp-WoHeNi-SiLangTanMu.xml_20,黄沙盖脸尸骨不全。,6154796.366247801,0.0
lseh-JinZhongXiang-ShangTianTai.xml_0,金钟响玉磬应王登龙庭，,6159132.9264158085,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,6159998.333350742,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,6163858.125344181,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,6164630.592817447,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,6220542.2143350225,0.0
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,6227856.508595612,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,6243448.575667021,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,6248363.595947504,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,6262744.362807247,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,6282007.70829389,0.0
lseh-ZenNengGou-BaDaChui.xml_2,前也思（喏）后又想无有计定，,6285575.601238973,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,6299602.057886141,0.1
sdxp-SuLongWei-WuJiaPo.xml_3,他三人与我有仇恨，,6309175.352628592,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,6313790.803987093,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,6320903.021556964,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,6320903.021556964,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,6341160.116628866,0.0
lsxp-YiShiWu-YuCangJian.xml_1,叹光明一去不回还（呐）；,6349484.387035206,0.0
lseh-YangYanZhao-PengBei.xml_4,我本当将此事对他来论，,6352699.834440639,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,6352953.113664359,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,6397066.014322666,0.0
lsxp-QingGongYan-FaDongWu.xml_0,庆功宴上把酒饮，,6407555.593688788,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_2,为千岁懒把朝房走，,6418211.374823344,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,6421468.622979596,0.1
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,6421468.622979596,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,6427347.961667711,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_3,却原（呐）来贼是个无（哇）义（呀）的冤家！,6463866.947771786,0.1
lsxp-TingTaYan-ZhuoFangCao-2.xml_3,却愿（呐）来贼是个无（哇）义（呀）的冤家！,6463866.947771786,0.1
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,6466914.953974946,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,6483046.858578013,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,6503886.150525677,0.0
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,6544144.986564378,0.1
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,6558241.656295734,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,6562030.398509849,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,6562627.40090737,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,6575933.542098575,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,6585554.966689232,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_7,生死二字（喏）且由他！,6587409.516531335,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,6598878.06302333,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,6601669.6423063455,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_4,山高路远少来问候，,6615026.5116741285,0.0
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,6618466.685473466,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,6670314.436916859,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_1,丢下了年幼儿好不伤情。,6683648.280197411,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,6696042.500051254,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,6722162.167599843,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,6724718.421264243,0.0
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,6725990.525534677,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,6734896.89378014,0.1
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,6754718.421010498,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,6756569.514640664,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_3,身不爽不由人瞌睡朦胧（呃）（哪）。,6769394.267655564,0.1
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,6774872.577584204,0.0
lsxp-WoBenShi-KongChengJi-2.xml_5,东西战南北剿博古（呃）通（哦）今。,6776363.626239135,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,6779976.017664474,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,6786759.04728148,0.0
lsxp-WoBenShi-KongChengJi-1.xml_5,东西战南北剿博古通呃今。,6787370.612064181,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,6810310.127453079,0.1
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,6813062.695540921,0.1
sdxp-SuLongWei-WuJiaPo.xml_2,王丞相是我的主婚人（哪）。,6834648.371674387,0.1
lsxp-DaHeYi-SiLangTanMu.xml_26,要见本帅为何情？,6846181.325239905,0.2
lsxp-ShenGongWu-LongFengChengXiang.xml_3,耳听笙歌闹喧哗。,6858136.846259211,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,6861106.216488464,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,6887680.321346186,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,6899257.885879328,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,6907485.445409335,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,6908898.877825565,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,6914837.630306074,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,6934229.185639262,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,6954233.476014521,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,6964180.587648344,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,6967420.295634852,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,6978489.932411118,0.1
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,6980931.605944478,0.1
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,6994718.766692567,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,6997034.29100084,0.0
lseh-LaoZhangBu-WuPenJi.xml_6,我和你远无冤近无有仇恨，,7002480.323671523,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,7003571.016931296,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,7025348.475361646,0.1
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,7027915.58955866,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,7046737.1277326085,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,7056238.9978232505,0.0
lsxp-WeiCengKai-QiYuanBao.xml_9,望求太爷与我作主张（啊）。,7066255.517528842,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,7071188.563792833,0.1
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,7076936.942535169,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,7077226.997140448,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,7087474.321575426,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,7089145.460948903,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,7096597.758071125,0.1
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,7097294.982107006,0.1
lsxp-ZheYiFeng-DingJunShan.xml_5,三通鼓刀出鞘四通（呃）鼓把兵交。,7137091.035552227,0.0
sdxp-WoHeNi-SiLangTanMu.xml_10,怎奈我身在番难以过关。,7141037.111971321,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,7141384.141185597,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,7144528.989710271,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,7156990.872597839,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,7159724.155023677,0.0
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,7179565.155427542,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,7197597.972897544,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,7219089.156054091,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,7220681.192211664,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,7225510.9420303125,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,7226179.167531024,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,7238290.228101093,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,7250465.346974143,0.0
