在长安是你夸大话,7,在长安是你夸大话，
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,4543305.476247551,0.125
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,4558460.017085615,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,4568435.280306669,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_3,为千岁懒观五凤楼。,4568794.382358846,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,4595049.969364364,0.125
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,4629271.516749822,0.375
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,4629365.091451841,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,4663521.026246882,0.0
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,4667048.831107347,0.125
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,4685362.73276191,0.0
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,4704422.902331543,0.125
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,4705205.188620466,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,4712146.728589419,0.125
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,4713392.613766494,0.0
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,4745277.222682282,0.125
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,4761804.777465965,0.125
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,4778872.236635329,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,4800773.109274828,0.0
lsxp-JiangShenEr-SanJiaDian.xml_10,娘生儿连心肉，,4813782.514050011,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,4818707.8440617295,0.25
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,4828872.764473058,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,4838799.716412036,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,4888970.497038359,0.125
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,4904930.22985087,0.0
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,4917277.906132984,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,4922721.044509324,0.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,4938758.202087576,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_7,拔出剑将他的满门杀。,4940272.920392596,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_14,撩袍端带我把金殿上，,4967378.374097075,0.0
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,4970140.282499054,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,5009717.761290804,0.0
lseh-ZiNaRi-HongYangDong.xml_4,二次（喏）里命孟良番营来进，,5055871.098996206,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,5082344.52172064,0.125
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,5111687.059772535,0.125
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,5111965.79769226,0.125
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,5113735.275794698,0.125
lsxp-JiangShenEr-SanJiaDian.xml_8,实难舍街坊四邻与我的好朋友，,5118535.9189736815,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,5122251.14816692,0.125
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,5126765.955058232,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_10,项羽不遵怀王约，,5134224.191602813,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,5135604.345983975,0.125
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,5151834.540444561,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,5157822.333402433,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,5158115.340783648,0.0
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,5162952.479768765,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,5184132.297596112,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,5187383.080760761,0.125
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,5188445.2210923005,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,5199323.682069772,0.125
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,5218018.492915653,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_14,朝臣待漏五更寒。,5224274.871015108,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,5225750.663562626,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,5231846.477102802,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,5252843.235158153,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,5253303.394777964,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,5253762.682562762,0.125
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,5264579.5215814095,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,5290742.08341558,0.125
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,5309273.511217387,0.0
lseh-ZenNengGou-BaDaChui.xml_1,前后话对文龙细说衷情。,5323899.309367049,0.125
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,5352824.321605044,0.125
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,5363055.859487272,0.125
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,5419658.430585169,0.125
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,5423514.272800301,0.0
lsxp-WoBenShi-KongChengJi-2.xml_3,算就了汉家的业鼎足（呃）三分。,5432677.109182322,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,5486227.4020126555,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,5488670.039682847,0.25
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,5491532.282128995,0.125
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,5499997.965564236,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,5548088.083810642,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_8,一家人倶丧在宝剑之（喏）下，,5560919.166103889,0.125
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,5572348.234311844,0.125
lsxp-WoZhuYe-ZhuiHanXin.xml_13,但愿得言听计从重整汉家邦、一同回故乡。,5579698.372531948,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,5584364.451370284,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,5588762.883472408,0.125
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,5596777.402851965,0.0
lsxp-JiangShenEr-SanJiaDian.xml_4,杨林与我来争斗，,5602916.614365663,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,5610462.240106527,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_3,为儿（喏）女我也曾补路修桥。,5632271.021095095,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_30,朝臣待漏（哇）五更寒，,5688188.494713526,0.0
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,5718678.432165848,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,5719058.861118805,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,5720522.021372226,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,5732947.556288057,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,5745428.995503949,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,5750352.209836535,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,5750634.135261268,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,5752834.985260234,0.125
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,5761125.16576673,0.0
lsxp-ZheYiFeng-DingJunShan.xml_6,向前各各有赏犒，,5788544.558763329,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,5812073.578257636,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,5828337.529702288,0.125
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,5829010.928831381,0.125
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,5855480.283988367,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,5860613.259018848,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,5865179.69549928,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,5865320.271311334,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,5877468.049154851,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,5886905.0822180025,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,5902270.337871906,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,5925714.521998327,0.125
lseh-YiLunMing-ZhuoFangCao-1.xml_8,一家人倶丧在宝剑之（喏）下，,5943670.684156945,0.125
lsxp-WeiCengKai-QiYuanBao.xml_5,贩卖绸缎转还乡。,5959686.823997495,0.0
lsxp-WeiCengKai-QiYuanBao.xml_3,姓刘名安字世昌。,5966769.660486584,0.125
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,5969320.239104114,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,5972093.918872245,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,5975727.771701596,0.125
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,5980492.99819815,0.125
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,5993388.67703415,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,5994520.795816029,0.0
lsxp-ZouYingLong-DaYanSong.xml_7,站立在殿角用目来观定，,6008715.997763756,0.125
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,6020300.841457178,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,6028459.0582505185,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,6085731.756597263,0.125
lseh-YiLunMing-ZhuoFangCao-1.xml_16,我只说贼是个宽宏量大，,6098028.2877764655,0.25
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,6100438.879486145,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,6115400.4770927,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,6137286.2280398905,0.125
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,6207501.847884103,0.125
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,6211431.36535067,0.125
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,6241748.233949481,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,6242741.637521499,0.0
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,6243423.414513206,0.125
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,6255681.153025099,0.125
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,6280427.708029232,0.0
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,6285102.774541782,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,6285696.416209527,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,6292182.708437741,0.125
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,6307138.252844466,0.25
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,6312047.9419852095,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,6317446.256981934,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,6364563.068018744,0.125
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,6379527.333879618,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,6400269.487834431,0.125
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,6409529.848394944,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,6425399.6274293065,0.125
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,6437842.319226741,0.0
lseh-YangYanZhao-PengBei.xml_3,又只见老爹爹瞌睡沉沉。,6459002.684567591,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,6472721.053118724,0.125
lseh-YangYanZhao-PengBei.xml_5,又恐怕惊动了年迈之人。,6486205.5858232025,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,6502621.975055359,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,6511776.587153574,0.25
lseh-YiLunMing-ZhuoFangCao-2.xml_5,杀猪沽酒款待与他。,6518072.829452966,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,6518965.035911596,0.125
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,6518965.035911596,0.125
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,6563855.568840385,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,6576487.665302659,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,6608752.760768129,0.125
lsxp-TingTaYan-ZhuoFangCao-2.xml_1,背转身自埋怨我自（呃）已做差。,6614686.15295913,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_1,背转身只埋怨我自（呃）己作差，,6614686.15295913,0.0
lseh-XiRiLi-BaoLianDeng.xml_12,为父的怎比得孤竹君，,6630833.108464087,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,6650687.03454315,0.125
sdxp-SuLongWei-WuJiaPo.xml_11,好一个贞节王宝钏，,6667759.138428064,0.0
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,6694121.043985016,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,6700922.298674545,0.125
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,6712735.132746211,0.125
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,6721314.523419352,0.0
lsxp-ZouYingLong-DaYanSong.xml_2,那一日打从大街进，,6725950.036751897,0.125
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,6737105.784407478,0.125
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,6751441.950707311,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_11,不舍娇儿难救孤身。,6769625.665302007,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,6770897.2718185065,0.0
lseh-ZiNaRi-HongYangDong.xml_6,老军报他二人在洪洋（呃）洞丧（呃）命，,6781172.660004931,0.125
lsxp-WoZhuYe-ZhuiHanXin.xml_2,怀王也曾把旨降，,6784510.989266226,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,6794729.681120242,0.125
lseh-XuMaoGong-QinQiongFaPei.xml_5,其中必有这巧（哇）妙高。,6799380.309579576,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_0,此时间不可闹笑话，,6833567.983273127,0.125
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,6839018.885625037,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,6883602.273123948,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,6900354.637583845,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,6908002.392463237,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,6908002.392463237,0.125
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,6913792.8085616,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,6936545.279878893,0.125
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,6940854.861944264,0.0
lsxp-ZouYingLong-DaYanSong.xml_10,他本是我朝中上欺天子下压臣谋朝篡位卖国的奸贼他名叫严嵩，,6971222.434711513,0.125
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,6981302.018260456,0.125
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,6987681.961053461,0.0
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,6993871.482830249,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,7003100.001739259,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,7004714.620124483,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,7008840.033530689,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,7009456.1046719635,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,7021564.76059236,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,7033048.143164084,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,7038971.37318661,0.125
lseh-YiLunMing-WenZhaoGuan-2.xml_4,幸遇那东皋公行方便，,7055607.213785328,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,7057748.189056855,0.125
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,7061813.578357522,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,7068701.0234214235,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,7079019.838738458,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,7087080.04197033,0.125
lsxp-JiangShenEr-SanJiaDian.xml_2,一不是响马与贼寇，,7099841.689074244,0.125
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,7100016.68366028,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,7137735.382277438,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,7148156.787399995,0.125
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,7170687.024947005,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,7185008.835369575,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,7226336.088616153,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,7228645.516115165,0.125
lseh-YiLunMing-ZhuoFangSuDian.xml_3,悔不该随他人到吕家。,7234395.786563686,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,7246177.515807145,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,7254343.729163849,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,7255886.059263904,0.125
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,7255886.059263904,0.125
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,7308291.610262065,0.125
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,7309355.227591829,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,7322833.133606914,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,7333686.227343885,0.0
