莫不是平地风波起,9,莫不是平地风波起，
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,9897053.5853913035,0.0
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,9917097.1400345117,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,9947977.3260703199,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,9965054.063396072,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,9999925.9359356128,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,10051416.414927917,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,10070111.98103291,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,10080036.348404212,0.125
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,10131603.770449715,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,10223717.394610226,0.125
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,10265778.820060633,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,10281511.724817587,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,10315937.846275667,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,10320919.700438332,0.25
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,10329369.216739506,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,10340930.882093856,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,10376100.077217272,0.125
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,10388839.679493174,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,10406886.97499148,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,10413128.606547337,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,10476693.355541734,0.125
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,10504605.583176577,0.125
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,10524783.841699839,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,10531058.470055563,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,10561090.640282022,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,10608712.44897322,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,10615092.124151548,0.125
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,10662358.863258654,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,10740512.254946269,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,10765564.12024644,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,10767333.934631372,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,10931982.423270835,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,10935062.80868388,0.25
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,10938405.766812554,0.125
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,10942156.021110432,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,10989556.68589562,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,11084313.196669471,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,11143105.083825901,0.0
danbz-KanDaWang-BaWangBieJi.xml_1,我这里出帐外且散愁情。,11167256.112751173,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,11195897.781749742,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,11312395.431027047,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,11387991.939579707,0.125
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,11400026.85571361,0.125
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,11422563.38853039,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,11474284.733632809,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,11523316.40111856,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,11561810.416921914,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,11613425.303740956,0.0
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,11656188.002662638,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,11765801.992270885,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,11778875.02280331,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,11801077.213705108,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,11808944.494800165,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,11832299.041178087,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,11851454.929432765,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,11864767.120040819,0.125
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,11868463.110431343,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,11918622.383310806,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,11923477.889725953,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,11929008.994964182,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,11934553.002982249,0.125
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,11981507.328507638,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,11982484.170898559,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,12020681.206242278,0.125
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,12023431.3480205,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,12074792.846240573,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,12086981.812682252,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,12087157.164217331,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,12098754.192622278,0.125
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,12143711.412972795,0.375
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,12167773.938228184,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,12176550.890626466,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,12184105.859492291,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,12203406.443114242,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,12236611.363940256,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,12282140.458575891,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,12301659.311735164,0.0
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,12307318.677551344,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,12353020.582127631,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,12386975.895649392,0.125
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,12448594.371689312,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,12453067.449976856,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,12463201.542699346,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,12493586.673608938,0.125
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,12507747.376723226,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,12514384.623727981,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,12564027.128165904,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,12565381.397720253,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,12567906.480379829,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,12582681.792024238,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,12593192.601580551,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,12597028.402780868,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,12611806.859172262,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,12629516.884857703,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,12636940.860679299,0.125
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,12689604.246397015,0.125
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,12703576.644389275,0.375
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,12761839.370320091,0.125
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,12769094.027916178,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,12782180.180593139,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,12800378.295220871,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,12821687.981667358,0.375
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,12840080.929693285,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,12856400.446129724,0.125
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,12866315.0920894,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,12873892.035646284,0.125
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,12879258.024654604,0.0
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,12883121.927852891,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,12908576.847808627,0.0
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,12919341.978190707,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,12966133.450604703,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,13044348.621394528,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,13045805.980111238,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,13073029.445952736,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,13091493.68292179,0.125
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,13106103.720694613,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,13258711.047611382,0.125
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,13320837.138826506,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,13326518.644209681,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,13365302.467525607,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,13406836.421943722,0.125
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,13419827.674831316,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,13429606.607986929,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,13433863.028657135,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,13448191.877969272,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,13462403.052268714,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,13464709.22403859,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,13484777.446327195,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,13554934.424004139,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,13556729.68388582,0.125
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,13640152.78528079,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,13640443.72920901,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,13674096.90458497,0.25
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,13680741.307297889,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,13709222.064737903,0.125
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,13752875.82155342,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,13799138.522692883,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,13825479.108607819,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,13863944.306546587,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,13966297.659117833,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,13979854.080176583,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,14008762.177169044,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,14042506.829967488,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,14044555.012531558,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,14108900.618513644,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,14134628.014564995,0.125
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,14145685.977678269,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,14149347.238852082,0.125
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,14156093.017202826,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,14164129.647399012,0.125
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,14196006.859577205,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,14228122.23168543,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,14296765.694032013,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,14338526.563389437,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,14369375.026080219,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,14410503.625477869,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,14413901.6814886,0.125
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,14464544.000479905,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,14503276.907129198,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,14616607.679704659,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,14675114.922494266,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,14701409.478164122,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,14716929.057332151,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,14740831.556413723,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,14802263.203385545,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,14832100.878864232,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,14837487.207181022,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,14926756.086939497,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,14941284.05515427,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,14971706.889920073,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,14984034.203666937,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,15004855.644995384,0.0
