轻移步走向前荒郊站定,0,轻移步走向前荒郊站定，
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,5041324.8867483474,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,5044949.6267269198,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,5050693.974154029,0.2
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,5052603.5986594483,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,5068615.7313829046,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,5074735.8513732292,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,5091660.1893554451,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,5105633.9995091567,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,5114206.2357950788,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,5117067.4134424515,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,5118138.0009878427,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,5180006.6912444504,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,5194807.2220486039,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,5220896.905644008,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,5225101.2481623553,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,5226313.3967469931,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,5241277.7454321291,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,5259108.0819686558,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,5277020.0439750599,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,5283679.3310728949,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,5296051.9959407654,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,5299361.6994289132,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,5305016.8988933982,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,5311799.8890208462,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,5332063.358099441,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,5333262.2934535444,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,5342277.2176276259,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,5375816.7306669923,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,5383095.7948345337,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,5383095.7948345337,0.1
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,5387024.1924884515,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,5388182.751187087,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,5400072.0624525994,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,5421945.6613300191,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,5446276.8916522991,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,5446598.9151699608,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,5453033.2515518172,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,5499889.3360656621,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,5514892.5892959088,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,5522319.060991534,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,5529193.9527629521,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,5564502.3705602018,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,5570138.9615694871,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,5570356.1600637492,0.1
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,5574737.1822879063,0.0
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,5581945.659861465,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,5593943.110755018,0.0
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,5595179.3014715808,0.0
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,5610327.9559075013,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,5629309.2275867173,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,5668986.235643914,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,5673786.8907920383,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,5683920.8734160401,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,5691419.0755650112,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,5691419.0755650112,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,5739146.2852961235,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,5753903.4682520963,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,5754060.4706785288,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,5756363.2042594785,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,5777747.3010819573,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,5781810.2202277649,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,5799792.3973011607,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,5828607.8115136074,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,5834116.62479515,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,5835319.6381915268,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,5841128.5122798262,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,5886748.4926818218,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,5936262.1019487558,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,5942654.6460844968,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,5948486.9212239608,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,5970126.4115915252,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,5973931.1555153476,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,5983374.2952251323,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,5990166.8835212607,0.1
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,6010622.9094494078,0.3
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,6030513.3331364235,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,6043475.1892146328,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,6044746.6153645013,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,6049222.0326024508,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,6052831.7390847681,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,6075051.1055991296,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,6087252.5642311294,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,6099353.0892561655,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,6100174.0835175617,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,6103243.9991094051,0.0
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,6106061.8913800307,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,6116257.3388700141,0.1
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,6133697.5539446259,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,6137345.781176053,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,6145505.6873963261,0.0
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,6146483.8298293827,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,6153547.5352066513,0.1
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,6156581.4154809313,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,6161684.9178831307,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,6168268.4851250192,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,6175153.9851341527,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,6178610.9273713334,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,6182449.4748589844,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,6232760.6449832441,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,6234154.5629509706,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,6251511.1755576059,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,6277825.4246638939,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,6280316.0079829153,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,6295258.7281227736,0.0
daxp-ZhiJianTa-WangJiangTing.xml_6,低下头心生计，,6339520.8047657823,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,6350057.3340083025,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,6366400.0055355262,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,6395082.2921013748,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,6401691.5429492034,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,6405971.7584040174,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,6427898.7343243314,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,6453250.716043883,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,6469050.1946923919,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,6474718.6569055459,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,6477279.456983461,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,6478923.9432340944,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,6483442.1015785933,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,6495205.4797656024,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,6510501.4938096264,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,6513670.7656917628,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,6517648.6073044697,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,6520011.5602247892,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,6528254.6848940449,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,6541158.0937826158,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,6546775.3865203271,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,6548696.1500731045,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,6550785.0890241554,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,6557533.3198122596,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,6584474.4595139073,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,6591073.066091042,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,6598080.0691693677,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,6599594.8526511183,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,6611523.3476166567,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,6621743.1437600795,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,6628301.6824741112,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,6632231.9204119677,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,6670731.0660019889,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,6676600.13399434,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,6685611.5240430646,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,6687982.0377229759,0.0
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,6730833.297803035,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,6737909.0119106499,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,6741072.4401628394,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,6753034.9280226259,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,6758941.4534462346,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,6760190.3824498085,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,6797768.5569189237,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,6801783.5872151824,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,6804032.3443382559,0.0
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,6806714.5513222702,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,6810594.6615059758,0.0
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,6833741.2681891406,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,6847627.8461240074,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,6861436.0633915672,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,6906419.0372639531,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,6912636.503562456,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,6915136.9499260616,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,6933793.7401852217,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,6935194.4777789079,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,6935194.4777789079,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,6942087.0763569577,0.1
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,6949850.8413442858,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,6952754.6682837177,0.1
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,6954039.8009551559,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,6956943.7177688638,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,6958807.8852537451,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,6970960.847520682,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,6978538.8814895954,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,6998491.8759835521,0.0
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,6999760.336138363,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,7042096.1312530618,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,7050754.7600413105,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,7061601.897953934,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,7074472.1869546343,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,7077005.5504738074,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,7078732.1161097782,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,7079584.5059524169,0.1
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,7097753.6708968645,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,7097753.6708968645,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,7104425.553369429,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,7115735.4107260983,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,7120574.8153842958,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,7147594.4571712753,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,7169632.3158700345,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,7172360.483086789,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,7182162.0293304306,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,7184700.8706935644,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,7184794.6241515726,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,7185000.8648059703,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,7226451.9161138823,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,7243843.9747182326,0.0
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,7250885.8181148227,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,7252537.1522212336,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,7256837.7685040552,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,7266400.2137826532,0.1
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,7266853.769074711,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,7268913.5590417525,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,7274091.5015666354,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,7290668.9562968416,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,7291484.2909562523,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,7291665.9421038292,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,7304635.1036753999,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,7328530.6674192594,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,7328816.1027340861,0.1
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,7341800.0585011523,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,7344099.839038007,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,7359639.0746359043,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,7374946.5637438893,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,7388494.7177816415,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,7390797.9268574249,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,7433158.2310260702,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,7434667.4417788498,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,7446692.4485375797,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,7481317.8926097555,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,7507564.3574356185,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,7509872.8075642958,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,7516278.3669234198,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,7527434.6616601441,0.1
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,7531637.7685314007,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,7548689.9665274248,0.1
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,7593057.5112836706,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,7593752.4021027163,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,7604057.2952383319,0.0
