岀二堂 深施礼,40,出二堂深施礼，
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,5674382.6598192099,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,5713819.4542904142,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,5754759.4002922419,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,5780095.5048135035,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,5780727.4132742882,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,5828290.1596667888,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,5847127.2203314882,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,5850853.2159526963,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,5878213.0193142425,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,5889715.8698507687,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,5908636.4691897584,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,5935266.5087027634,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,5995436.6623172825,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,5996137.4702398572,0.0
daxp-ZhiJianTa-WangJiangTing.xml_8,出二堂深施礼，,6008586.340955087,0.7142857142857143
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,6024057.1867478611,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,6164541.6083729984,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,6166025.9389122929,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,6224752.235084923,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,6226269.1248540077,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,6230772.5927522546,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,6241702.2359762629,0.0
daxp-ZhiJianTa-WangJiangTing.xml_6,低下头心生计，,6263248.815485877,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,6281178.5375631358,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,6298411.1453277832,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,6311983.8848238494,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,6325902.7210970782,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,6348035.1183514558,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,6411577.2738264436,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,6412565.7906091996,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,6418521.5434503211,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,6442277.7229818683,0.0
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,6546876.1442289138,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,6565814.5322150812,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,6567144.0955587812,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,6633018.7503421623,0.0
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,6654507.2718857061,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,6656398.2803842239,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,6696185.4396179421,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,6846338.7322055288,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,6868452.7940990804,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,6898864.3597569736,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,6924409.2120530568,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,6963960.1599912271,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,6984210.2685734062,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,6989282.2415694073,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,7034817.6274533607,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,7046285.5725885695,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,7062440.1057477584,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,7076473.6806506468,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,7081751.5800960753,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,7094153.8701127516,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,7100272.4579947013,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,7118029.2665013326,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,7118785.0610035323,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,7120495.0752117587,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,7130655.8977203444,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,7141451.9913421823,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,7161710.1282243421,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,7171680.8963606805,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,7172510.6144244522,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,7203670.7591308476,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,7205904.760869679,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,7212959.6072946573,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,7264559.1821780456,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,7268501.5627636826,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,7271824.2181999236,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,7401554.3134356495,0.14285714285714285
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,7412605.3551853439,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,7424472.0032851854,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,7461791.9776645508,0.0
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,7493798.7323022392,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,7532341.0402440736,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,7542545.4620583616,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,7546440.3379688282,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,7556320.5163081652,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,7566885.5561854588,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,7573146.2010862036,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,7588416.8256508606,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,7593102.3150449889,0.0
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,7598985.1011636797,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,7612722.8557300912,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,7632562.2961711716,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,7642692.3959305119,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,7665298.8375403676,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,7675042.6241228962,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,7678559.9414803563,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,7682827.7834009305,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,7684632.8547468921,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,7711209.8572528819,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,7730089.7321254229,0.0
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,7733483.7716874611,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,7756096.0638683336,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,7773751.1529176403,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,7781439.6692810347,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,7798706.3096927544,0.0
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,7829917.7050132835,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,7833621.2331558112,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,7887549.6516408008,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,7889141.9934730381,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,7892369.7868003687,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,7945954.6997471908,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,7945954.6997471908,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,7960392.5329183182,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,7971057.1632167911,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,7993078.2000211356,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,7993316.1102871681,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,8000496.996457045,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,8000496.996457045,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,8001849.609441041,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,8025179.4386380557,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,8065214.716346073,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,8068063.0734519651,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,8074822.3992687147,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,8127895.0785824331,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,8140141.0692542149,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,8181245.6585873272,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,8196829.3205515184,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,8206320.9509527925,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,8209608.2027624445,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,8211106.6775140679,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,8235975.5039553447,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,8262788.0293399505,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,8282741.7967381179,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,8293419.9482486313,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,8305484.2537707807,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_1,算当初曾经得几晌温存。,8306100.6522033224,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,8308702.0466664098,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,8310945.5434329715,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,8311363.0996817974,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,8322590.1569939749,0.14285714285714285
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,8329091.3689618465,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,8344356.4463575371,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,8349838.8853093022,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,8354071.8349029282,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,8369392.3666987801,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,8375968.0704924222,0.0
daxp-ZhiJianTa-WangJiangTing.xml_2,何人来把书信寄？,8383859.0024491595,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,8392986.432981208,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,8398883.6837446205,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,8431486.1328277141,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,8441921.9439558443,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,8457776.0590432398,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,8484980.9674287811,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,8532994.0687021185,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,8536913.7206520401,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,8562833.7128159516,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,8594505.7213128638,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,8596215.3396131042,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,8608271.8963325415,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,8609802.7483657654,0.14285714285714285
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,8630076.7892517429,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,8633891.1619316936,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,8641780.1526859514,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,8651792.1240121368,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,8683851.15860595,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,8734317.7717241328,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,8786812.4369031191,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,8787772.3878458682,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,8787927.1583795287,0.0
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,8815958.3780354857,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,8841761.6371054277,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,8843536.1910149194,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,8845277.9259260092,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,8893704.7637415528,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,8919819.8194813523,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,8974584.8655297756,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,8986631.080480326,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,8990500.3889589701,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,9009186.6991596427,0.0
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,9034994.8159085922,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,9049627.7960936669,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,9062526.9991973266,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,9075706.8313801214,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,9080228.9608008824,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,9080228.9608008824,0.0
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,9086531.5087172408,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,9096521.77059016,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,9115804.8480057288,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,9135607.912671946,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,9139340.4134931434,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,9149652.4928824864,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,9166745.691540366,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,9201823.6301516704,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,9254762.6349135991,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,9275843.1615090147,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,9281209.0164110083,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,9286065.9983729832,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,9289736.0122556016,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,9325148.3604141511,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,9354297.0842718165,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,9364905.4933044203,0.14285714285714285
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,9370256.9803765863,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,9405595.2104626205,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,9425704.4943420365,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,9437479.587485956,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,9450823.1182597447,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,9470131.4165250454,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,9477777.5954083465,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,9480433.3613136858,0.0
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,9480433.3613136858,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,9496284.8893777877,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,9508162.1636088919,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,9518930.3902153969,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,9552271.1191140618,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,9557028.9258982837,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,9558639.3809761666,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,9590182.2339204904,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,9590691.8582002949,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,9597879.1711056549,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,9607320.0774633531,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,9628652.373287566,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,9637612.6429241169,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,9651014.6182677615,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,9676953.7079949118,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,9676953.7079949118,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,9678180.3114412129,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,9684613.6101845764,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,9709064.4235379938,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,9718434.8876343351,0.14285714285714285
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,9757102.3508706987,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,9760320.0943794809,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,9779090.0666301996,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,9861491.4483646564,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,9876622.0379473865,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,9902333.3864807021,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,9904517.8116533123,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,9914453.049304191,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,9942843.8876008894,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,9999594.5029945951,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,10014986.559906852,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,10017205.012169626,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,10026892.699026177,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,10028048.590142671,0.0
danbz-KanDaWang-BaWangBieJi.xml_1,我这里出帐外且散愁情。,10031909.038006997,0.0
