为避狂徒到此间,0,为避狂徒到此间。
danbz-BeiJiuChan-ChunGuiMeng.xml_4,原来是不耐烦已经睡困，,6994647.0166867385,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,7033396.1183677036,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,7035308.942674824,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,7052865.189295534,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,7109689.9540477935,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,7151927.5821179692,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,7168620.4980121357,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,7192034.6615113411,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,7208939.433684608,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,7214333.4293377381,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,7215475.9380612969,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,7219010.1161765279,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,7225301.3858401952,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,7235425.0635442166,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,7282508.1465169378,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,7293825.3663957901,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,7300541.047602796,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,7301752.4805980492,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,7311015.2529112324,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,7434806.2496548109,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,7436630.1649741987,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,7463450.3476297725,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,7468335.7207544958,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,7499790.91658,0.0
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,7518919.0349264676,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,7603583.7938263174,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,7605739.433025986,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,7608329.3766562967,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,7621218.2911706995,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,7638741.7270243447,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,7655183.1593079595,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,7663173.5418033106,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,7669786.7323825881,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,7676928.6808685102,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,7679186.1913433261,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,7680629.2061588028,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,7685753.3260979168,0.14285714285714285
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,7686083.8103055842,0.0
daxp-ZhiJianTa-WangJiangTing.xml_8,出二堂深施礼，,7686614.2547124121,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,7709482.8634556923,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,7750632.2760749757,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,7756670.8809818244,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,7766647.100145245,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,7770960.8817618834,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,7776463.4231571034,0.0
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,7776792.9191020578,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,7783240.8577322466,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,7785897.368921265,0.14285714285714285
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,7813696.2715911604,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,7814788.1703421269,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,7827272.6725192554,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,7859131.5380607061,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,7893572.0821798369,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,7943647.4423505953,0.0
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,7960086.0317107001,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,7965124.6874815524,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,7982975.4243597537,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,8060451.174453835,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,8061685.1670682877,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,8112479.1185295014,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,8119968.2393455049,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,8138485.278369477,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,8154134.6447387878,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,8161954.0597331068,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,8217472.3876273725,0.0
daxp-ZhiJianTa-WangJiangTing.xml_6,低下头心生计，,8228878.3732308047,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,8278478.091690992,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,8286580.8101434056,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,8329257.8556002788,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,8377102.6598524982,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,8382051.7062298963,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,8394983.6968875341,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,8400963.98663597,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,8413244.3743611258,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,8425630.2393244654,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,8431277.7399734184,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,8447326.0719780698,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,8451179.5075327586,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,8452846.8055610117,0.2857142857142857
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,8456840.2948061675,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,8458087.261737315,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,8503133.4510399941,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,8530522.3059828132,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,8543133.9521995056,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,8556965.232861178,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,8589171.2804577127,0.0
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,8593063.9933509883,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,8601742.5813810714,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,8609640.4822704587,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,8633832.6090480499,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,8651463.7978001554,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,8652283.2235489991,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,8662608.8143648487,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,8667282.6816494539,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,8672526.4736840706,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,8788167.9996026084,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,8802571.3181473166,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,8897150.7778142318,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,8903304.3598468471,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,8906129.7502890993,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,8908677.3336851355,0.14285714285714285
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,8911292.3387722671,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,8924150.0381572843,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,8932975.347230766,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,8943663.8420258425,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,8953051.7741943207,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,8963253.262532847,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,8992713.8010478076,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,9009193.6732094362,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,9020527.6236219238,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,9023334.2042618953,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,9046919.7444630917,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,9053553.6830483358,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,9122798.3315288741,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,9175222.4498922601,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,9197500.0491727944,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,9200800.5343439505,0.0
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,9210647.387377182,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,9215446.935342757,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,9241710.3292236384,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,9248916.9072766211,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,9264320.6821153611,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,9265493.0542272944,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,9278966.427403884,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,9308884.6531923767,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,9315080.4714039266,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,9337709.6766681038,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,9380318.7379866727,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,9404860.3561538626,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,9412792.1300897207,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,9415999.0191473085,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,9424973.5224254876,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,9462626.4422181789,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,9469836.1506372541,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,9482024.178881431,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,9490074.6196946427,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,9513155.6296526622,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,9516909.2156513575,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,9521565.9510759041,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,9536953.2274935693,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,9556533.0954669435,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,9619919.5911180247,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,9636213.7899632007,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,9654733.7257121839,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,9664538.7112127058,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,9674589.9433048517,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,9681313.2861442342,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,9710255.6005677264,0.0
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,9727242.1382854711,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,9772346.1027231142,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,9775790.7893152963,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,9801807.945516726,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,9812065.3434780277,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,9823458.6887010839,0.14285714285714285
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,9825716.4040528238,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,9837293.4901274741,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,9853624.6134835612,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,9867035.2203845158,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,9901331.769629579,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,9938075.3600600287,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,9946131.029901946,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,9952542.268672714,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,9965103.1895864271,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,9979380.6615694817,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,9979403.1733616088,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,10002144.22202733,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,10068160.751768876,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,10090210.418666471,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,10103252.290146915,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,10127455.225015769,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,10145465.866941825,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_34,寻短（哪）哎见爹娘（兀）！,10169816.808665177,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,10172887.528860994,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,10202826.470734723,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,10202826.470734723,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,10207921.146908086,0.14285714285714285
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,10229396.453468421,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,10246836.567649329,0.2857142857142857
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,10252218.418728042,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,10262633.953114169,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,10264812.924282338,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,10285332.92855023,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,10329648.571739167,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,10352019.123060288,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,10355885.999274986,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,10375280.174458789,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,10396339.474384438,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,10397926.630064569,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,10409286.155837746,0.0
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,10417090.499089224,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,10426072.233368598,0.0
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,10448632.85297098,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,10482801.175669214,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,10503308.896755774,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,10506689.711823305,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,10507145.900014207,0.0
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,10543593.862303799,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,10561583.050771043,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,10618802.3300659,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,10638152.694558181,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,10645223.258391362,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,10652463.76994279,0.0
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,10682196.907163739,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,10721291.540544026,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,10749893.86189338,0.14285714285714285
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,10755214.248658614,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,10791213.817445964,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,10799410.454388564,0.0
