我一剑能挡百万的兵,0,我一剑能挡百万兵。
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,4696933.2253483003,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,4700740.1782177063,0.1111111111111111
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,4738338.2865202241,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,4760306.3853271864,0.1111111111111111
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,4802354.1706911959,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,4835492.8361970689,0.1111111111111111
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,4854880.057856977,0.1111111111111111
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,4867188.3624247555,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,4871811.1702063158,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,4876621.5031377776,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,4884466.3155618673,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,4911698.9523003539,0.1111111111111111
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,4935082.1853889804,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,4942336.9825269412,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,4948022.5372005068,0.2222222222222222
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,4975618.499315056,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,5019366.9946629573,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,5060296.3639372848,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,5094020.4622528926,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,5104614.5210946547,0.2222222222222222
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,5126884.9168555588,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,5139306.6597903157,0.1111111111111111
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,5145766.739208593,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,5161219.2805217197,0.2222222222222222
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,5192137.2201201404,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,5202454.1771120969,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,5239371.2073731823,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,5245542.2790788179,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,5248696.4248306025,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,5255623.2127536926,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,5294540.7106308062,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,5313024.3327202043,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,5355068.496093492,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,5385537.5938602295,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,5394315.728919521,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,5490162.0686338348,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,5493026.6478863358,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,5500734.8542729178,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,5506539.2073789407,0.1111111111111111
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,5511448.3910295293,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,5525662.6979807559,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,5526114.066103789,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,5526965.5038532047,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,5582941.5911544627,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,5598638.2367457496,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,5617102.6129522156,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,5617102.6129522156,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,5652773.1046018554,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,5656545.8028909154,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,5667459.5061160466,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,5674419.5275383554,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,5688431.4508408224,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,5706106.7097115554,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,5730111.490778177,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,5731890.7492923606,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,5745506.2692695446,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,5747202.3934350833,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,5778656.7286685845,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,5807266.1831469676,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,5817330.6229877351,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,5818190.2066911533,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,5825962.2107142312,0.1111111111111111
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,5834781.0544439061,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,5848421.0116905952,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,5875454.37407766,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,5897592.4294292079,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,5901468.8437365461,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,5901692.5115552889,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,5909990.0711124828,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,5921897.9622727623,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,5942341.9347543316,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,5957085.5403140849,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,5990794.9704606859,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,6006440.7545804698,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,6006802.6159562515,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,6011677.7974457359,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,6026696.5651250863,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,6027430.1084455894,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,6037478.91783782,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,6048624.2641066201,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,6051988.2647120282,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,6053785.2561048614,0.1111111111111111
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,6068568.0629540179,0.2222222222222222
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,6089006.9328385349,0.1111111111111111
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,6095958.4103474729,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,6138331.1034766557,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,6179377.0442873091,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,6185810.6835250054,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,6223577.2961513903,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,6229163.7363376375,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,6260887.7529651206,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,6278002.2604979128,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,6290205.829900803,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,6297107.0494575752,0.2222222222222222
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,6309350.4064876745,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,6310421.4857909326,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,6354292.8502681451,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,6360611.1602305137,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,6366449.087451023,0.1111111111111111
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,6368399.1274687406,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,6392302.3730459958,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,6410837.6460693227,0.1111111111111111
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,6412815.3042010954,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,6431786.3609223571,0.1111111111111111
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,6439142.8224116731,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,6462293.2104034424,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,6463156.0210637292,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,6468100.6111515528,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,6485302.1154052196,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,6502668.4091923237,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,6503715.7677114997,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,6507092.4695593584,0.2222222222222222
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,6517740.9500719961,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,6552066.4964866452,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,6569009.7053946611,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,6582998.8766146712,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,6600946.0931732208,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,6639269.9278141269,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,6650809.9531546002,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,6659886.3035463169,0.1111111111111111
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,6692937.8786975741,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,6696609.3517806726,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,6723998.2821122287,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,6763549.3663001051,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,6768486.7831432996,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,6779295.8459598655,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,6807702.5800216524,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,6823208.7943521943,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,6832031.6406454062,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,6863908.0071982136,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,6864855.2890377883,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,6876138.2008501384,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,6879601.4458577512,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,6886302.0284855925,0.1111111111111111
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,6887291.1536152195,0.1111111111111111
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,6895511.3497489588,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,6907978.8852972798,0.2222222222222222
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,6932323.7578641018,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,6933687.6891279966,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,6943255.7468192428,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,6961442.2792787915,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,6963511.5259305499,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,6995120.9211395262,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,7046534.4030766264,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,7060542.6829106621,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,7076095.7958421167,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,7086379.2564557893,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,7101830.5212160395,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,7144864.5958208311,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,7160509.7762770373,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,7167051.3504089443,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,7209222.2839237833,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,7209407.1698344694,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,7212605.5758892354,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,7219364.0559496032,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,7223497.4450766854,0.1111111111111111
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,7228795.7946954481,0.1111111111111111
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,7247533.0677855927,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,7306000.1290449286,0.1111111111111111
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,7340767.3544209534,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,7372253.1052614991,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,7372370.3294472769,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,7394540.4275325648,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,7400095.4740432249,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,7433630.6495075691,0.1111111111111111
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,7447898.9879383966,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,7467638.143021943,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,7477668.5406602668,0.1111111111111111
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,7518492.8256537132,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,7542507.5765792672,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,7545031.1708644424,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,7554827.3694635257,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,7556554.9084114302,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,7587144.6573772505,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,7590248.6604324114,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,7620074.7099493947,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,7621035.9977883771,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,7650131.7879870655,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,7654453.8034940409,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,7657410.8817247851,0.2222222222222222
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,7657410.8817247851,0.1111111111111111
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,7698093.1144418698,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,7699355.9310300536,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,7738027.9875245914,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,7739137.3435821496,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,7749886.4821232045,0.1111111111111111
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,7776490.7770559695,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,7779360.6557838796,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,7783133.6354635982,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,7817857.7893983833,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,7840016.5306519382,0.1111111111111111
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,7868431.1300875777,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,7891262.8018486332,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,7893344.7037558965,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,7922375.1076433863,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,7927908.9326537019,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,8001317.9375770269,0.1111111111111111
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,8004247.4839195739,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,8033519.0565850781,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,8052981.4725379106,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,8071183.6889132783,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,8092683.2552786823,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,8104359.9335682122,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,8134106.5181095209,0.2222222222222222
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,8180501.6441037152,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,8184189.2745303763,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,8187051.8016264047,0.2222222222222222
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,8204175.709109853,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,8236787.9083381817,0.2222222222222222
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,8242086.5528601352,0.1111111111111111
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,8250533.3341126777,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,8254487.9497943213,0.2222222222222222
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,8274989.9353110353,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,8283620.0618653372,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,8293107.9843544234,0.1111111111111111
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,8295332.2287871428,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,8297421.2566002682,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,8304006.1794305146,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,8312105.5772586847,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,8322528.6218455201,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,8337271.4414054463,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,8366389.3339389237,0.2222222222222222
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,8369797.5906799519,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,8413170.6832978465,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,8422201.8154307045,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,8443503.8723615408,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,8462496.2315413579,0.1111111111111111
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,8464822.741264455,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,8486309.3582143988,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,8501128.6687751077,0.2222222222222222
