白鹦鹉与仙鸟在灵岩神岘上下飞翔,0,白鹦鹉与仙鸟在灵岩神岘上下飞翔；
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,6899300.0920595899,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,6908666.3587687723,0.06666666666666667
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,6920364.9152822485,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,6947576.9507353781,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,6949860.2810632205,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,6980016.6949562533,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,6996899.2673564618,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,7049284.4235428851,0.0
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,7050864.0346217491,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,7099931.3273443021,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,7106974.9235438695,0.06666666666666667
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,7167219.7704407601,0.06666666666666667
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,7188330.2186295325,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,7225430.8356875964,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,7234127.0378293237,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,7287255.4238407649,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,7326459.4906463986,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,7342834.5240845745,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,7342834.5240845745,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,7343788.1209500106,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,7345862.5433753021,0.06666666666666667
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,7374890.5527214389,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,7380832.6549200816,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,7386382.3147144634,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,7408787.0431266874,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,7409822.2812239034,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,7453024.4993101107,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,7483782.6825408144,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,7486676.2719420446,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,7486964.3363681268,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,7490543.4955272097,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,7490543.4955272097,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,7502691.0907430379,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,7540553.1746386271,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,7547197.2452643635,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,7547469.7396113351,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,7557547.735131857,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,7589301.2855460215,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,7600460.8021941502,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,7626718.1176041644,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,7628501.6861284915,0.06666666666666667
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,7639761.1054753223,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,7643327.8511599321,0.06666666666666667
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,7658260.8084788304,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,7672394.690022001,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,7672948.3336312901,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,7687493.568618183,0.06666666666666667
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,7697341.5474208789,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,7710204.1880963845,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,7715861.8553471435,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,7729245.0574657694,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,7739952.840450461,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,7830340.8414244531,0.06666666666666667
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,7842393.1336312667,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,7846914.5506002493,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,7850836.2324721683,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,7858655.5830911277,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,7865979.2137860376,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,7870606.6159012346,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,7885187.5167855415,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,7887528.6569040203,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,7912708.0606625834,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,7915489.2968548443,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,7920302.9935399806,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,7931280.1671206234,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,7992491.6919224896,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,8005159.5931169484,0.06666666666666667
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,8043534.8869439699,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,8061895.0076551531,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,8077511.3877462773,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,8089037.6310615763,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,8098207.4457546631,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,8102634.7443466987,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,8115479.4855650654,0.06666666666666667
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,8119181.124123726,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,8142243.9416695302,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,8147430.7308254326,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,8152225.8998706937,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,8157954.0564101366,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,8187323.2693175767,0.06666666666666667
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,8194794.8161372729,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,8195005.8523433637,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,8211788.5286233155,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,8246985.1616920261,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,8266383.050168558,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,8286155.0437513813,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,8287838.4468951756,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,8302417.5549734775,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,8319916.6542043928,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,8331717.8141929163,0.06666666666666667
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,8335390.101931328,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,8343758.6267951634,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,8356013.316789371,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,8358204.5521943038,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,8384938.4759282405,0.06666666666666667
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,8386646.4076091778,0.06666666666666667
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,8386684.7612824487,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,8426122.2679108232,0.13333333333333333
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,8429677.3237666227,0.06666666666666667
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,8432697.2447746918,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,8432830.1033599358,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,8454425.3726225756,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,8474038.0057855938,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,8475919.9707301538,0.06666666666666667
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,8485677.8911455199,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,8486166.4084462207,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,8490996.160999015,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,8501908.0316381529,0.06666666666666667
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,8507061.3415909298,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,8508913.3141806386,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,8513547.5288710948,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,8532698.753080843,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,8546157.9815077316,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,8605993.1131106094,0.0
daxp-ZhiJianTa-WangJiangTing.xml_8,出二堂深施礼，,8608960.0444471482,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,8612811.9546503853,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,8615105.1906744912,0.0
daxp-ZhiJianTa-WangJiangTing.xml_6,低下头心生计，,8615151.8981040902,0.06666666666666667
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,8622560.0509947035,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,8622560.0509947035,0.06666666666666667
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,8640759.6405631956,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,8640759.6405631956,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,8655369.9100506771,0.06666666666666667
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,8675814.3728347309,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,8685313.6855232418,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,8718269.8744179178,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,8738515.9006238058,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,8743718.5511508975,0.06666666666666667
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,8746941.2607632987,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,8747247.0129898489,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,8753036.5469811112,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,8759629.8076065183,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,8763728.3780805059,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,8775305.022571506,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,8776508.8381059021,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,8786620.8176785652,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,8811209.1824483145,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,8818835.1535175294,0.06666666666666667
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,8851590.1084722634,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,8854655.7662432883,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,8856658.6416802388,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,8869903.0965603124,0.06666666666666667
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,8891508.4486992192,0.0
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,8893775.8421381786,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,8940670.6493563652,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,8945744.5138456915,0.06666666666666667
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,8998588.4542573001,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,9012844.5946469381,0.0
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,9019120.4909495357,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,9022326.5398755334,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,9052362.1763307285,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,9057523.2421948705,0.06666666666666667
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,9059870.7068469003,0.06666666666666667
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,9064228.6909629274,0.06666666666666667
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,9092744.7667959407,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,9106852.4170008879,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,9146815.7891900223,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,9147560.9085584339,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,9156599.0459823553,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,9179463.0766605511,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,9195632.6964734606,0.06666666666666667
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,9195985.2589331251,0.0
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,9230890.5629323926,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,9233332.9234492779,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,9249782.5515436176,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,9253556.3664499242,0.06666666666666667
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,9266847.8737585228,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,9272386.6476942468,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,9275833.337440718,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,9278160.472381264,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,9331631.7813059427,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,9353925.1038895696,0.0
daspd-DuShouKong-WangJiangTing.xml_3,为避狂徒到此间。,9363415.7093312368,0.0
daxp-GuanShiYin-TianNvSanHua.xml_4,绿柳枝酒甘露三千界上，,9364750.1645336542,0.06666666666666667
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,9366725.1174808387,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,9380308.9946228713,0.06666666666666667
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,9380965.3317034822,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,9422893.9321828987,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,9435065.5908657406,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,9458727.5484625846,0.0
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,9470099.3616839889,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,9500069.0246820077,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,9506595.568652004,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,9538504.6155579835,0.06666666666666667
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,9549786.4417245109,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,9554234.1136702616,0.06666666666666667
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,9596052.0862288345,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,9608727.9364374876,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,9624544.889517691,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,9624573.6542334165,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,9629984.0179367233,0.06666666666666667
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,9640208.1177090798,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,9645382.1584138162,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,9660593.3673074618,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,9704149.2460329384,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,9708375.6072956249,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,9730616.2112209573,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,9740010.6111790203,0.06666666666666667
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,9753492.2636292763,0.0
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,9767046.4011087697,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,9779858.3974496573,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,9805232.863754699,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,9806843.9380431511,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,9823748.850649571,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,9831524.0749380887,0.06666666666666667
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,9849898.8980733957,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,9857161.7963848505,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,9863369.9658071492,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,9868057.576536648,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,9907490.0277611464,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,9909194.1300707404,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,9929805.9649435859,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,9952951.7107669991,0.06666666666666667
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,9963013.5236912649,0.0
