想必是新婚度鹊桥,0,想必是新婚渡鹊桥，
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,6015880.3308717869,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,6021618.5661251666,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,6027754.9939941252,0.0
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,6041325.5848870277,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,6055762.6435766341,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,6065985.4573809644,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,6071534.3535460997,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,6087004.4583274852,0.125
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,6136688.1402652189,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,6142746.9817838278,0.125
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,6158446.2844801452,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,6159480.715613463,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,6160138.2376042325,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,6190432.2058913028,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,6190464.5396861322,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,6247567.9443762191,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,6258667.9514752915,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,6282468.348375462,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,6287503.410224569,0.0
daxp-ZhiJianTa-WangJiangTing.xml_8,出二堂深施礼，,6301587.2605333086,0.0
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,6343825.829573296,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,6354070.1944045098,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,6372562.6706596827,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,6390201.8235713206,0.125
danbz-BeiJiuChan-ChunGuiMeng.xml_4,原来是不耐烦已经睡困，,6405984.785104204,0.125
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,6417033.0171546657,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,6426685.1117335521,0.125
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,6432068.832373146,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,6438092.9047916299,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,6447276.0121789202,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,6459874.1659319168,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,6491043.6206023721,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,6497921.9338848302,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,6517054.1991347065,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,6523685.1837501405,0.0
daxp-ZhiJianTa-WangJiangTing.xml_6,低下头心生计，,6545946.9696707306,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,6550563.1688151592,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,6553422.2444804022,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,6599841.665923113,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,6600285.3669704841,0.125
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,6637461.46474401,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,6733864.0469583338,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,6735227.6007954264,0.125
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,6737683.6331842877,0.125
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,6742704.546976517,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,6747409.7031968618,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,6779944.034026715,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,6798857.5571061829,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,6821881.8907987913,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,6826234.1208178475,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,6834194.5249242922,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,6836681.0478505874,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,6890367.4758928819,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,6917263.7588132489,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,6924711.1691862512,0.0
daxp-ZhiJianTa-WangJiangTing.xml_4,莫不是平地风波起，,6925492.4423090443,0.125
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,6954806.4329167297,0.125
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,6956705.0364169488,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,6964975.3796956642,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,6980572.2620848035,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,7020327.1875885678,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,7021568.2025942421,0.125
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,7030006.4173156908,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,7094943.4291825555,0.125
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,7115330.7805868769,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,7119841.2862520926,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,7148955.9626859492,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,7160370.3370232759,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,7197855.7788401283,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,7198067.4492236469,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,7203508.8313668296,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,7218013.5931776101,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,7218266.2179802135,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,7219477.2176818233,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,7224296.52678701,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,7297331.3219921356,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,7339864.8933939505,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,7388740.1251895325,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,7389671.7503599068,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,7397918.6140544275,0.125
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,7406561.8292420795,0.0
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,7436974.7529224688,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,7440703.2985560969,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,7446401.6732669268,0.125
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,7452833.9695558352,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,7467413.7930410244,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,7475245.0143157979,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,7479808.7972698398,0.0
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,7479808.7972698398,0.125
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,7495415.1767111951,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,7523309.3491921797,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,7530347.6689997194,0.125
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,7550751.7110157572,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,7555195.127156049,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,7555195.127156049,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,7607686.7135183234,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,7617255.5864564339,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,7617752.8113301564,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,7647032.3611643584,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,7662007.986923568,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,7681663.933549488,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,7683540.5605111849,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,7690665.4424194572,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,7721944.4712398052,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,7728562.5745237237,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,7738705.2005221872,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,7758259.0253046444,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,7775452.4952432001,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,7781110.9562880741,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,7804117.1739642369,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,7813965.7063549748,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,7832251.639442632,0.125
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,7844570.9114655089,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,7865405.956748521,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,7872745.4528127518,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,7885752.1855101427,0.0
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,7902148.2042516433,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,7924160.0446531111,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,7926808.4606155502,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,7935965.6625185572,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,7952452.8230972569,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,8055618.3189299647,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,8078990.3521000911,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,8083681.0539842788,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,8105912.5264305258,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,8108951.2093017558,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,8140304.908730234,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,8155701.7315648682,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,8176776.6018253611,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,8184850.3481767429,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,8192307.4883566042,0.0
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,8195258.560955626,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,8218828.3236318463,0.0
daxp-JiaoZhangSheng-HongNiang.xml_4,这也算是一段风流佳话，,8239461.8147093933,0.125
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,8263370.0974446749,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,8266727.9595672023,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,8269832.0452155359,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,8274376.6482703555,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,8283701.7810528129,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,8288181.1730282437,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,8291542.1479916172,0.125
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,8313456.3584160982,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,8321636.7701104702,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,8335302.3772329837,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,8338895.2343981657,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,8342574.8258386413,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,8358942.9490171457,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,8363209.6129853912,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,8369662.4069668232,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,8377162.2932883361,0.0
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,8392087.554289395,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,8424161.6123427134,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,8436308.9968725089,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,8442507.5055164546,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,8488521.4479890093,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,8501135.0955995433,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,8517660.5914667733,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,8519725.061271254,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,8524079.5225211158,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,8537025.1286934633,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,8543822.759906074,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,8570809.1752642021,0.0
daxp-ZhiJianTa-WangJiangTing.xml_2,何人来把书信寄？,8578919.6450230367,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,8587240.557841517,0.0
