敌血飞溅石榴裙,0,敌血飞溅石榴裙。
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,4922549.9479445936,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,4923005.2697142977,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,5001334.1911718827,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,5005608.0315302713,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,5028313.4925589953,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,5032943.3103775633,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,5067522.2256249022,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,5087833.2232675795,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,5118502.5258612074,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,5122157.6397235226,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,5197108.1913456265,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,5238362.2512622336,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,5249854.6385833696,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,5253540.0393547677,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,5269276.8401933657,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,5288886.8896582853,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,5300300.4554398274,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,5328270.6649536174,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,5347403.874557008,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,5361008.0622240985,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,5385962.0835731169,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,5388161.5597246652,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,5388692.7496339502,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,5389435.5471492875,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,5400318.8674760833,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,5402833.9942228403,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,5417215.3406377696,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,5425153.5331012411,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,5425153.5331012411,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,5427533.0270310286,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,5443936.9665428735,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,5530348.1544237873,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,5536533.3000530265,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,5551098.1410963973,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,5562027.7011124976,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,5578291.2710097227,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,5601863.4622725518,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,5602211.4151060041,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,5641087.7142651388,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,5679813.6585209612,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,5715095.9757920355,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,5725208.6638316223,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,5729261.5514358347,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,5745970.128271821,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,5756904.3089391645,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,5802077.019436446,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,5806158.1462695161,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,5811545.0411451189,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,5818319.9281354863,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,5827914.4127009055,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,5830198.600658685,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,5861255.1864296924,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,5876644.4153346512,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,5889810.2568883048,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,5913654.6706936359,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,5964243.2791912248,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,5983558.9894424193,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,6022640.7694703219,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,6029184.4618899049,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,6031686.5927677294,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,6087314.2222542446,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,6100126.8202344738,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,6108928.7627785113,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,6227569.5296167759,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,6244356.0999361891,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,6252430.0473136948,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,6275494.4200021271,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,6284299.3956215773,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,6291762.2015427062,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,6295017.7583736414,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,6295493.4933642577,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,6300066.7700763512,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,6354402.8212140203,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,6362736.0792246973,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,6371857.4277858799,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,6391205.3871562332,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,6392479.0053886706,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,6404260.0422670813,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,6422428.7724293089,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,6425039.6151410565,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,6431081.1212706286,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,6486108.1569909388,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,6505928.6960594412,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,6516508.460678366,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,6535845.6433254741,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,6540305.1852513431,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,6540305.1852513431,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,6541698.2057351256,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,6590333.5500526316,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,6611709.6649752306,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,6652637.1752443127,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,6659188.7319413973,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,6746961.261559749,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,6753748.4049059376,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,6785952.7717305105,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,6791648.3490580963,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,6794369.654547601,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,6802799.5510499412,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,6863745.1945995213,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,6879032.2002947303,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,6879614.3147587702,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,6904186.9283792628,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,6943176.5493289856,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,6982007.1175712254,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,7029484.7769846562,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,7029955.3524050293,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,7045451.125860936,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,7052299.0191240134,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,7064005.8484931132,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,7095004.523635,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,7100310.0559788998,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,7149254.4352424266,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,7159855.1322862068,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,7228240.3538976507,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,7260920.4672133476,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,7262844.6585196843,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,7291936.0807867208,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,7320683.7801653966,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,7341284.2054386614,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,7343774.3059351258,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,7346396.5234350804,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,7348170.9291706216,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,7370464.4104897054,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,7406489.8498721123,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,7414207.1329313749,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,7427396.5222430974,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,7444116.9923211168,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,7446747.0848829448,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,7456244.6031005532,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,7464751.1718616327,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,7473931.8744604923,0.0
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,7479311.8953073835,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,7500482.5923265135,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,7500688.8288983507,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,7521126.2207699362,0.0
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,7522941.81547888,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,7569349.3962498493,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,7593134.4175304919,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,7596077.2309721466,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,7615395.7144967811,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,7641801.6999687124,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,7642591.1851852601,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,7644014.0731965201,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,7649434.4049784569,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,7656775.4350042129,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,7691462.927749359,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,7720829.082970595,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,7722035.4376751687,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,7731014.2774767494,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,7738292.5490179239,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,7739286.25794286,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,7766252.9031668138,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,7797735.8650989365,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,7803138.4545864295,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,7826960.2541118758,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,7829039.2291046465,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,7836318.8356019994,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,7838851.7301372234,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,7844917.6298326533,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,7855758.3605130035,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,7861398.0776519794,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,7870714.5695361486,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,7879028.4094994478,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,7887921.3282548217,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,7889311.8585635042,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,7911606.3110084003,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,7912109.1685498292,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,7934501.4881913951,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,7946747.4648037255,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,7962316.6153475074,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,7967243.5505384365,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,7976674.1694949437,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,7977863.9922870826,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,7990048.8160152799,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,8003336.6895609777,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,8012185.7258700486,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,8018009.7548952093,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,8018764.9178073136,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,8092138.0760345431,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,8099015.9156287666,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,8126390.8671400137,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,8143113.6005567359,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,8155698.390741894,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,8157879.6402286915,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,8173758.9677193686,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,8179390.1232402027,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,8182946.1174582047,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,8187475.3955217842,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,8216478.7506691236,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,8220747.8835635493,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,8223223.638662423,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,8256476.7692301068,0.0
