番王小丑何足论,5,番王小丑何足论，
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,5809212.7812836999,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,5816705.4248575028,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,5875308.0833203038,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,5878787.5108527197,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,5902627.9656802202,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,5958739.6141541013,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,5984307.3833007868,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,6000046.1365390522,0.14285714285714285
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,6010125.3871520646,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,6012019.9900879087,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,6074153.4173004888,0.14285714285714285
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,6216620.1974823466,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,6367267.8714430965,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,6403614.7555749072,0.14285714285714285
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,6429401.0870052334,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,6437197.1486145603,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,6443411.6058041519,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,6518367.306120594,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,6593117.5007779608,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,6594797.5663219262,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,6608563.557463591,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,6621480.9814156424,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,6656268.1154095856,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,6673886.1049782671,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,6707508.3992672311,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,6756036.3442247361,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,6780582.6182303317,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,6781215.4786338033,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,6788217.5071084825,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,6802112.9047943354,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,6813327.0910880966,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,6815265.8152590012,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,6824798.0365067255,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,6827492.2417750759,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,6827492.2417750759,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,6857715.7130712103,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,6861529.8121432085,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,6890063.8065233696,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,6897351.2321323706,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,6899351.3750098767,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,6919621.0271148346,0.14285714285714285
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,6933830.1938543431,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,6944924.7424705457,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,6948839.9003714537,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,6955800.7342402842,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,7000244.5217834851,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,7011788.0888189403,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,7049038.2517443057,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,7103997.0079997983,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,7143905.3143374966,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,7176317.989367241,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,7177225.3741092486,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,7203242.0306829782,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,7232200.5726168193,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,7241440.6368400715,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,7256117.7471616333,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,7291715.301409441,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,7343594.2795240916,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,7361171.0488489149,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,7377579.2783176526,0.14285714285714285
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,7380528.9209975693,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,7381099.5863416512,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,7389012.0484689055,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,7399988.5427532438,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,7403021.3256853661,0.14285714285714285
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,7407990.3864418026,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,7414179.5518125109,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,7428243.9953047438,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,7472675.3898807531,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,7476826.1587012103,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,7517884.869082706,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,7533804.3209678335,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,7546052.8281595614,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,7565092.9283692045,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,7593683.6208806699,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,7649058.3390054498,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,7668694.0372344581,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,7742988.1704187309,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,7757885.314335811,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,7785181.9561208403,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,7790640.4752636226,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,7815698.1614354849,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,7842055.1912243189,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,7900508.7079143925,0.14285714285714285
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,7903331.2630707808,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,7927997.8020267738,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,7935227.2701873677,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,7989911.3138557225,0.14285714285714285
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,8042914.2720451755,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,8058998.2959997198,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,8075022.7361021684,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,8083427.9426650628,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,8103873.7742148619,0.14285714285714285
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,8111171.7037039036,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,8158079.4603904309,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,8161007.1299326895,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,8213119.7568155928,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,8213119.7568155928,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,8223195.155687944,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,8259390.1837204741,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,8277376.4458212228,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,8277837.744189946,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,8290809.1688313093,0.14285714285714285
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,8308662.5977435485,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,8376084.26823954,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,8380269.567760339,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,8399110.1194135826,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,8405378.1806691121,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,8445179.0461398121,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,8465034.9915751517,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,8480649.8075330574,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,8520257.8746697549,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,8575143.4452887569,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,8576055.3796791974,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,8593655.0461829398,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,8617747.4151099492,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,8632500.2121580616,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,8634709.8412775602,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,8637209.3757631648,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,8637209.3757631648,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,8742990.184979545,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,8777720.515096575,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,8778799.2843414918,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,8784833.8232594822,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,8797781.9335657191,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,8843353.1118636671,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,8861141.0685678404,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,8870231.8622189965,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,8900484.3947343472,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,8910268.1471447032,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,8921468.5052138306,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,8927594.8091441635,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,8968413.5881066471,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,8997232.0356686581,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,8999162.911684053,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,9009974.6685896982,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,9025769.7843291052,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,9041630.9125536699,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,9060362.2600445896,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,9102163.8385392409,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,9139290.781346146,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,9156407.7019496281,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,9176884.4103542548,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,9206397.0070755556,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,9225619.3539201524,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,9251829.446676949,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,9287701.3227566034,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,9328349.6614450291,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,9355374.0935120098,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,9368381.5931552202,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,9372442.1028662287,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,9399193.0199212693,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,9416755.7577580884,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,9421382.0573270563,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,9429260.8350707348,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,9443780.4735984243,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,9479185.1599430982,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,9491302.5220289752,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,9506636.5262015555,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,9507052.2893202156,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,9514440.9769757316,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,9570503.5173580498,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,9590865.898936579,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,9632924.4982980657,0.0
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,9634831.7779303342,0.14285714285714285
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,9651248.4153330885,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,9656134.0470638052,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,9708388.5883224607,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,9721193.0084053557,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,9721321.2981376741,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,9727285.8146687374,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,9745858.9810583554,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,9782233.9093925264,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,9798769.982830042,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,9829100.5361225605,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,9849160.4651392102,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,9861784.3560447041,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,9886291.7251373697,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,9894507.9573341869,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,9980665.1222958919,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,10000736.472139668,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,10039163.995457487,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,10043874.485879844,0.0
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,10064230.260935437,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,10082582.689363727,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,10087976.673720922,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,10099514.488508148,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,10120835.985602407,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,10129117.250369458,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,10143002.118200272,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,10218786.273445299,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,10223366.642421952,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,10228628.968524419,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,10252888.789230432,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,10262397.387819793,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,10270426.206601484,0.0
