长吁短叹语声低,0,长吁短叹语声低。
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,9825076.7648334894,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,9834905.1256656796,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,9869766.0786412358,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,9884894.0270924214,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,9885077.5904741306,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,9898399.8378820531,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,9898846.4340857361,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,9912401.4467582498,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,9980703.9657158386,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,10017494.815884518,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,10036068.877759546,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,10041152.615994463,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,10048559.968137266,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,10052922.368794678,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,10088969.043555064,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,10133637.476217454,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,10159775.106457159,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,10188582.269033363,0.0
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,10223062.387289077,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,10229451.744192751,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,10325689.985016253,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,10325692.176607497,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,10337125.424178159,0.0
daxp-ZhiJianTa-WangJiangTing.xml_4,莫不是平地风波起，,10340121.608815176,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,10373467.973370736,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,10396373.742714161,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,10414267.942194315,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,10419555.254146636,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,10467066.142464705,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,10480211.822248295,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,10534100.550477603,0.14285714285714285
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,10551943.505592577,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,10557468.958108509,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,10574808.500575772,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,10579628.817433603,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,10588767.173878493,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,10605545.782097157,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,10630247.203203695,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,10634049.317270016,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,10636341.895552173,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,10648005.016363228,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,10654707.96844786,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,10670209.847212108,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,10676798.476408333,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,10682125.440894092,0.14285714285714285
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,10733737.037465416,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,10746952.931753671,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,10766013.479335058,0.14285714285714285
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,10835314.090618847,0.0
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,10910785.066936444,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,10923625.442280708,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,10931192.16012359,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,10948581.417473042,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,10957135.421555182,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,10992049.952314593,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,11023375.985471511,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,11036018.235098656,0.0
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,11043376.533333452,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,11065322.807188742,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,11081960.838575734,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,11083827.100430483,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,11096421.883300366,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,11114428.687958814,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,11116332.145512553,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,11117060.985444712,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,11123937.420501456,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,11130136.976180816,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,11161613.346153671,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,11183062.313784881,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,11185274.13991024,0.14285714285714285
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,11199811.932915965,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,11201849.459413595,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,11205605.230768472,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,11215833.182376981,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,11220586.056646908,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,11234791.914400712,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,11237632.424676867,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,11255302.217680421,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,11313128.212690448,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,11316218.378470309,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,11344196.855811812,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,11348437.933771702,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,11359071.626490103,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,11381452.737084245,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,11384019.079622805,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,11421303.513872933,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,11428318.578233942,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,11435647.402873414,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,11450248.908268083,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,11474772.619483767,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,11475179.445327695,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,11480366.643245056,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,11487937.176480053,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,11495323.612753417,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,11497029.846460752,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,11501027.986688117,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,11508939.456443634,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,11512216.419332627,0.0
