独守空帏暗长叹,0,独守空帏暗长叹，
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,5243974.2277588034,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,5248627.1978833191,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,5278207.3001135355,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,5291210.4975320706,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,5326536.3290625503,0.14285714285714285
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,5334690.3163539479,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,5335493.7127162311,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,5337871.8566683773,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,5339360.7610578742,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,5361568.711310368,0.14285714285714285
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,5368241.3307069279,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,5382818.6739536384,0.2857142857142857
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,5424287.7363614505,0.0
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,5431671.4272783734,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,5441982.8993286034,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,5448257.6444460228,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,5450690.7646667715,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,5452036.6859536171,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,5453490.1351708071,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,5461908.5398393888,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,5482444.6085362108,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,5483809.2855602726,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,5491718.080495446,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,5502991.1103509525,0.0
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,5510111.005251172,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,5519871.7336569084,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,5523384.784068929,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,5529696.3362311032,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,5555837.4567070398,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,5564635.6826321017,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,5566970.484772088,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,5571013.5105107455,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,5583315.0415783981,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,5589733.1025651079,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,5601025.8353936058,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,5625979.0588087598,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,5630359.7535857558,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,5631231.5441101193,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,5650886.4928079294,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,5663598.9983637175,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,5677401.7931022607,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,5711200.035058436,0.0
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,5711790.0666349046,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,5718175.0200933181,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,5722995.2168987012,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,5747644.470279404,0.0
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,5758436.831528441,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,5763819.0148087237,0.2857142857142857
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,5771454.5978835206,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,5803129.7174050659,0.0
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,5809612.2594198333,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,5814466.7237489419,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,5819141.2757365685,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,5828073.7725218302,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,5835236.042354065,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,5869104.5763244918,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,5881888.6966240341,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,5901873.441541411,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,5940935.2281989651,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,5944398.7129455116,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,5968792.5487999618,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,6017102.8270193134,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,6017886.8120572474,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,6030683.8241138076,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,6054976.588011655,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,6088697.7152196011,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,6088863.9230537815,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,6102779.823529508,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,6106074.8724829098,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,6107649.6745493943,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,6115661.8894002689,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,6127377.0445614206,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,6131900.1887202365,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,6136321.1262514433,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,6158105.6782528767,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,6160366.3555219676,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,6163866.9659966072,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,6269025.0404697433,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,6327603.2180525837,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,6401854.7255198453,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,6417099.9467968913,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,6452029.920665672,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,6464615.3227556646,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,6466906.3414480314,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,6468518.2396769961,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,6484925.5276060067,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,6490079.7250425303,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,6520871.999302892,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,6528101.6586565785,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,6532015.8680709405,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,6535152.5233347211,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,6550935.9185752785,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,6584676.5584753416,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,6615883.3751702765,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,6635204.8781820433,0.0
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,6650867.9667873299,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,6663038.6067003543,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,6674261.4829922579,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,6691167.7383910641,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,6691296.5990454964,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,6715360.5040714089,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,6726287.5415149946,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,6761760.9191954145,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,6773783.2610482518,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,6785643.7463771813,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,6802494.7652975963,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,6809150.4477329897,0.14285714285714285
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,6824976.668405233,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,6825144.5570765603,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,6826794.0351608684,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,6828931.7221756326,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,6875874.4473152179,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,6877830.7432510667,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,6884166.1068802178,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,6890157.3759991713,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,6901443.3320778683,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,6905768.1548988027,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,6905768.1548988027,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,6909539.9796955297,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,6916536.3912796769,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,6919053.4723747587,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,6927904.3016785178,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,6957458.7390258294,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,6965614.8739480916,0.2857142857142857
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,6967791.4230249943,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,6988459.8792627798,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,7005041.8372162255,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,7010317.4216550766,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,7019875.2642395925,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,7021487.4401792409,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,7046375.2061758814,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,7055726.6117576761,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,7073524.8272019047,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,7100917.8517363854,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,7107754.5112718977,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,7117391.606340331,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,7117466.7149853241,0.0
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,7149402.979032523,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,7156420.8555113403,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,7194457.3106446061,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,7236485.0777868908,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,7257055.9135327041,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,7272659.1386362892,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,7279303.0373735549,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,7309790.9871515092,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,7359305.2599610845,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,7382301.7793429857,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,7386419.1183991609,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,7387217.5648452565,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,7395621.1750688516,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,7418481.1980076889,0.14285714285714285
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,7428633.4111535996,0.0
daxp-ZheCaiShi-SuoLinNang.xml_0,这才是人生难预料，,7433239.4513289277,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,7456698.2716704402,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,7459232.3276282251,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,7473241.428522558,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,7492692.3144452162,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,7513976.2998150121,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,7514857.8538280837,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,7515893.5407748455,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,7534537.9746778179,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,7540985.9693778725,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,7546975.9407786801,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,7571463.791755503,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,7597414.5872621154,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,7603526.9868280776,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,7629169.3216405809,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,7635426.5199851012,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,7650658.2079512849,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,7663097.552338873,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,7663990.9746577274,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,7673221.3564114077,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,7683299.4613200072,0.0
