但愿得杨六郎心如石坚,0,但愿得杨六郎心如石坚。
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,6309490.6376635423,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,6315334.2251968225,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,6326744.4543921407,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,6367914.7322681481,0.1
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,6383309.7911296077,0.1
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,6403100.0597353363,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,6405323.8723410694,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,6423753.5930211842,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,6429855.8422397748,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,6437505.8340534838,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,6449594.6898516202,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,6464030.3934778972,0.1
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,6467949.0571802547,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,6488942.4274346707,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,6490286.7795782592,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,6502784.0311293807,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,6523712.5724990778,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,6525950.385802974,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,6568080.4582391055,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,6569706.2792009776,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,6591617.1649563583,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,6596325.1804375648,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,6614751.9942608867,0.1
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,6627266.3961714162,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,6653124.5363071263,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,6669590.0425422927,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,6673023.2935663573,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,6682642.9402637044,0.1
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,6683108.7783988034,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,6689872.986434184,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,6692073.3454403421,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,6692846.4417239251,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,6697756.0131095517,0.1
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,6706594.0813670512,0.1
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,6736154.4509823918,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,6741704.5182639621,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,6752350.2642252212,0.1
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,6840365.2917672209,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,6853107.3714807751,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,6863340.3144507119,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,6863340.3144507119,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,6866700.8661984801,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,6884175.2462640153,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,6914992.4441672182,0.3
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,6928580.0681329845,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,6934004.6069317088,0.0
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,6937150.4828664362,0.1
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,6948119.0303909807,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,6974021.558849996,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,6983206.1801720262,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,6989582.1654919814,0.1
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,6990593.2576448824,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,7002318.0484688096,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,7003610.5084653841,0.1
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,7004170.0342845256,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,7005487.9795456845,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,7023745.2343107415,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,7023745.2343107415,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,7030706.3245417122,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,7032575.624527242,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,7052335.3570066672,0.1
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,7079390.2255725786,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,7095837.637919249,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,7144663.9442733005,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,7164466.8946838574,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,7213328.8218817385,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,7215400.2417053394,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,7252379.6588640111,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,7325373.9798933752,0.1
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,7327500.694856789,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,7337282.3383172695,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,7362876.4115417004,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,7378886.869633141,0.2
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,7388440.0491704326,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,7421302.7928952901,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,7479583.0621522367,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,7509418.853008165,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,7512426.5594682507,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,7514569.2136839768,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,7529909.6251766523,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,7564480.3953411952,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,7570408.4455184573,0.1
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,7572295.2598503791,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,7577162.2612005724,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,7606517.8731996454,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,7611497.0680579608,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,7615444.7511499878,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,7645693.7293582205,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,7681369.9069277039,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,7698764.9085878646,0.0
daxp-ZhiJianTa-WangJiangTing.xml_8,出二堂深施礼，,7713632.4629019927,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,7714836.1663801167,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,7739209.1508774338,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,7740320.6469676308,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,7743734.6209119679,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,7761176.0462821098,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,7765234.1069806935,0.0
danbz-KanDaWang-BaWangBieJi.xml_1,我这里出帐外且散愁情。,7769642.5562889474,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,7770134.1177431243,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,7807828.1671322593,0.0
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,7809585.131753291,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,7860835.5171557367,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,7904662.9882689463,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,7918249.0031132139,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,7928441.460243335,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,7930934.1229484519,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,7954377.4820647025,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,7959216.3758318387,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,8010419.8149372889,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,8055264.6253725514,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,8092105.9485298796,0.1
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,8093421.8056594254,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,8097167.6065335358,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,8123425.1725644013,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,8152042.1459542867,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,8209061.9760194197,0.1
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,8229042.5640568081,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,8238524.8717212444,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,8242666.4093003524,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,8242865.8517430788,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,8245392.1286754264,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,8258869.8570178431,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,8267620.0384789193,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,8322954.3474404505,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,8324348.7678105189,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,8328515.3355013132,0.0
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,8330333.2460142653,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,8371251.8614639603,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,8384392.9766620845,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,8389140.3275928497,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,8402588.5295089409,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,8406194.5030118115,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,8421755.5040057078,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,8430420.3979742285,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,8447603.1261119209,0.1
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,8451095.1966010407,0.1
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,8476718.1327093933,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,8488606.2589010913,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,8504244.412702458,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,8524338.6693581343,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,8540274.1507339235,0.3
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,8540824.0715433713,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,8542702.4981773347,0.1
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,8576925.9986202288,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,8593366.6084505785,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,8599108.6995108314,0.1
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,8609302.0501912944,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,8631417.0499151219,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,8637729.3005105872,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,8641460.9809905104,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,8654678.7980454005,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,8655817.0906878058,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,8657351.1000739057,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,8683955.7500028163,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,8700918.8455486521,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,8716890.1377956625,0.1
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,8734586.2357338145,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,8750200.9364333916,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,8753386.9881485701,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,8765864.8884753566,0.1
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,8765864.8884753566,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,8781756.9422259592,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,8804121.0328739733,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,8804330.4118927699,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,8808584.8598045241,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,8828357.2038334459,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,8832140.5619216897,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,8833809.326558318,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,8844279.5340225399,0.1
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,8871863.9947370607,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,8872348.1141230054,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,8916632.340755498,0.1
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,8926593.5625276603,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,8926940.9531174749,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,8966399.4209935516,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,8976643.6525983866,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,8977478.0599513464,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,8999317.664511241,0.1
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,9015477.0700358246,0.1
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,9024136.4408682939,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,9027716.5746307094,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,9031300.1368007623,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,9032640.5677629467,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,9036046.1081804745,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,9062162.0328778829,0.2
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,9068330.7610452455,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,9072314.0235138647,0.1
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,9092303.2459155396,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,9104189.3771325797,0.0
daxp-GuanShiYin-TianNvSanHua.xml_4,绿柳枝酒甘露三千界上，,9110077.915671587,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,9119487.308135666,0.1
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,9132522.746276496,0.2
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,9143056.2273190022,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,9154478.2106446754,0.1
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,9177510.5404322166,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,9181552.8617930096,0.1
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,9185658.0880991537,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,9186645.1104700137,0.1
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,9188417.6233827882,0.0
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,9206499.4430188853,0.1
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,9224437.5811635628,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,9230854.8003144171,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,9236328.9881920312,0.0
daxp-ZhiJianTa-WangJiangTing.xml_4,莫不是平地风波起，,9237879.6157819424,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,9250303.1722193137,0.1
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,9250976.0308568776,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,9250976.0308568776,0.0
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,9253176.4190199301,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,9262552.3041712772,0.1
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,9268027.0762099717,0.0
