愿邦家从此后国泰民安,0,愿邦家从此后国泰民安。
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,7938416.2752952641,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,7960563.0441392427,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,7966812.4791417019,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,7973352.2188182417,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,7999073.7661372265,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,8012730.3977509513,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,8030612.0762567455,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,8048755.2134014079,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,8065941.4147697352,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,8090193.3616063278,0.2
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,8154740.3937981408,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,8160713.9233589806,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,8167774.9796814444,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,8168117.7353638243,0.8
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,8174220.0911768973,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,8182195.2841251362,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,8322860.1493689939,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,8330626.6341441004,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,8342061.2085627401,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,8390327.687011512,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,8398248.1731293853,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,8399583.1376477368,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,8411932.5518297739,0.1
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,8450202.100552801,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,8493135.1701705977,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,8510138.0651457757,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,8513457.1586782411,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,8519391.9479932785,0.1
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,8553348.6611452084,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,8557514.7753005754,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,8561539.9044314381,0.1
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,8591992.1764700916,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,8609976.5052739326,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,8610462.3173913956,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,8780042.9930296633,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,8834184.1920118593,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,8863765.7630224135,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,8875269.6600409504,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,8911910.3095952813,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,8937778.813448431,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,8992381.3435386196,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,9013549.7442822549,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,9079550.0117477216,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,9080101.2878785431,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,9100438.8265778236,0.1
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,9131611.4364929106,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,9147136.5060365442,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,9158046.6478756666,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,9160017.5050864834,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,9177392.4383696057,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,9218849.7403222881,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,9297927.0983364563,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,9383989.0345974769,0.1
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,9387187.940823894,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,9398354.5369529203,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,9439654.4599985834,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,9457299.2611765768,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,9459578.74439805,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,9477623.2359292097,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,9496433.6770356521,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,9529609.7789447457,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,9543049.8822556511,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,9550374.7571059763,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,9569445.3328676261,0.1
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,9582477.9887666069,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,9590439.0117091592,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,9672952.8274328224,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,9673895.1629308108,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,9701513.7762391604,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,9712383.2812547479,0.1
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,9754353.9673546162,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,9795653.1638869811,0.2
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,9856977.6772044059,0.1
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,9890441.9044074584,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,9900135.2101741601,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,9950775.5349258333,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,9951188.808604328,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,9951188.808604328,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,10015755.827172808,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,10024149.48614751,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,10048073.564763799,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,10091580.876474829,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,10125304.572833039,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,10127749.185110975,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,10136624.07849873,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,10185126.407359565,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,10214270.222993469,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,10229155.450981682,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,10245123.724640101,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,10270006.165433649,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,10298953.305631988,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,10316741.775390184,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,10323822.838704193,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,10341865.797249032,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,10415446.795987781,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,10415972.893053439,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,10420000.996575825,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,10421398.164445303,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,10424778.262909662,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,10499372.065922476,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,10517642.399994304,0.1
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,10517642.399994304,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,10527858.066950954,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,10567389.490371026,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,10617297.642959414,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,10653554.445636775,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,10690916.695557674,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,10772400.965037815,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,10775137.602272376,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,10808806.055518974,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,10817978.550309796,0.1
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,10850912.52823627,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,10999400.27630702,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,11000967.998091782,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,11014970.099085459,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,11021550.030882008,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,11021920.770905497,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,11031948.59953077,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,11044693.822442431,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,11053949.118234873,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,11059234.108432459,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,11126112.134033063,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,11153047.67796644,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,11162172.440509824,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,11211286.495359067,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,11223740.198847638,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,11266137.519138604,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,11282589.775366526,0.2
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,11322250.45473163,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,11342761.015652776,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,11353768.445987139,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,11368385.93514166,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,11413534.069416754,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,11420258.661042681,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,11434965.912143754,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,11459727.637645202,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,11534992.952566558,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,11546268.740388446,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,11547712.248065796,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,11591237.634537321,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,11595788.758872258,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,11616713.535500018,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,11624128.372605806,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,11674017.950611368,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,11681256.974123469,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,11681910.747688157,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,11695244.299031364,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,11709506.397222694,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,11724613.492267728,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,11727185.369604455,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,11742926.516572883,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,11749732.398819823,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,11775848.224959245,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,11813233.191690939,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,11867763.12957078,0.1
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,11873729.026981371,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,11880867.663305145,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,11897438.547528151,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,11933292.321388572,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,11999196.440633807,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,12003382.463762352,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,12006797.840553012,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,12064690.451339737,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,12100227.739913255,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,12103523.590638382,0.1
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,12153396.768001687,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,12157320.962938864,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,12232121.354164783,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,12274526.906214653,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,12285021.177242935,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,12346476.610042511,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,12357326.340128399,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,12362481.256124496,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,12377036.929418391,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,12419409.764948986,0.1
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,12471931.719213633,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,12472996.825090099,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,12493507.016756143,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,12539621.344095975,0.1
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,12545098.964136131,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,12568285.778087037,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,12580549.089803588,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,12589743.379684895,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,12600705.052571293,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,12609561.646123584,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,12629469.906327354,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,12658280.033116944,0.1
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,12693405.250253754,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,12696152.766221644,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,12748758.895024344,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,12751386.474757116,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,12751712.594402503,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,12769742.187143851,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,12812592.301494643,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,12829549.515727514,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,12857360.521312116,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,12869672.761761291,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,12871888.95629468,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,12872143.722941454,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,12933833.598481024,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,12986851.651377592,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,12991109.570503714,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,13043929.903537821,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,13074980.811331149,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,13082003.692127425,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,13114612.958941514,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,13132357.218528811,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,13212480.335315673,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,13245508.70783191,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,13256153.148779016,0.3
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,13311740.705848645,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,13322422.068750115,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,13331026.121489545,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,13355713.112084657,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,13384726.9832773,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,13399265.405409042,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,13424975.660231186,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,13641487.388330836,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,13651546.60508004,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,13685530.313247105,0.0
