有生之日责当尽,5,有生之日责当尽，
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,4118052.6981913666,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,4313066.7710574027,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,4363379.451407359,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,4398656.6314137252,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,4409090.1937243622,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,4409152.8153759893,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,4420302.333674741,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,4480674.2540851142,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,4480674.2540851142,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,4491624.0084959883,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,4530066.4821815342,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,4530402.3789664237,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,4645074.594086648,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,4651347.9066302823,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,4661936.3524434529,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,4667752.7354985038,0.14285714285714285
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,4701279.5425646864,0.14285714285714285
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,4720700.4099472258,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,4799408.9051495316,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,4834902.7790416609,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,4868276.285963865,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,4871065.6192864859,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,4895719.7106955769,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,4896625.4676618064,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,4902235.8105097013,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,4942655.4993491098,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,4974592.6544611314,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,4980262.8462401237,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,4995421.339456737,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,5015566.709081158,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,5025266.3640895924,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,5087563.0613698531,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,5105326.4633815717,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,5118374.5109048076,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,5192696.3135037376,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,5210767.7053258102,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,5238938.4487344464,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,5255686.4429693408,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,5269612.0452401852,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,5284456.7792297062,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,5288694.3289575242,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,5314345.7516893884,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,5315256.7838387247,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,5330686.1622124407,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,5349447.4663898591,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,5376982.3473074492,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,5383374.7289897557,0.14285714285714285
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,5459083.65366117,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,5470814.9703841126,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,5478961.8180648983,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,5493208.2361641787,0.14285714285714285
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,5495910.6617077384,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,5508814.5098433299,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,5536890.1417227332,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,5539159.9817176731,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,5565450.0684612002,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,5568624.1150398022,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,5575068.9440180594,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,5603138.2353371205,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,5609244.5340889171,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,5629149.6952268993,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,5637831.3771299003,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,5649088.7740434958,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,5662532.2751705423,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,5704745.1882777652,0.14285714285714285
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,5719520.9959555855,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,5727108.7854119902,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,5766756.9743794501,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,5798369.958248836,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,5804665.9174396638,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,5820866.5481467964,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,5861427.5379029755,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,5861719.9512508046,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,5864656.2444387702,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,5886492.7837557578,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,5887854.1097772857,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,5908222.4954053145,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,5916920.3889542585,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,5933565.745011298,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,5949489.1297466438,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,5949995.8766909475,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,6005128.4456905052,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,6009109.2932592947,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,6026025.1716952585,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,6042127.699174772,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,6046868.7205624646,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,6102299.1983944001,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,6113613.9430697644,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,6127253.491546331,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,6140501.33794362,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,6150893.2069467707,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,6151513.8578403844,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,6156849.9097143989,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,6157580.8697786657,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,6184029.4759135675,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,6195370.4424490258,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,6219108.1522866385,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,6238244.1444319142,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,6249936.4254662516,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,6252792.4388806848,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,6286940.2506721197,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,6298106.0873798281,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,6307366.7480721585,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,6332201.5609198557,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,6347159.7224513842,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,6363872.1470488058,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,6388327.1986996895,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,6400608.9235377721,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,6401577.9757225849,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,6418439.2661912069,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,6421497.2390676169,0.14285714285714285
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,6429384.4490993582,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,6430495.422279628,0.2857142857142857
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,6437125.9568445794,0.14285714285714285
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,6456688.2148604002,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,6472574.2844081977,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,6488924.2868778873,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,6494526.3393076351,0.14285714285714285
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,6500079.6007114481,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,6508197.6475641681,0.2857142857142857
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,6513286.6505973544,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,6538802.0402087551,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,6582611.5519850692,0.14285714285714285
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,6583555.493820074,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,6598782.1771766432,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,6603954.0555033032,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,6621950.6003248412,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,6673693.6870072568,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,6680418.6353849946,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,6683183.2923922678,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,6722690.5323531311,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,6745985.9690995263,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,6747298.4355418049,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,6752295.7401154544,0.2857142857142857
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,6765323.9573990442,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,6766115.8955230461,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,6788451.7806156501,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,6801013.4873452168,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,6807178.0940679628,0.14285714285714285
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,6838271.9562058747,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,6874462.7836242914,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,6936126.9259074023,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,6980672.9321245914,0.14285714285714285
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,6982378.2078846646,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,6989602.3106500134,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,7002177.858729071,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,7033375.7094439678,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,7039677.0317320302,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,7040719.5077985395,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,7056001.3173883883,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,7074495.6815293068,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,7089166.4791868441,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,7117668.7028997298,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,7119365.4918872388,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,7127058.9645528393,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,7136322.3687836882,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,7148885.0062385416,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,7180234.3810433168,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,7222597.2000687243,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,7232645.0460392619,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,7237833.6915712478,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,7243586.9956403077,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,7294145.0545059107,0.14285714285714285
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,7301235.8944316246,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,7317243.081254581,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,7333844.0838177921,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,7339887.4211878516,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,7357975.8373030731,0.14285714285714285
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,7362238.7623399645,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,7382194.7562734773,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,7485279.6300463602,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,7548328.2517414233,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,7572447.3413529806,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,7624547.6099632848,0.14285714285714285
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,7642361.0858615777,0.14285714285714285
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,7654722.8461487116,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,7685547.8017855538,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,7688418.374091085,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,7698376.8524421956,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,7766986.749377354,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,7784019.0147161009,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,7789689.7393141827,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,7854260.7319393149,0.14285714285714285
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,7895948.6362680597,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,7897573.9177485649,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,7920522.4835975077,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,7932370.3390826052,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,7947659.7172875023,0.14285714285714285
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,7992463.0835104436,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,8016645.205723064,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,8016645.205723064,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,8076646.8330955878,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,8108502.6506741317,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,8138802.384095245,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,8145553.5280900188,0.14285714285714285
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,8149612.6310074711,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,8160166.4326069588,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,8170052.3655415205,0.14285714285714285
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,8208288.6454416597,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,8225812.5245659752,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,8226894.4444606081,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,8226959.7255991772,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,8232116.6651460649,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,8244083.4387274384,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,8296690.3242454277,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,8353556.0731690731,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,8410874.8594494294,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,8422561.6321752891,0.0
