吉日良辰当欢笑,2,吉日良辰当欢笑，
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,8356043.6684573088,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,8390716.6848181933,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,8437469.8744243365,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,8468584.6431956291,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,8551057.4476377927,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,8575843.6982199103,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,8693597.2933087982,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,8929852.0710653793,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,8934806.9868408907,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,9015193.8956854194,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,9033802.6173156276,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,9057833.6265476327,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,9080159.0190114751,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,9184784.8709323648,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,9229564.8619388305,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,9257935.6131476182,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,9277525.1900805607,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,9337364.5919220857,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,9405081.0840640683,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,9406364.5136253498,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,9414497.8901416548,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,9460298.3609042577,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,9480222.8044161461,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,9507957.8513289038,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,9618989.971227061,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,9623480.9596740957,0.2857142857142857
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,9629395.8143873345,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,9653566.1702077147,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,9670504.4109795038,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,9708894.9915006347,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,9763910.0432327371,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,9765383.7540701684,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,9771800.1750656217,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,9773306.7867102027,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,9806404.4906855207,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,9828168.806316372,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,9878177.5301492494,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,9925613.5464920271,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,9929413.4614126422,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,9958289.359881172,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,9962774.9126303531,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,9964451.5261061247,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,9974634.3831948303,0.14285714285714285
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,9975712.5641418062,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,9989183.4141331259,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,10034755.267698377,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,10117924.975794138,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,10120020.860459326,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,10166665.261838224,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,10174769.517321801,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,10191484.591607541,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,10204643.413936971,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,10215829.163780097,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,10332250.535329785,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,10362698.385048853,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,10438448.524933048,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,10489357.793292129,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,10508500.928924188,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,10516104.464773649,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,10528125.605339,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,10528125.605339,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,10548519.640223091,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,10559875.832280679,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,10617137.534155181,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,10640746.177631445,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,10646237.496172858,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,10651906.824506598,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,10678323.560349671,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,10680685.631246375,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,10683029.582367152,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,10686389.307610326,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,10691570.822820466,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,10723429.316344254,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,10805041.597712809,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,10927544.630739395,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,10948418.574670376,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,10964970.46181885,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,10970600.185876666,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,11006303.318556355,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,11007836.811411949,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,11110305.094639571,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,11136606.567786794,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,11196924.049461974,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,11224282.05431949,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,11228303.155738536,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,11362835.135965096,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,11385042.060400151,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,11421139.891305471,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,11473267.536796628,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,11507365.325477656,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,11525410.517972616,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,11535060.954872925,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,11627423.90376823,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,11630641.713945173,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,11630641.713945173,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,11649717.435427802,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,11688822.755413653,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,11694919.730234234,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,11718552.138205295,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,11724124.709380597,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,11727459.868436674,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,11755713.554805325,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,11767119.102043875,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,11770391.573471211,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,11796826.808146115,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,11804657.261554377,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,11960838.180308064,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,11963920.343938168,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,11997134.608550081,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,12003001.832177183,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,12009330.577281669,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,12012188.347187227,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,12022914.395103499,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,12025628.130679484,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,12083534.908470403,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,12118512.087446403,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,12212949.35225266,0.14285714285714285
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,12323763.340770753,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,12337662.704408735,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,12358279.02873032,0.2857142857142857
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,12361239.299826507,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,12363279.953244345,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,12394276.555181669,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,12424802.84016576,0.14285714285714285
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,12526954.649920683,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,12532474.168865129,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,12543073.385280279,0.14285714285714285
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,12651125.68365732,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,12744956.314183511,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,12758471.517030071,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,12774446.310269706,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,12815085.445597211,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,12815563.779580731,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,12837029.690999649,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,12876061.941568904,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,12911957.325552175,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,12958000.139636865,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,13029400.615966177,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,13045450.438964965,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,13144351.554903841,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,13219974.599833811,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,13296578.065782936,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,13321913.761999151,0.14285714285714285
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,13361107.859799409,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,13378294.067145422,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,13385492.109423753,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,13417283.790412055,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,13435691.365545243,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,13457266.288095903,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,13474274.299605735,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,13509277.205543445,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,13570600.472229889,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,13583220.99676553,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,13583220.99676553,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,13595634.639994059,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,13632805.630728653,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,13685707.472344123,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,13751513.181451028,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,13798845.873712925,0.14285714285714285
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,13901477.350836881,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,13958456.79245168,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,14127275.51505208,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,14213770.813092198,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,14247156.106983243,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,14261135.214881187,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,14360556.525535922,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,14428950.954284107,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,14450825.331473742,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,14518660.983484549,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,14593406.909767698,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,14637820.698539225,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,14655844.867830388,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,14702445.74155606,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,14731416.229113787,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,14745815.319068223,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,14787407.167498337,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,14987323.121193619,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,15063450.008841241,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,15074205.929615535,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,15192733.075055107,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,15206030.030981356,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,15211732.817105701,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,15241348.050574753,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,15289715.619225802,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,15406376.657946512,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,15415658.555773942,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,15432616.939114958,0.0
