百姓们闺房乐如花美眷,0,百姓们闺房乐如花美眷，
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,6214729.9327630242,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,6225148.3206096115,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,6320087.0778580178,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,6339562.7481238646,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,6346388.4258474791,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,6349539.9309294214,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,6379972.2364141131,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,6387283.8485429967,0.1
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,6476123.4490851732,0.1
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,6481521.6230682684,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,6482258.0176463248,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,6496382.7105140891,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,6497275.8448930942,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,6498615.3407400018,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,6501750.2831485718,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,6553850.9735449525,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,6554873.8824604452,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,6558009.0067869863,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,6558009.0067869863,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,6569589.9161244081,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,6579128.8715894883,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,6693030.2098965654,0.1
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,6717417.0181805547,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,6725546.4976015063,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,6728874.1959547177,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,6738893.4291062551,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,6758563.0928459112,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,6758563.0928459112,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,6782476.2336121034,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,6838227.0994211771,0.1
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,6843300.8381745378,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,6847066.8080211636,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,6906943.8950151186,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,6978022.2361194761,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,7006501.1452152962,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,7038712.4553419929,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,7043171.4830244426,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,7060255.9393041618,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,7158388.9437186588,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,7171481.831335498,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,7245051.3252143031,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,7262557.5520241763,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,7295860.7109144526,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,7299177.540880017,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,7317873.1949120853,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,7351825.205983148,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,7386774.0960343508,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,7422213.1744313594,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,7427247.0263254652,0.1
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,7431916.8159716651,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,7435394.8884015922,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,7577525.7106378358,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,7623870.2166834688,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,7626694.4922944605,0.1
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,7643803.3195410976,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,7672025.3672426306,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,7689218.8018967779,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,7694701.1288847169,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,7698083.0875461409,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,7702199.1335923849,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,7704581.3963567354,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,7706015.1927142618,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,7710909.7561018309,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,7725458.3415807988,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,7738430.3819989804,0.1
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,7795921.3639874505,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,7805618.9170425711,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,7853699.4951632675,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,7861490.8085644711,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,7866512.6474190634,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,7876861.8114583576,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,7888384.8372647511,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,7890508.7974732202,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,7918116.3841143791,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,7918357.8249736624,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,7953481.543939461,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,7956233.6837945804,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,7956718.926395271,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,7965101.8765024338,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,7978188.5791530171,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,7991196.5580173228,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,8000303.8914375911,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,8127215.2598824361,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,8127965.1745248586,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,8136270.7910700599,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,8152967.5009838697,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,8214823.4928152673,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,8223426.2496430892,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,8228465.2937134281,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,8237355.9954477353,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,8289818.2826820388,0.1
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,8378594.4979211297,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,8388747.3575737085,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,8400548.26543401,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,8426122.2593505941,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,8453704.1951389313,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,8469150.4647742473,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,8470854.8279743083,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,8506431.0120491106,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,8506744.1555598676,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,8547975.1145072766,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,8560597.3361765798,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,8561818.5533652175,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,8577345.8678328749,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,8589159.0452911239,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,8618729.1992874015,0.2
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,8618843.3959982656,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,8620914.5890577491,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,8620914.5890577491,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,8635835.8935659435,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,8647529.0516096596,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,8665054.9665841274,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,8684224.682303803,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,8738748.0066390857,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,8741061.4160300624,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,8758698.9439205173,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,8768948.2004033066,0.1
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,8777991.2144764308,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,8791036.7389042526,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,8814257.4976191204,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,8852789.0718309619,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,8864755.4743792824,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,8897010.960535327,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,8932047.9155506436,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,8980055.9806532674,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,8987238.321657462,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,9017634.5018239841,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,9029245.122427674,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,9050061.270995276,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,9058127.4220527988,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,9105636.3343759663,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,9108946.7475152686,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,9160939.5247003734,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,9168609.313024601,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,9169222.3427256532,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,9179814.7864746321,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,9220958.1407697778,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,9229024.1508538462,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,9247667.3155796584,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,9251638.6222350728,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,9254554.9951477721,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,9262770.735269919,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,9303432.6962511353,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,9305026.1499220822,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,9311395.6263348255,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,9324845.3722128924,0.1
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,9336297.0345230214,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,9338728.8113046885,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,9344857.497324761,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,9361189.1048604269,0.1
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,9363918.949447345,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,9367299.8827810306,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,9385365.015397789,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,9406140.2771377992,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,9423311.9845455829,0.1
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,9467432.4610813856,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,9474848.0344919041,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,9480509.2444124315,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,9481278.2373242788,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,9496954.9492180739,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,9502900.6279131621,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,9507424.1713302191,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,9515038.5205958411,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,9524083.8006709293,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,9545435.2383623179,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,9577675.4703392647,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,9602754.102193689,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,9610075.4587054811,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,9612167.1015809942,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,9615403.8811300918,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,9619535.3984985016,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,9621961.3805403877,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,9657037.7997885644,0.1
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,9669408.1678972896,0.1
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,9745973.4363577757,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,9773060.3928593043,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,9791461.8149648942,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,9816912.9939684961,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,9855129.7171236873,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,9857860.4029954653,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,9887522.2934307754,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,9889660.1396852564,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,9893234.0802251268,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,9938934.3889247179,0.1
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,9972967.40322241,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,9981228.8361312468,0.1
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,10006074.732340004,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,10064549.124145336,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,10064631.950290073,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,10066269.282245576,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,10084939.811519686,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,10106623.563357219,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,10131431.706564352,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,10134876.168575361,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,10172429.022353435,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,10186780.244695701,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,10202026.232403042,0.1
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,10207590.669758048,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,10235336.9569996,0.1
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,10240234.865582341,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,10243292.534070659,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,10259219.538550545,0.1
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,10263346.32762819,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,10271645.821870049,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,10291855.106257331,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,10305859.120714948,0.1
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,10345397.061241735,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,10361168.938246319,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,10383422.468676759,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,10425287.026121465,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,10437650.322621914,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,10466529.120467119,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,10473696.630229494,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,10495606.434113029,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,10523278.174954332,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,10540154.848062748,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,10541654.708750548,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,10558710.281327095,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,10626150.108387668,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,10629000.840904422,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,10671136.567868065,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,10700643.344768763,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,10755506.148444762,0.1
