行不安坐不宁情态缠绵,0,行不安坐不宁情态缠绵。
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,6121293.8134695515,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,6129237.0353483735,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,6157109.5253725182,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,6169696.5276523996,0.2
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,6173902.3683497151,0.2
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,6217856.2433704073,0.2
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,6228503.2823483655,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,6234340.6709906571,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,6251626.4615110094,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,6308258.0075140791,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,6343106.6503857085,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,6356668.0056022406,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,6364573.4664624035,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,6395828.2221537465,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,6398157.4975348786,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,6424990.4152875375,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,6434432.1381393326,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,6438742.1797008589,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,6455957.2444590647,0.2
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,6456338.3090239288,0.2
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,6469251.1526956027,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,6514397.130061374,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,6543942.7368930951,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,6563813.2059434298,0.1
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,6565485.1051898245,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,6601295.9893129459,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,6614087.7825609939,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,6622013.5509242089,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,6647772.6871169172,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,6667299.015462839,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,6671636.9806576446,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,6708749.9536157129,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,6718537.4113595234,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,6719855.5872339979,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,6719940.3664406082,0.2
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,6725566.6488787597,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,6731515.8818202559,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,6770952.7569153905,0.2
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,6779829.5829495471,0.4
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,6786568.5659971396,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,6817197.4916757643,0.2
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,6834970.3889192613,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,6906079.7513322532,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,6946356.1255745515,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,6984478.4008958964,0.1
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,6985407.5070260847,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,6987098.001068078,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,6996796.3019301295,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,7003008.779902434,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,7003722.3994288603,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,7022711.5433048829,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,7024848.9614229081,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,7049319.9623990487,0.2
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,7062825.0928586014,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,7100684.825254852,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,7124659.6730370745,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,7137503.489139054,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,7139601.3037258033,0.1
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,7164435.6213503759,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,7166727.9815334082,0.2
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,7174092.8314339854,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,7241957.3405267727,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,7249154.8144667633,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,7257163.2283188794,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,7267293.183182816,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,7290908.0134606147,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,7314415.8133189976,0.2
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,7319643.9588647755,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,7339507.9410373168,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,7379103.2144264141,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,7383188.6960081728,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,7385888.912842514,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,7394790.4315917986,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,7415003.7222434655,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,7415670.6159357,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,7417727.0024752347,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,7431909.6739809122,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,7446814.4478719775,0.1
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,7455424.3881156771,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,7463649.3248489387,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,7473289.6151480665,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,7494873.5749087399,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,7510380.3649111036,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,7542558.1741073187,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,7559103.4969224865,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,7565939.4117139895,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,7575100.271942256,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,7582353.3383363364,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,7591512.0089933202,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,7630930.6668280279,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,7636028.3051953297,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,7646424.9613380786,0.2
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,7663146.695879275,0.2
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,7726936.2300192369,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,7728742.8175702263,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,7738814.7029428007,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,7742953.8587976648,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,7748470.0476886826,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,7769621.2547590751,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,7784176.6996012684,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,7816362.7093882319,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,7816597.695366892,0.3
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,7817034.6682657925,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,7826365.7392890193,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,7834079.4875480263,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,7847823.5647437479,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,7848587.2772798305,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,7851594.4664286533,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,7873914.1087990021,0.2
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,7875312.6635022033,0.2
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,7899246.8844657866,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,7907950.2908015773,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,7922279.6538679479,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,7947644.4017317621,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,7955518.5564499069,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,7976342.7168616429,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,7992542.8441063091,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,8010762.7563525895,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,8028334.0984236486,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,8049129.192109229,0.2
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,8064869.8553988058,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,8075336.3318377724,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,8076214.2024106327,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,8094640.7783056945,0.2
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,8094686.9370813956,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,8123317.1901937565,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,8129130.5689396979,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,8133029.4577162936,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,8135788.4117022716,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,8154226.159950627,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,8166701.1636889922,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,8188454.4641949609,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,8209073.7668829029,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,8211847.0962634003,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,8229488.9079945823,0.1
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,8241052.2419362171,0.2
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,8254720.4294727426,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,8266336.666337871,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,8283028.9720240543,0.1
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,8301212.3963282313,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,8320394.5697292788,0.1
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,8324536.3756785998,0.2
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,8355639.3322596606,0.2
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,8358369.7933895085,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,8366827.0607995745,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,8372395.8036334133,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,8391615.5936347693,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,8400853.7456619106,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,8400853.7456619106,0.2
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,8408410.8772544917,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,8420002.225279361,0.2
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,8439215.7681299448,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,8441035.4749779943,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,8455194.9993846174,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,8458181.7084694616,0.2
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,8487168.4881447125,0.2
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,8503740.387345355,0.2
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,8504388.0001956616,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,8505383.4425591957,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,8507741.5358262938,0.1
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,8557306.5055898875,0.1
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,8557306.5055898875,0.1
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,8566453.3538100012,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,8575235.7309413943,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,8585616.8416631818,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,8597864.4742571171,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,8600848.7114704251,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,8634405.5224274155,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,8648162.1361734252,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,8649003.3758629467,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,8652059.1136685777,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,8652118.2407526653,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,8677759.4791686088,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,8678280.0545454435,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,8693873.4760134779,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,8697918.1515933182,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,8760117.7688615397,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,8776585.2277115621,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,8778706.9961500578,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,8782147.7287438139,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,8793846.8300960306,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,8803164.0682463087,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,8834174.8408009,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,8837027.594496727,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,8892431.0396633428,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,8896805.2398524284,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,8898943.6854035985,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,8915465.1253620852,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,8937663.6820897553,0.1
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,8991048.8657897487,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,8991048.8657897487,0.2
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,9004369.0462253205,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,9012189.9142718073,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,9019186.7672721352,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,9030459.512937963,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,9046935.577879183,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,9061740.3056981545,0.1
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,9102484.9544690177,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,9106921.7462763302,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,9128327.9361598734,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,9132268.784112623,0.2
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,9140790.7793598026,0.2
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,9167158.3006296959,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,9208613.0974016488,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,9254522.9306604601,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,9260286.0461131427,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,9282047.2650740165,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,9353366.2658328544,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,9353680.8901897818,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,9357123.4231841341,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,9381063.8116681743,0.2
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,9393812.323057536,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,9402264.2448020168,0.1
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,9426437.7931233514,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,9436801.6870385278,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,9471840.7014229409,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,9479758.3897984363,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,9487616.9386472329,0.1
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,9496796.533324074,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,9512977.8496702015,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,9517126.4028410278,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,9523034.5708790552,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,9541363.2902072947,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,9598046.7758078687,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,9601480.3609632365,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,9634993.5043892395,0.0
