海岛冰轮初转腾,0,海岛冰轮初转腾；
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,5280178.0630164566,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,5330554.1744950516,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,5383273.1482572583,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,5402360.7059517615,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,5409021.8248812314,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,5491779.1908462709,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,5497011.9934470942,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,5507496.7920662947,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,5531016.2508624913,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,5532729.2076894762,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,5596970.4393805461,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,5636165.9822868928,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,5666509.299018777,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,5686044.3235265231,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,5686311.6029060287,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,5722430.6573609021,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,5831733.3856989276,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,5833775.2885197308,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,5834312.2337648654,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,5841383.4761999277,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,5855225.653163177,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,5860830.008926427,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,5931667.8825203246,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,5946717.1352685774,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,5949639.7218163079,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,5969107.1352542583,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,5980671.215978926,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,6016923.7739042444,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,6021048.7022855226,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,6067771.3748192061,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,6072065.388690928,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,6116132.4165665954,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,6117277.3641961906,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,6133985.9991338281,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,6183477.8232140318,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,6190622.073594139,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,6191864.2080677766,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,6210813.8344876133,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,6223732.9165649889,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,6238156.1724643372,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,6243823.5025549997,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,6329433.3427150045,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,6332906.6386432089,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,6336821.9598223539,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,6356920.648504898,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,6361397.3630379671,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,6373132.4123528358,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,6413271.6110778693,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,6432909.7565924022,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,6457403.4380442183,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,6477328.5371741317,0.0
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,6507062.7054467266,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,6508765.86093185,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,6511537.3964501619,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,6520065.2126036938,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,6525265.8851778824,0.0
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,6562005.3403046811,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,6568704.976925483,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,6594405.2586155711,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,6632987.2556125242,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,6652925.2185143027,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,6652925.2185143027,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,6668607.742162602,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,6679661.2579794759,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,6680321.6394546265,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,6690816.604721305,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,6698527.9904536288,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,6706409.2941487199,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,6719412.5902466364,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,6727494.1877458496,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,6775160.2615836225,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,6793076.7352774413,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,6803481.0302186674,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,6811238.8917403957,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,6829450.5777023882,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,6834676.8645784715,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,6849264.5858729435,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,6866944.1954773804,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,6885507.0676071262,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,6891955.977648247,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,6892745.5996778598,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,6897969.1570434216,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,6907116.1228369484,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,6912294.9485272886,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,6922220.3558558011,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,6988035.7179570906,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,7022253.522908357,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,7074673.4369117897,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,7081657.9966397434,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,7109368.6121673509,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,7159852.1983369971,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,7164166.2337989518,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,7167309.3998931805,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,7177555.0413903557,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,7180840.6931825979,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,7211468.7537380867,0.0
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,7220606.862307285,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,7220949.2359092096,0.0
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,7263927.8710461222,0.0
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,7299263.0760900052,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,7302108.7776166536,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,7306579.221195762,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,7320182.275274626,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,7337071.9011887005,0.14285714285714285
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,7339082.9572368851,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,7374986.404420739,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,7388975.4851098293,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,7395783.101511484,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,7421130.8081469592,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,7421324.1449638074,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,7454153.5900471834,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,7463365.8355280804,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,7502431.4370307997,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,7507895.1226787483,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,7520905.4774350906,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,7557560.291851596,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,7626447.6312380359,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,7635519.4725057315,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,7699990.9741762914,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,7711834.8399552489,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,7712866.9891405264,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,7725228.0299488408,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,7745166.8477301439,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_4,皓月当空，,7756817.0649407282,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,7765360.4169814652,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,7768729.5917292759,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,7783647.7230116455,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,7804428.6413665889,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,7806888.0996921035,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,7823770.4921635147,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,7828777.0833358802,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,7837329.8032980878,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,7842244.3757787142,0.14285714285714285
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,7847309.8465627441,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,7853774.6321432469,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,7862214.326891222,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,7873062.9078284986,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,7898952.1610630946,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,7899566.460800685,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,7911243.6440640986,0.14285714285714285
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,7955672.3770623496,0.14285714285714285
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,7961449.0989337852,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,7988297.3861286901,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,7988808.1629766533,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,7990445.8585608061,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,7993574.6754412865,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,8014061.5586767318,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,8022845.4826019937,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,8055629.6725099282,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,8068669.229249795,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,8079924.8406095747,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,8085516.2514246535,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,8093919.9147090781,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,8128073.5656972667,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,8135787.3740886943,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,8144786.8816276239,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,8155399.1584609495,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,8156462.6273764251,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,8168456.8861794472,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,8199512.335057945,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,8200327.8046247652,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,8201682.6240553875,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,8220947.9187361682,0.0
daxp-GuanShiYin-TianNvSanHua.xml_4,绿柳枝酒甘露三千界上，,8230215.8069003634,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,8231925.6882970501,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,8235219.7013446223,0.0
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,8257756.841920319,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,8276453.1811127067,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,8278513.6940576062,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,8281097.1259324523,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,8286074.4927896336,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,8293496.5055252044,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,8302827.8014539424,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,8304708.3214115128,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,8307796.6832840871,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,8318128.6836630562,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,8322239.9441356948,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,8323693.4863580335,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,8330562.5944463564,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,8352583.4021249115,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,8372328.5117425593,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,8373585.5220073285,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,8386961.1428143047,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,8397594.4004429802,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,8465307.6158985104,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,8484162.7698487937,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,8488230.4072526656,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,8499998.5807996225,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,8501120.3324891441,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,8513914.9826379921,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,8538208.8005202636,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,8544058.3866076674,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,8556584.007236708,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,8560680.0724071059,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,8565904.9940478709,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,8593644.5595839545,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,8600784.7330626193,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,8608222.6406505648,0.0
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,8614136.8361568209,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,8615960.6891611218,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,8617327.1597364824,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,8627490.27742441,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,8644506.0571895558,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,8666038.3631134611,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,8685613.3007664494,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,8694562.5101676527,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,8715892.8169700652,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,8757983.0276892725,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,8772889.6273317467,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,8788687.4797164556,0.0
daxp-JiaoZhangSheng-HongNiang.xml_4,这也算是一段风流佳话，,8793232.0530991033,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,8841488.368292205,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,8858624.5619975403,0.0
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,8877237.087050518,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,8884565.0199235752,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,8895300.1324518621,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,8935213.628403442,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,8946437.1696074698,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,8954147.7542512473,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,8954661.5025266521,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,8962471.3443170562,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,8996869.1420182753,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,9069584.9920075089,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,9080201.8823611848,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,9097649.2374215759,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,9102184.5488339551,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,9124030.2654685751,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,9130278.7904980555,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,9131393.8926934078,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,9149138.8296931107,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,9158835.5743564963,0.0
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,9174260.4520502519,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,9175138.9590765554,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,9187237.188315548,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,9191599.0587834604,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,9206125.8160688467,0.0
