相公你为何不歇息,2,相公你为何不歇息？
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,10330748.964303426,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,10345568.915717935,0.125
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,10349953.798702084,0.0
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,10408239.879394736,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,10447021.661589181,0.125
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,10475050.083960606,0.125
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,10522366.791953422,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,10527538.186295355,0.125
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,10547842.963940991,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,10562185.254999485,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,10572953.947519125,0.125
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,10599067.316822566,0.25
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,10608706.990055386,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,10618543.511530349,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,10625712.782461546,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,10630016.799964886,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,10634856.522773368,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,10659877.832923537,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,10671458.093685759,0.125
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,10697221.274649134,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,10777183.412594458,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,10790022.928495737,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,10815277.150219705,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,10978783.916025082,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,11006172.284636602,0.125
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,11007652.363543496,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,11049547.909388723,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,11085800.165360091,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,11095968.249617871,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,11113025.88531593,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,11129402.886341419,0.375
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,11170428.816336695,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,11211502.501038736,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,11225870.47448075,0.25
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,11257700.771826852,0.125
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,11274255.039099524,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,11279202.401817784,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,11291339.789892467,0.125
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,11306466.999098411,0.125
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,11323542.869796338,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,11352562.971526537,0.125
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,11378958.87864228,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_1,算当初曾经得几晌温存。,11421408.089110853,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,11425081.156735485,0.125
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,11446502.548355822,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,11465188.404080618,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,11478802.741126729,0.125
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,11569871.444974197,0.125
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,11572136.758531405,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,11587558.773617143,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,11604717.982166603,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,11666259.673075465,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,11687213.476736335,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,11710570.970327165,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,11716978.65926026,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,11718819.470097037,0.125
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,11722185.40659962,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,11759734.109218491,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,11767434.647885365,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,11794571.39141055,0.125
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,11897195.473367956,0.125
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,11906133.664464209,0.125
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,11985940.69160481,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,11987792.263585623,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,11997784.466020521,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,12004673.824689962,0.125
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,12011652.318516355,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,12017412.875957511,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,12027270.105605602,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,12071794.239385599,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,12096642.336988032,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,12099465.380723864,0.125
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,12115411.934008675,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,12150577.382247763,0.0
daxp-ZhiJianTa-WangJiangTing.xml_2,何人来把书信寄？,12182360.978878049,0.125
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,12194168.522896003,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,12227991.553894307,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,12240456.83223738,0.125
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,12249450.759711059,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,12277128.946368385,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,12278796.515790774,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,12283681.227428064,0.125
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,12293493.33473458,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,12295779.546396047,0.125
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,12326814.972437827,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,12378964.322268961,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,12439725.620811829,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,12445666.771373034,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,12461295.069153059,0.125
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,12493101.325090438,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,12536815.155972501,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,12537861.716834703,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,12541920.680977754,0.125
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,12547379.382339764,0.125
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,12572699.685444733,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,12601192.574100414,0.125
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,12682336.425504318,0.125
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,12687461.153594119,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,12692709.926585583,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,12713319.868529003,0.125
danbz-BeiJiuChan-ChunGuiMeng.xml_4,原来是不耐烦已经睡困，,12744509.388382979,0.125
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,12749954.66467936,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,12765080.189611563,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,12766773.266935511,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,12839926.779413108,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,12856805.920005471,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,12875254.102034338,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,12918524.963353083,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,12935804.048336057,0.25
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,12942622.637866868,0.375
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,13029020.669585872,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,13029020.669585872,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,13043552.171284884,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,13143818.338805288,0.0
daxp-ZhiJianTa-WangJiangTing.xml_4,莫不是平地风波起，,13158839.710779663,0.125
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,13199714.908360947,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,13201056.229369011,0.125
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,13205492.435369646,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,13259637.404041542,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,13262297.956911204,0.0
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,13275871.574572187,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,13282294.220149467,0.125
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,13285500.946741777,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,13323014.746045219,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,13338067.55422253,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,13368137.191562036,0.125
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,13383506.936099157,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,13388965.038861902,0.25
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,13393204.119801743,0.0
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,13406702.980109686,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,13418353.322291384,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,13426010.936919753,0.125
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,13583853.590499429,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,13604688.500229223,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,13611057.95507508,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,13618920.683116568,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,13630865.517127445,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,13659976.886842618,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,13677168.22463103,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,13688451.757960303,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,13710804.213401083,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,13777183.404452655,0.125
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,13780101.848808872,0.125
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,13809322.372608621,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,13845792.098506462,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,13864992.768424379,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,13888946.83357559,0.125
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,13911316.190075804,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,13922968.07402385,0.125
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,13925328.159955228,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,13956435.574885013,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,13985977.054481743,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,13996039.043668209,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,13999505.502826354,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,14020000.688966978,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,14030129.797195939,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,14049155.837205701,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,14059578.258294929,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,14079259.109778371,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,14092564.199764419,0.125
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,14131140.828641053,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,14169481.640302479,0.125
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,14171432.504850177,0.25
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,14173104.790833291,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,14199440.531317422,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,14227405.150602425,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,14241056.322716223,0.0
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,14241056.322716223,0.125
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,14270903.234953124,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,14362177.881970424,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,14397832.564439889,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,14402281.258939965,0.25
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,14435967.013612319,0.25
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,14440664.311362095,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,14466160.359234639,0.125
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,14483025.591789052,0.0
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,14489907.552138634,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,14493582.059953079,0.25
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,14540384.277255261,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,14740595.056262989,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,14767244.582792619,0.125
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,14781002.318340592,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,14786383.400916496,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,14787475.030716863,0.125
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,14832685.903676972,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,14898170.91995726,0.125
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,14902378.41202266,0.125
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,14909369.440612074,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,14953977.414808186,0.0
daspd-DuShouKong-WangJiangTing.xml_3,为避狂徒到此间。,14985722.626300462,0.125
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,15026143.28214949,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,15037091.378057834,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,15051893.873400718,0.125
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,15085658.167687951,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,15112332.397982318,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,15112999.11408064,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,15145456.65550133,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,15163595.534447325,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,15167709.199113166,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,15173960.802981047,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,15223224.021278024,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,15251646.261834603,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,15269564.804835455,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,15269564.804835455,0.125
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,15298283.133811701,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,15307968.921914797,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,15351526.29950168,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,15372899.204387253,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,15374369.123941438,0.125
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,15398109.844744338,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,15437859.905574687,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,15459256.8071562,0.125
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,15463812.425136926,0.125
