寸土怎能够属于他人,1,寸土怎能够属于他人。
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,4328181.5274077216,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,4376128.1411714293,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,4442260.614027936,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,4452296.5541801965,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,4484513.2336879093,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,4574201.4985722722,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,4601669.7131508822,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,4615291.0166931031,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,4617151.4038562831,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,4678846.0038913647,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,4719073.1568313492,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,4731523.3935321001,0.1111111111111111
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,4776984.4489929145,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,4800392.5179829942,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,4802436.5652235877,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,4826469.8925336469,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,4833656.0381020149,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,4836547.6604593191,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,4848180.5808413206,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,4861778.286119042,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,4866787.9757364504,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,4875502.6112184133,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,4883606.2608580571,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,4886875.5989663024,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,4916513.2173639536,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,4921671.7384903235,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,4925019.4500453444,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,4926328.1979322182,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,4933112.2852295479,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,4937213.4107451746,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,4953385.5805649273,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,4972038.3707708167,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,4999119.5124390833,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,4999119.5124390833,0.1111111111111111
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,5008713.7163583431,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,5048434.0220114598,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,5059457.2775663603,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,5066854.2176269032,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,5067956.8067325978,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,5068427.0054215938,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,5092807.9226760063,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,5099750.7394412272,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,5178843.2696201308,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,5192445.8224192364,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,5210930.2864719303,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,5230782.3281399487,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,5241639.2623058176,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,5256731.1956555201,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,5263444.8134971159,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,5275056.6584602976,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,5276851.8480743468,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,5280799.8897314891,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,5284047.0674949382,0.1111111111111111
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,5285334.7234260216,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,5294937.4781283932,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,5295978.6889080442,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,5299273.8142455602,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,5311787.0569833443,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,5320837.4050713172,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,5375453.3010875229,0.1111111111111111
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,5389198.5679537812,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,5394346.9106080756,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,5403244.2547892798,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,5406379.6986601595,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,5419179.2836026857,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,5432002.2569369292,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,5445312.3463507676,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,5457629.5172391292,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,5463301.671865846,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,5466236.8096024431,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,5514810.5519433562,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,5541643.2536494117,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,5543745.2781013679,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,5546032.9364917167,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,5567756.1589291645,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,5583007.6120207999,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,5587182.7176136086,0.1111111111111111
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,5601065.4625971951,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,5623581.4464741619,0.1111111111111111
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,5631555.1288133534,0.1111111111111111
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,5661523.7736358168,0.1111111111111111
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,5722520.1662420705,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,5767769.6875909474,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,5774601.0337768365,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,5782084.439578834,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,5790976.7172885034,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,5795464.4417770598,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,5795477.902061752,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,5810654.5800028574,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,5834941.7797360765,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,5850907.8215356544,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,5852726.6470880499,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,5941427.5842821263,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,5948491.0024125762,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,5951395.7463443968,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,5967530.3858699324,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,5975591.8372905664,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,5985092.6317537939,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,6002843.1728029381,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,6003096.9766264716,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,6041509.986680394,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,6044098.7628076896,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,6053713.3760342868,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,6054063.9516462917,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,6068763.8415402276,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,6074023.3670810563,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,6118030.5382012529,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,6118197.3218707591,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,6143347.9698302411,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,6144584.0560990311,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,6152243.903757887,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,6155812.1723305285,0.1111111111111111
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,6170644.1342984233,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,6193524.9012031825,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,6199476.2643277654,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,6200837.0554606058,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,6235186.3083323576,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,6238512.2341244584,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,6242024.5027703103,0.1111111111111111
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,6258294.4090103591,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,6265871.3313290589,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,6279176.6788599445,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,6301823.7327538123,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,6331586.0453611948,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,6331718.343625986,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,6332236.5306918276,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,6335965.7665624274,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,6344441.7449458372,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,6353113.4218309931,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,6360100.6078975061,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,6364051.3062881771,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,6372319.5397892976,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,6376727.8234877726,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,6384520.0383966891,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,6405279.8385037398,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,6419578.9143104563,0.1111111111111111
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,6448432.9295416428,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,6458873.3245870611,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,6498110.647836904,0.2222222222222222
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,6523924.704822869,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,6543302.4103119941,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,6545340.2021196214,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,6593183.4383384399,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,6601070.2507102927,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,6611243.2932352498,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,6636513.9950192142,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,6648120.4537190935,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,6667277.479293393,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,6668824.8934222199,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,6726722.386733097,0.1111111111111111
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,6729626.8867626069,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,6730077.0112055326,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,6741491.7044439716,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,6743683.2141107507,0.1111111111111111
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,6771610.255245016,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,6783570.6284327907,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,6794141.1273481045,0.1111111111111111
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,6798985.1791028446,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,6822809.228489398,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,6845063.0643801112,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,6847771.8238976272,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,6849392.8305172101,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,6857068.2252267897,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,6881838.0173475537,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,6893893.9458297221,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,6906852.9013227765,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,6917980.778600052,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,6919189.3615301223,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,6924347.6139529571,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,6945643.2914470341,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,6958864.2673482336,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,6963832.1945793536,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,6972647.5061254939,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,6979917.9080843413,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,6997204.7262141267,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,7072883.5079763886,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,7074075.8532618228,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,7077105.3378454754,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,7080733.1460962528,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,7081880.4763654452,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,7084416.8127006516,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,7094318.3169818977,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,7131875.468722905,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,7146039.1026638485,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,7221104.1979659544,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,7230763.8236772325,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,7238029.751338996,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,7240344.8225403298,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,7270519.9736617282,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,7308983.1545852246,0.1111111111111111
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,7349625.8751029223,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,7367262.4054503432,0.1111111111111111
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,7373505.2916465318,0.1111111111111111
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,7427778.7484186897,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,7467955.4296806185,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,7500764.8249521805,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,7517426.1555508543,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,7521235.1819385514,0.1111111111111111
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,7558449.1195149235,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,7561413.3087311331,0.1111111111111111
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,7571895.9968763078,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,7595712.8354642689,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,7607134.8241120931,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,7614722.4446123196,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,7617426.6088167746,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,7622724.7429138552,0.0
