也有失意痛哭嚎啕,40,也有失意痛哭嚎啕，
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,6524511.5869103037,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,6526754.2790496061,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,6624073.5360792363,0.125
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,6706701.8744272925,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,6734532.9451335724,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,6759913.4508893359,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,6763199.9800496157,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,6767521.1627545627,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,6778789.8396722032,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,6864739.5753769893,0.25
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,6880626.7372908527,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,6935668.0315608429,0.125
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,6969234.3885854287,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,7022796.9211754771,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,7090448.8548296317,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,7128204.4872995177,0.25
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,7217844.1770795565,0.25
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,7222387.1566813951,0.125
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,7367021.0356820123,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,7515944.290006496,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,7575647.9091777503,0.125
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,7631268.4175977791,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,7702925.532489771,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,7763237.5853854055,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,7796052.2138114842,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,7877584.3210123023,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,7878775.4229720831,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,7909846.4345169626,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,8010827.6667398075,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,8021682.9808242507,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,8105939.4006236838,0.125
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,8138497.9825896947,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,8148850.0087781847,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,8199041.3799954038,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,8208014.9102088837,0.375
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,8252868.0339523284,0.125
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,8302137.5843472863,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,8337912.8747997331,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,8340135.3740250766,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,8364515.2138850568,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,8371152.7177182315,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,8372442.3241588417,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,8463533.0153663754,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,8506153.707066074,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,8509120.4127803165,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,8542454.6573108286,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,8572670.4649518318,0.125
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,8658333.2034344487,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,8684192.9201373626,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,8729927.9306545313,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,8763987.3945396505,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,8798543.9909071662,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,8806350.3660381902,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,8822243.6168605927,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,8840050.5611543003,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,8881094.4594242293,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,8882935.2441412434,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,8907619.7064290959,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,8934125.9993833601,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,9025500.6236389428,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,9038288.2884954382,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,9039760.1116311979,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,9047671.5725972671,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,9124724.678568786,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,9152175.2948052753,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,9167767.6671251673,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,9189957.5691020191,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,9206473.7327880133,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,9250329.9459726084,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,9291055.9505246151,0.125
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,9326118.8158104252,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,9337835.4910346922,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,9368198.6910691857,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,9381271.0483101737,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,9408324.0318193827,0.125
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,9438474.2012726329,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,9450058.1457982268,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,9457988.3245722521,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,9474852.492353674,0.125
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,9513831.0334568974,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,9591286.9324946925,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,9600751.0584353413,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,9605693.4692713376,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,9636686.6563759372,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,9659932.1941263303,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,9722423.5808074046,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,9764418.8258443512,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,9805757.1913213823,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,9810950.4876738433,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,9838243.4737738054,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,9847372.2771373522,0.125
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,9867003.975094242,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,9893471.0486604981,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,9901722.8393616118,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,9919001.5682875607,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,9938831.3858602792,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,9960325.0060078017,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,10034733.922758954,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,10035967.59005356,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,10045329.133372543,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,10050173.761887433,0.125
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,10054893.464796739,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,10063209.452113198,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,10063209.452113198,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,10097307.573561663,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,10112100.766355149,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,10175395.405399637,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,10218087.23746041,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,10240474.578866933,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,10241754.261012048,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,10283848.242767815,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,10291140.284504758,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,10303866.743147235,0.125
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,10357561.876102895,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,10372487.232099539,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,10378016.691946365,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,10387863.695521967,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,10394549.187048268,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,10395065.636503283,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,10395388.176232751,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,10420378.128014119,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,10420822.403395912,0.125
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,10431369.645426717,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,10464067.907943694,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,10470762.645322977,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,10477383.457855716,0.125
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,10488857.814061459,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,10530080.110018959,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,10573702.302683728,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,10607226.686463246,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,10607892.815762248,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,10610814.335780457,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,10650679.115842225,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,10668828.76070242,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,10772109.37559904,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,10791612.709149025,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,10793078.027210573,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,10824179.661784306,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,10828878.264851164,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,10877898.841695465,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,10883751.678827278,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,10890728.592783194,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,10896862.109904803,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,10900164.286114801,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,10956033.212361434,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,10962403.432324927,0.125
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,11007256.518296033,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,11016345.495185141,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,11074032.158450795,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,11091603.978741648,0.125
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,11133781.484396122,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,11162296.535111111,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,11176753.909926431,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,11180919.975785775,0.25
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,11217984.756641727,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,11281628.330306372,0.125
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,11290746.305728123,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,11312021.414571628,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,11335256.835369771,0.125
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,11400778.842288207,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,11435204.02149195,0.125
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,11532099.836702285,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,11559760.791609162,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,11595168.399046093,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,11637610.630772004,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,11663826.275495674,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,11664643.819837153,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,11701517.558911366,0.125
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,11719340.53590682,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,11730088.797831709,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,11865439.393597681,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,11878748.016701685,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,11915565.369783547,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,11929305.807246579,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,11946934.222276535,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,12005975.258999757,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,12009730.534763653,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,12012701.813727178,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,12021184.456796885,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,12075498.409467854,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,12122288.524316058,0.125
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,12143352.466478851,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,12255756.769806037,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,12358679.803373732,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,12358837.593959486,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,12408306.133887082,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,12412148.111645456,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,12425713.847561367,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,12449897.343647197,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,12470835.526771501,0.125
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,12483471.923394805,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,12513678.920649212,0.125
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,12517049.354953613,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,12543009.779019393,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,12553577.312350234,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,12695185.809117269,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,12721441.937256534,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,12792515.900693232,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,12801897.366350371,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,12853327.564023307,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,12863000.190011149,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,12969116.909757618,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,12974426.423526073,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,13010284.68766032,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,13022929.403880168,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,13031010.604336418,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,13032671.868741212,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,13066525.254722996,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,13067419.560517592,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,13069606.506738605,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,13075139.431158215,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,13121730.842521824,0.125
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,13131655.079963282,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,13137532.437956404,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,13168733.823791262,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,13176673.682651391,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,13182949.707753005,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,13227904.744675299,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,13232877.563968729,0.0
