我这里出帐外且散愁情,0,我这里出帐外且散愁情。
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,8162487.9558073264,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,8164017.1616805168,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,8182174.2429837016,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,8227859.4633233082,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,8253781.4287387077,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,8274547.8021138301,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,8279813.5191269107,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,8312173.6286673462,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,8322215.2897889102,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,8327944.5227977093,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,8343029.64106132,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,8346925.154179072,0.1
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,8356788.5320932884,0.1
daxp-JiaoZhangSheng-HongNiang.xml_2,放大胆忍气吞声休害怕，,8373351.3609013399,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,8399175.1193365213,0.0
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,8426419.1760352962,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,8431817.9672373533,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,8431817.9672373533,0.0
daxp-ZhiJianTa-WangJiangTing.xml_2,何人来把书信寄？,8453286.5237131938,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,8454568.5461601559,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,8486963.3150132466,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,8492668.2861463912,0.1
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,8521300.6744273528,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,8535966.1404622048,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,8537659.7486935724,0.1
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,8544013.193978915,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,8554761.1831812207,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,8657849.0465661306,0.2
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,8686348.2894843761,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,8759414.1621186901,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,8808384.3657456469,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,8809371.149643736,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,8839939.6694504451,0.0
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,8842686.2630580664,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,8860330.0449745283,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,8880797.4237362612,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,8893094.7511465661,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,8897864.6472191475,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,8911147.9902121536,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,8922241.647726316,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,8930300.9171284102,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,8942042.9363399521,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,8960968.0698304381,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,8961070.7856639065,0.1
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,8972572.4524160642,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,9015514.2833382059,0.1
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,9088103.4774419274,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,9106871.3145216871,0.1
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,9116973.794203531,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,9124718.7067958582,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,9135511.6625597905,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,9146636.8402577396,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,9150408.9484005906,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,9231274.0473643746,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,9235872.9643952735,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,9278140.2359276917,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,9285004.8249478955,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,9311306.6584251281,0.1
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,9327337.7654067725,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,9362903.6785369348,0.1
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,9406626.1117505152,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,9434041.1919771917,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,9474990.2468760405,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,9491396.6377254426,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,9503964.6100640148,0.1
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,9518638.4610382207,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,9568528.1306063682,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,9613588.6367942877,0.1
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,9620782.2986857034,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,9657091.8014852479,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,9662022.5894826259,0.0
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,9670201.5518568344,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,9700606.2764838431,0.1
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,9711257.3326471075,0.2
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,9713137.5377279017,0.1
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,9718152.7749616653,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,9781218.5234826338,0.0
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,9793002.2577765808,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,9803383.8092699852,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,9805955.4053501356,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,9814545.5722069386,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,9845172.0894140992,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,9891844.1635537222,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,9899864.3038256075,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,9920321.4396665748,0.1
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,9944661.7308586705,0.1
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,9972636.0873246416,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,10020397.071289478,0.1
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,10031264.595898649,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,10036028.524131475,0.0
daxp-ZhiJianTa-WangJiangTing.xml_4,莫不是平地风波起，,10067493.610453356,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,10087346.617347613,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,10089857.3696499,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,10155142.967295269,0.1
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,10183425.261488844,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,10188443.350022292,0.1
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,10231943.032216603,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,10282729.569035634,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,10282838.202807933,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,10304706.802082947,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,10321176.424631653,0.1
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,10321203.908571288,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,10325217.465004344,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,10345430.608425567,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,10373196.541264825,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,10404655.252191745,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,10428701.987784564,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,10442609.847409315,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,10460032.018092072,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,10481349.846652722,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,10496648.312647359,0.1
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,10507624.838122452,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,10525713.479463594,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,10561550.075684359,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,10564726.120381847,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,10566056.843584368,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,10592298.659497652,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,10598454.824275294,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,10638203.201307531,0.1
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,10666578.964212695,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,10676335.421680013,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,10684211.423670661,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,10765556.296116769,0.1
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,10788118.504109289,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,10846125.569030352,0.1
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,10848803.228556413,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,10855028.836535748,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,10897115.319958815,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,10907326.715389047,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,10922769.435295438,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,10930191.217030177,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,10957463.621111695,0.0
daspd-DuShouKong-WangJiangTing.xml_3,为避狂徒到此间。,10987495.285825346,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,11012780.896519504,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,11019283.496578576,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,11061279.525805362,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,11068502.9483868,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,11102735.08836521,0.1
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,11135675.879656799,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,11161475.84796725,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,11174457.776311565,0.1
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,11197586.313773191,0.1
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,11219346.447334833,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,11233967.970220907,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,11244821.198573651,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,11260535.411910508,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,11283507.948276659,0.0
daxp-ZhiJianTa-WangJiangTing.xml_8,出二堂深施礼，,11314788.606497331,0.1
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,11319916.072142785,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,11334709.795531929,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,11346113.058142193,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,11401303.220890746,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,11402848.603325492,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,11487857.9086529,0.2
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,11500571.060379554,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,11571833.8305273,0.1
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,11574702.834657529,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,11600846.282268869,0.0
daxp-ZhiJianTa-WangJiangTing.xml_6,低下头心生计，,11603465.85920503,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,11692569.270855241,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,11724741.490062214,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,11725146.761468662,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,11764527.58630533,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,11800907.674570937,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,11819999.087283269,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,11863855.607945289,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,11899497.130752215,0.1
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,11918161.919486294,0.0
